"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Westbound","Eastbound","Total"
06/17/2025 11:00 - 11:59,0,0,0
06/17/2025 12:00 - 12:59,0,0,0
06/17/2025 13:00 - 13:59,11,20,31
06/17/2025 14:00 - 14:59,31,21,52
06/17/2025 15:00 - 15:59,31,33,64
06/17/2025 16:00 - 16:59,37,31,68
06/17/2025 17:00 - 17:59,21,24,45
06/17/2025 18:00 - 18:59,27,22,49
06/17/2025 19:00 - 19:59,26,12,38
06/17/2025 20:00 - 20:59,24,12,36
06/17/2025 21:00 - 21:59,15,9,24
06/17/2025 22:00 - 22:59,9,10,19
06/17/2025 23:00 - 23:59,8,6,14
06/18/2025 00:00 - 00:59,2,7,9
06/18/2025 01:00 - 01:59,6,4,10
06/18/2025 02:00 - 02:59,0,2,2
06/18/2025 03:00 - 03:59,3,0,3
06/18/2025 04:00 - 04:59,1,7,8
06/18/2025 05:00 - 05:59,7,14,21
06/18/2025 06:00 - 06:59,11,13,24
06/18/2025 07:00 - 07:59,18,25,43
06/18/2025 08:00 - 08:59,21,26,47
06/18/2025 09:00 - 09:59,15,22,37
06/18/2025 10:00 - 10:59,26,12,38
06/18/2025 11:00 - 11:59,22,18,40
06/18/2025 12:00 - 12:59,20,19,39
06/18/2025 13:00 - 13:59,14,29,43
06/18/2025 14:00 - 14:59,21,17,38
06/18/2025 15:00 - 15:59,25,30,55
06/18/2025 16:00 - 16:59,46,32,78
06/18/2025 17:00 - 17:59,37,38,75
06/18/2025 18:00 - 18:59,21,15,36
06/18/2025 19:00 - 19:59,26,17,43
06/18/2025 20:00 - 20:59,16,16,32
06/18/2025 21:00 - 21:59,19,20,39
06/18/2025 22:00 - 22:59,13,6,19
06/18/2025 23:00 - 23:59,12,6,18
06/19/2025 00:00 - 00:59,2,2,4
06/19/2025 01:00 - 01:59,1,4,5
06/19/2025 02:00 - 02:59,2,2,4
06/19/2025 03:00 - 03:59,1,0,1
06/19/2025 04:00 - 04:59,2,4,6
06/19/2025 05:00 - 05:59,3,11,14
06/19/2025 06:00 - 06:59,10,11,21
06/19/2025 07:00 - 07:59,24,26,50
06/19/2025 08:00 - 08:59,22,17,39
06/19/2025 09:00 - 09:59,12,22,34
06/19/2025 10:00 - 10:59,25,21,46
06/19/2025 11:00 - 11:59,28,18,46
06/19/2025 12:00 - 12:59,28,20,48
06/19/2025 13:00 - 13:59,27,17,44
06/19/2025 14:00 - 14:59,18,15,33
06/19/2025 15:00 - 15:59,31,26,57
06/19/2025 16:00 - 16:59,41,26,67
06/19/2025 17:00 - 17:59,29,28,57
06/19/2025 18:00 - 18:59,20,16,36
06/19/2025 19:00 - 19:59,30,19,49
06/19/2025 20:00 - 20:59,22,12,34
06/19/2025 21:00 - 21:59,27,16,43
06/19/2025 22:00 - 22:59,10,9,19
06/19/2025 23:00 - 23:59,2,3,5
06/20/2025 00:00 - 00:59,0,3,3
06/20/2025 01:00 - 01:59,0,1,1
06/20/2025 02:00 - 02:59,1,2,3
06/20/2025 03:00 - 03:59,1,0,1
06/20/2025 04:00 - 04:59,3,3,6
06/20/2025 05:00 - 05:59,5,8,13
06/20/2025 06:00 - 06:59,10,15,25
06/20/2025 07:00 - 07:59,17,18,35
06/20/2025 08:00 - 08:59,14,21,35
06/20/2025 09:00 - 09:59,29,21,50
06/20/2025 10:00 - 10:59,31,32,63
06/20/2025 11:00 - 11:59,26,19,45
06/20/2025 12:00 - 12:59,19,20,39
06/20/2025 13:00 - 13:59,25,25,50
06/20/2025 14:00 - 14:59,20,23,43
06/20/2025 15:00 - 15:59,42,25,67
06/20/2025 16:00 - 16:59,48,29,77
06/20/2025 17:00 - 17:59,26,20,46
06/20/2025 18:00 - 18:59,34,20,54
06/20/2025 19:00 - 19:59,20,24,44
06/20/2025 20:00 - 20:59,24,22,46
06/20/2025 21:00 - 21:59,22,16,38
06/20/2025 22:00 - 22:59,16,9,25
06/20/2025 23:00 - 23:59,10,3,13
06/21/2025 00:00 - 00:59,5,7,12
06/21/2025 01:00 - 01:59,3,1,4
06/21/2025 02:00 - 02:59,0,0,0
06/21/2025 03:00 - 03:59,2,0,2
06/21/2025 04:00 - 04:59,1,1,2
06/21/2025 05:00 - 05:59,1,6,7
06/21/2025 06:00 - 06:59,4,7,11
06/21/2025 07:00 - 07:59,8,12,20
06/21/2025 08:00 - 08:59,14,15,29
06/21/2025 09:00 - 09:59,28,18,46
06/21/2025 10:00 - 10:59,29,28,57
06/21/2025 11:00 - 11:59,24,34,58
06/21/2025 12:00 - 12:59,35,31,66
06/21/2025 13:00 - 13:59,30,23,53
06/21/2025 14:00 - 14:59,16,27,43
06/21/2025 15:00 - 15:59,31,19,50
06/21/2025 16:00 - 16:59,20,17,37
06/21/2025 17:00 - 17:59,28,22,50
06/21/2025 18:00 - 18:59,21,15,36
06/21/2025 19:00 - 19:59,17,18,35
06/21/2025 20:00 - 20:59,24,21,45
06/21/2025 21:00 - 21:59,20,13,33
06/21/2025 22:00 - 22:59,14,11,25
06/21/2025 23:00 - 23:59,8,5,13
06/22/2025 00:00 - 00:59,5,2,7
06/22/2025 01:00 - 01:59,2,4,6
06/22/2025 02:00 - 02:59,2,2,4
06/22/2025 03:00 - 03:59,1,0,1
06/22/2025 04:00 - 04:59,2,2,4
06/22/2025 05:00 - 05:59,3,5,8
06/22/2025 06:00 - 06:59,5,5,10
06/22/2025 07:00 - 07:59,4,7,11
06/22/2025 08:00 - 08:59,12,10,22
06/22/2025 09:00 - 09:59,14,15,29
06/22/2025 10:00 - 10:59,18,16,34
06/22/2025 11:00 - 11:59,24,22,46
06/22/2025 12:00 - 12:59,28,17,45
06/22/2025 13:00 - 13:59,21,27,48
06/22/2025 14:00 - 14:59,33,16,49
06/22/2025 15:00 - 15:59,26,24,50
06/22/2025 16:00 - 16:59,26,20,46
06/22/2025 17:00 - 17:59,30,18,48
06/22/2025 18:00 - 18:59,20,19,39
06/22/2025 19:00 - 19:59,24,23,47
06/22/2025 20:00 - 20:59,16,13,29
06/22/2025 21:00 - 21:59,14,20,34
06/22/2025 22:00 - 22:59,14,9,23
06/22/2025 23:00 - 23:59,15,10,25
06/23/2025 00:00 - 00:59,3,3,6
06/23/2025 01:00 - 01:59,3,2,5
06/23/2025 02:00 - 02:59,3,0,3
06/23/2025 03:00 - 03:59,0,0,0
06/23/2025 04:00 - 04:59,1,3,4
06/23/2025 05:00 - 05:59,7,9,16
06/23/2025 06:00 - 06:59,8,14,22
06/23/2025 07:00 - 07:59,18,23,41
06/23/2025 08:00 - 08:59,15,18,33
06/23/2025 09:00 - 09:59,29,20,49
06/23/2025 10:00 - 10:59,19,23,42
06/23/2025 11:00 - 11:59,11,11,22
06/23/2025 12:00 - 12:59,20,20,40
06/23/2025 13:00 - 13:59,30,23,53
06/23/2025 14:00 - 14:59,19,27,46
06/23/2025 15:00 - 15:59,27,30,57
06/23/2025 16:00 - 16:59,33,29,62
06/23/2025 17:00 - 17:59,30,27,57
06/23/2025 18:00 - 18:59,16,9,25
06/23/2025 19:00 - 19:59,25,18,43
06/23/2025 20:00 - 20:59,25,25,50
06/23/2025 21:00 - 21:59,21,20,41
06/23/2025 22:00 - 22:59,16,14,30
06/23/2025 23:00 - 23:59,3,7,10
06/24/2025 00:00 - 00:59,2,2,4
06/24/2025 01:00 - 01:59,1,2,3
06/24/2025 02:00 - 02:59,0,0,0
06/24/2025 03:00 - 03:59,0,1,1
06/24/2025 04:00 - 04:59,0,3,3
06/24/2025 05:00 - 05:59,3,16,19
06/24/2025 06:00 - 06:59,6,18,24
06/24/2025 07:00 - 07:59,17,20,37
06/24/2025 08:00 - 08:59,17,19,36
06/24/2025 09:00 - 09:59,10,15,25
06/24/2025 10:00 - 10:59,15,11,26
06/24/2025 11:00 - 11:59,17,14,31
06/24/2025 12:00 - 12:59,19,23,42
