"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Westbound","Eastbound","Total"
06/17/2025 11:00 - 11:59,0,0,0
06/17/2025 12:00 - 12:59,0,0,0
06/17/2025 13:00 - 13:59,22,41,63
06/17/2025 14:00 - 14:59,62,42,104
06/17/2025 15:00 - 15:59,62,71,133
06/17/2025 16:00 - 16:59,74,62,136
06/17/2025 17:00 - 17:59,42,48,90
06/17/2025 18:00 - 18:59,54,44,98
06/17/2025 19:00 - 19:59,52,24,76
06/17/2025 20:00 - 20:59,48,25,73
06/17/2025 21:00 - 21:59,30,18,48
06/17/2025 22:00 - 22:59,18,20,38
06/17/2025 23:00 - 23:59,16,12,28
06/18/2025 00:00 - 00:59,4,14,18
06/18/2025 01:00 - 01:59,12,8,20
06/18/2025 02:00 - 02:59,0,4,4
06/18/2025 03:00 - 03:59,6,0,6
06/18/2025 04:00 - 04:59,2,14,16
06/18/2025 05:00 - 05:59,14,28,42
06/18/2025 06:00 - 06:59,22,26,48
06/18/2025 07:00 - 07:59,36,51,87
06/18/2025 08:00 - 08:59,42,52,94
06/18/2025 09:00 - 09:59,32,44,76
06/18/2025 10:00 - 10:59,52,25,77
06/18/2025 11:00 - 11:59,46,36,82
06/18/2025 12:00 - 12:59,40,38,78
06/18/2025 13:00 - 13:59,29,60,89
06/18/2025 14:00 - 14:59,42,34,76
06/18/2025 15:00 - 15:59,50,60,110
06/18/2025 16:00 - 16:59,93,66,159
06/18/2025 17:00 - 17:59,74,78,152
06/18/2025 18:00 - 18:59,44,30,74
06/18/2025 19:00 - 19:59,52,34,86
06/18/2025 20:00 - 20:59,32,32,64
06/18/2025 21:00 - 21:59,38,40,78
06/18/2025 22:00 - 22:59,26,12,38
06/18/2025 23:00 - 23:59,24,12,36
06/19/2025 00:00 - 00:59,4,4,8
06/19/2025 01:00 - 01:59,2,8,10
06/19/2025 02:00 - 02:59,4,4,8
06/19/2025 03:00 - 03:59,2,0,2
06/19/2025 04:00 - 04:59,4,8,12
06/19/2025 05:00 - 05:59,6,22,28
06/19/2025 06:00 - 06:59,20,22,42
06/19/2025 07:00 - 07:59,50,52,102
06/19/2025 08:00 - 08:59,44,34,78
06/19/2025 09:00 - 09:59,25,45,70
06/19/2025 10:00 - 10:59,51,42,93
06/19/2025 11:00 - 11:59,56,36,92
06/19/2025 12:00 - 12:59,57,40,97
06/19/2025 13:00 - 13:59,55,34,89
06/19/2025 14:00 - 14:59,36,30,66
06/19/2025 15:00 - 15:59,63,52,115
06/19/2025 16:00 - 16:59,84,52,136
06/19/2025 17:00 - 17:59,58,56,114
06/19/2025 18:00 - 18:59,40,33,73
06/19/2025 19:00 - 19:59,60,38,98
06/19/2025 20:00 - 20:59,45,24,69
06/19/2025 21:00 - 21:59,55,32,87
06/19/2025 22:00 - 22:59,20,18,38
06/19/2025 23:00 - 23:59,4,6,10
06/20/2025 00:00 - 00:59,0,6,6
06/20/2025 01:00 - 01:59,0,2,2
06/20/2025 02:00 - 02:59,2,4,6
06/20/2025 03:00 - 03:59,2,0,2
06/20/2025 04:00 - 04:59,6,6,12
06/20/2025 05:00 - 05:59,10,16,26
06/20/2025 06:00 - 06:59,20,30,50
06/20/2025 07:00 - 07:59,34,36,70
06/20/2025 08:00 - 08:59,28,42,70
06/20/2025 09:00 - 09:59,58,42,100
06/20/2025 10:00 - 10:59,62,65,127
06/20/2025 11:00 - 11:59,52,39,91
06/20/2025 12:00 - 12:59,39,40,79
06/20/2025 13:00 - 13:59,50,50,100
06/20/2025 14:00 - 14:59,41,46,87
06/20/2025 15:00 - 15:59,84,50,134
06/20/2025 16:00 - 16:59,96,58,154
06/20/2025 17:00 - 17:59,52,40,92
06/20/2025 18:00 - 18:59,68,41,109
06/20/2025 19:00 - 19:59,40,48,88
06/20/2025 20:00 - 20:59,48,44,92
06/20/2025 21:00 - 21:59,44,32,76
06/20/2025 22:00 - 22:59,32,18,50
06/20/2025 23:00 - 23:59,20,6,26
06/21/2025 00:00 - 00:59,10,14,24
06/21/2025 01:00 - 01:59,6,2,8
06/21/2025 02:00 - 02:59,0,0,0
06/21/2025 03:00 - 03:59,4,0,4
06/21/2025 04:00 - 04:59,2,2,4
06/21/2025 05:00 - 05:59,2,12,14
06/21/2025 06:00 - 06:59,8,14,22
06/21/2025 07:00 - 07:59,16,24,40
06/21/2025 08:00 - 08:59,28,30,58
06/21/2025 09:00 - 09:59,56,36,92
06/21/2025 10:00 - 10:59,58,56,114
06/21/2025 11:00 - 11:59,48,68,116
06/21/2025 12:00 - 12:59,70,62,132
06/21/2025 13:00 - 13:59,60,47,107
06/21/2025 14:00 - 14:59,32,54,86
06/21/2025 15:00 - 15:59,62,38,100
06/21/2025 16:00 - 16:59,40,35,75
06/21/2025 17:00 - 17:59,57,44,101
06/21/2025 18:00 - 18:59,42,30,72
06/21/2025 19:00 - 19:59,34,36,70
06/21/2025 20:00 - 20:59,48,42,90
06/21/2025 21:00 - 21:59,40,26,66
06/21/2025 22:00 - 22:59,28,23,51
06/21/2025 23:00 - 23:59,16,10,26
06/22/2025 00:00 - 00:59,10,4,14
06/22/2025 01:00 - 01:59,4,8,12
06/22/2025 02:00 - 02:59,4,4,8
06/22/2025 03:00 - 03:59,2,0,2
06/22/2025 04:00 - 04:59,4,4,8
06/22/2025 05:00 - 05:59,6,10,16
06/22/2025 06:00 - 06:59,10,10,20
06/22/2025 07:00 - 07:59,8,14,22
06/22/2025 08:00 - 08:59,25,21,46
06/22/2025 09:00 - 09:59,28,30,58
06/22/2025 10:00 - 10:59,36,32,68
06/22/2025 11:00 - 11:59,48,45,93
06/22/2025 12:00 - 12:59,56,34,90
06/22/2025 13:00 - 13:59,42,54,96
06/22/2025 14:00 - 14:59,66,32,98
06/22/2025 15:00 - 15:59,53,48,101
06/22/2025 16:00 - 16:59,52,40,92
06/22/2025 17:00 - 17:59,60,36,96
06/22/2025 18:00 - 18:59,40,38,78
06/22/2025 19:00 - 19:59,49,46,95
06/22/2025 20:00 - 20:59,32,26,58
06/22/2025 21:00 - 21:59,28,42,70
06/22/2025 22:00 - 22:59,28,18,46
06/22/2025 23:00 - 23:59,30,20,50
06/23/2025 00:00 - 00:59,6,7,13
06/23/2025 01:00 - 01:59,6,4,10
06/23/2025 02:00 - 02:59,6,0,6
06/23/2025 03:00 - 03:59,0,0,0
06/23/2025 04:00 - 04:59,2,6,8
06/23/2025 05:00 - 05:59,14,18,32
06/23/2025 06:00 - 06:59,16,29,45
06/23/2025 07:00 - 07:59,36,46,82
06/23/2025 08:00 - 08:59,30,36,66
06/23/2025 09:00 - 09:59,60,40,100
06/23/2025 10:00 - 10:59,39,46,85
06/23/2025 11:00 - 11:59,22,22,44
06/23/2025 12:00 - 12:59,40,40,80
06/23/2025 13:00 - 13:59,61,46,107
06/23/2025 14:00 - 14:59,40,56,96
06/23/2025 15:00 - 15:59,54,60,114
06/23/2025 16:00 - 16:59,66,58,124
06/23/2025 17:00 - 17:59,60,54,114
06/23/2025 18:00 - 18:59,32,18,50
06/23/2025 19:00 - 19:59,50,36,86
06/23/2025 20:00 - 20:59,50,50,100
06/23/2025 21:00 - 21:59,42,40,82
06/23/2025 22:00 - 22:59,32,28,60
06/23/2025 23:00 - 23:59,6,14,20
06/24/2025 00:00 - 00:59,4,4,8
06/24/2025 01:00 - 01:59,2,4,6
06/24/2025 02:00 - 02:59,0,0,0
06/24/2025 03:00 - 03:59,0,2,2
06/24/2025 04:00 - 04:59,0,6,6
06/24/2025 05:00 - 05:59,6,32,38
06/24/2025 06:00 - 06:59,12,36,48
06/24/2025 07:00 - 07:59,36,42,78
06/24/2025 08:00 - 08:59,35,40,75
06/24/2025 09:00 - 09:59,21,32,53
06/24/2025 10:00 - 10:59,30,22,52
06/24/2025 11:00 - 11:59,34,28,62
06/24/2025 12:00 - 12:59,38,46,84
