"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/17/2025 13:00 - 13:59,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,11,28.9,32.4
06/17/2025 14:00 - 14:59,0,5,7,11,8,0,0,0,0,0,0,0,0,0,0,31,27.0,32.8
06/17/2025 15:00 - 15:59,0,3,7,9,8,3,1,0,0,0,0,0,0,0,0,31,29.1,35.3
06/17/2025 16:00 - 16:59,0,1,9,17,6,4,0,0,0,0,0,0,0,0,0,37,28.9,34.3
06/17/2025 17:00 - 17:59,1,1,6,11,2,0,0,0,0,0,0,0,0,0,0,21,26.1,30.3
06/17/2025 18:00 - 18:59,0,1,13,10,3,0,0,0,0,0,0,0,0,0,0,27,26.2,30.2
06/17/2025 19:00 - 19:59,1,4,9,9,3,0,0,0,0,0,0,0,0,0,0,26,25.0,30.2
06/17/2025 20:00 - 20:59,0,2,8,11,3,0,0,0,0,0,0,0,0,0,0,24,26.6,30.5
06/17/2025 21:00 - 21:59,0,4,6,3,1,1,0,0,0,0,0,0,0,0,0,15,24.7,29.8
06/17/2025 22:00 - 22:59,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,9,30.6,34.2
06/17/2025 23:00 - 23:59,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,8,26.4,29.8
06/18/2025 00:00 - 00:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
06/18/2025 01:00 - 01:59,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,6,24.2,28.7
06/18/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/18/2025 03:00 - 03:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
06/18/2025 04:00 - 04:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
06/18/2025 05:00 - 05:59,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,7,28.3,30.5
06/18/2025 06:00 - 06:59,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,11,26.3,30.3
06/18/2025 07:00 - 07:59,0,1,7,6,4,0,0,0,0,0,0,0,0,0,0,18,27.1,32.0
06/18/2025 08:00 - 08:59,0,1,9,7,2,1,1,0,0,0,0,0,0,0,0,21,27.4,31.9
06/18/2025 09:00 - 09:59,0,1,7,2,4,1,0,0,0,0,0,0,0,0,0,15,27.4,33.8
06/18/2025 10:00 - 10:59,0,1,10,9,5,1,0,0,0,0,0,0,0,0,0,26,27.5,32.6
06/18/2025 11:00 - 11:59,0,0,9,8,4,1,0,0,0,0,0,0,0,0,0,22,27.8,32.5
06/18/2025 12:00 - 12:59,1,2,5,9,3,0,0,0,0,0,0,0,0,0,0,20,26.0,30.7
06/18/2025 13:00 - 13:59,1,0,5,6,2,0,0,0,0,0,0,0,0,0,0,14,26.1,30.5
06/18/2025 14:00 - 14:59,0,2,3,14,0,2,0,0,0,0,0,0,0,0,0,21,27.8,30.4
06/18/2025 15:00 - 15:59,2,0,4,12,5,2,0,0,0,0,0,0,0,0,0,25,28.0,33.8
06/18/2025 16:00 - 16:59,0,2,11,20,10,3,0,0,0,0,0,0,0,0,0,46,28.6,33.8
06/18/2025 17:00 - 17:59,0,1,11,19,3,1,2,0,0,0,0,0,0,0,0,37,28.2,30.9
06/18/2025 18:00 - 18:59,0,1,8,9,3,0,0,0,0,0,0,0,0,0,0,21,26.8,30.6
