"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5400 Douglas Dr N"
"Comments:","Behind McDonald's"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/29/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/29/2025 13:00 - 13:59,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,23.7,31.3
07/29/2025 14:00 - 14:59,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,10,22.0,25.3
07/29/2025 15:00 - 15:59,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,11,22.4,29.1
07/29/2025 16:00 - 16:59,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,9,25.7,28.7
07/29/2025 17:00 - 17:59,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,8,28.9,32.5
07/29/2025 18:00 - 18:59,1,2,5,4,0,1,0,0,0,0,0,0,0,0,0,13,24.3,29.2
07/29/2025 19:00 - 19:59,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,6,27.5,32.5
07/29/2025 20:00 - 20:59,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,11,23.9,27.4
07/29/2025 21:00 - 21:59,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,8,24.0,27.5
07/29/2025 22:00 - 22:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
07/29/2025 23:00 - 23:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
07/30/2025 00:00 - 00:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
07/30/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/30/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/30/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/30/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/30/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/30/2025 06:00 - 06:59,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,26.3,31.3
07/30/2025 07:00 - 07:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
07/30/2025 08:00 - 08:59,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,7,24.9,29.6
07/30/2025 09:00 - 09:59,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18.7,26.3
07/30/2025 10:00 - 10:59,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,29.5,33.3
07/30/2025 11:00 - 11:59,1,0,2,5,1,0,0,0,0,0,0,0,0,0,0,9,25.8,30.1
07/30/2025 12:00 - 12:59,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,5,31.4,34.4
07/30/2025 13:00 - 13:59,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,8,28.3,32.5
07/30/2025 14:00 - 14:59,0,3,2,2,1,0,1,0,0,0,0,0,0,0,0,9,26.1,31.8
07/30/2025 15:00 - 15:59,0,2,5,2,3,0,0,0,0,0,0,0,0,0,0,12,25.9,32.2
07/30/2025 16:00 - 16:59,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,15,25.1,28.3
07/30/2025 17:00 - 17:59,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,9,25.7,28.9
07/30/2025 18:00 - 18:59,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,6,23.5,27.5
07/30/2025 19:00 - 19:59,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,9,24.0,25.5
07/30/2025 20:00 - 20:59,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,9,24.4,27.9
07/30/2025 21:00 - 21:59,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,6,25.2,27.5
07/30/2025 22:00 - 22:59,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,25.4,27.9
07/30/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 05:00 - 05:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/31/2025 06:00 - 06:59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,28.0,32.0
07/31/2025 07:00 - 07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 08:00 - 08:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/31/2025 09:00 - 09:59,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,29.5,30.5
07/31/2025 10:00 - 10:59,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,22.4,29.8
07/31/2025 11:00 - 11:59,0,1,2,5,3,0,0,0,0,0,0,0,0,0,0,11,27.9,32.4
07/31/2025 12:00 - 12:59,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,28.3,30.5
07/31/2025 13:00 - 13:59,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,9,25.7,29.9
07/31/2025 14:00 - 14:59,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,29.5,30.5
07/31/2025 15:00 - 15:59,1,0,3,4,2,0,0,0,0,0,0,0,0,0,0,10,26.1,31.0
07/31/2025 16:00 - 16:59,1,1,7,6,0,0,0,0,0,0,0,0,0,0,0,15,24.2,28.7
07/31/2025 17:00 - 17:59,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,8,27.1,29.8
