"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5400 Douglas Dr N"
"Comments:","Behind McDonald's"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/29/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/29/2025 13:00 - 13:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
07/29/2025 14:00 - 14:59,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28.3,29.4
07/29/2025 15:00 - 15:59,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,7,26.1,29.5
07/29/2025 16:00 - 16:59,0,1,5,3,2,1,0,0,0,0,0,0,0,0,0,12,27.1,32.8
07/29/2025 17:00 - 17:59,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,8,25.9,29.3
07/29/2025 18:00 - 18:59,0,1,7,1,1,1,0,0,0,0,0,0,0,0,0,11,25.5,30.3
07/29/2025 19:00 - 19:59,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,7,24.0,28.3
07/29/2025 20:00 - 20:59,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,7,24.9,27.1
07/29/2025 21:00 - 21:59,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,6,29.2,34.0
07/29/2025 22:00 - 22:59,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21.7,26.3
07/29/2025 23:00 - 23:59,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,29.5,30.5
07/30/2025 00:00 - 00:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
07/30/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/30/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/30/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/30/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/30/2025 05:00 - 05:59,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,28.5,33.3
07/30/2025 06:00 - 06:59,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,5,28.2,29.8
07/30/2025 07:00 - 07:59,0,1,4,8,2,0,0,0,0,0,0,0,0,0,0,15,27.1,30.5
07/30/2025 08:00 - 08:59,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,8,24.0,26.8
07/30/2025 09:00 - 09:59,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,6,21.2,27.5
07/30/2025 10:00 - 10:59,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,6,25.8,29.0
07/30/2025 11:00 - 11:59,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,5,23.6,32.9
07/30/2025 12:00 - 12:59,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,8,24.1,29.8
07/30/2025 13:00 - 13:59,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,6,25.0,28.7
07/30/2025 14:00 - 14:59,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,26.8,32.9
07/30/2025 15:00 - 15:59,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,11,25.2,29.9
07/30/2025 16:00 - 16:59,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,7,28.4,32.1
07/30/2025 17:00 - 17:59,1,2,5,4,1,0,0,0,0,0,0,0,0,0,0,13,23.9,29.2
07/30/2025 18:00 - 18:59,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,9,26.7,31.8
07/30/2025 19:00 - 19:59,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,4,25.8,35.5
07/30/2025 20:00 - 20:59,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,5,26.4,34.8
07/30/2025 21:00 - 21:59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,33.0,37.0
07/30/2025 22:00 - 22:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
07/30/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
