"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5400 Douglas Dr N"
"Comments:","Behind McDonald's"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/29/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/29/2025 13:00 - 13:59,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,5,21.6,29.8
07/29/2025 14:00 - 14:59,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,13,23.5,27.9
07/29/2025 15:00 - 15:59,2,3,4,8,1,0,0,0,0,0,0,0,0,0,0,18,23.9,29.6
07/29/2025 16:00 - 16:59,0,1,10,7,2,1,0,0,0,0,0,0,0,0,0,21,26.5,30.5
07/29/2025 17:00 - 17:59,0,2,2,10,1,1,0,0,0,0,0,0,0,0,0,16,27.5,30.5
07/29/2025 18:00 - 18:59,1,3,12,5,1,2,0,0,0,0,0,0,0,0,0,24,25.0,29.9
07/29/2025 19:00 - 19:59,0,2,6,2,3,0,0,0,0,0,0,0,0,0,0,13,25.8,31.9
07/29/2025 20:00 - 20:59,0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,18,24.3,27.8
07/29/2025 21:00 - 21:59,0,2,7,1,3,1,0,0,0,0,0,0,0,0,0,14,26.2,33.3
07/29/2025 22:00 - 22:59,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,7,24.1,28.4
07/29/2025 23:00 - 23:59,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,25.6,29.8
07/30/2025 00:00 - 00:59,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,24.4,24.8
07/30/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/30/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/30/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/30/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/30/2025 05:00 - 05:59,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,5,27.4,32.9
07/30/2025 06:00 - 06:59,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,8,27.8,31.8
07/30/2025 07:00 - 07:59,0,1,5,10,2,0,0,0,0,0,0,0,0,0,0,18,27.1,30.4
07/30/2025 08:00 - 08:59,0,3,7,4,1,0,0,0,0,0,0,0,0,0,0,15,24.4,28.8
07/30/2025 09:00 - 09:59,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,9,20.4,27.9
07/30/2025 10:00 - 10:59,0,2,1,4,3,0,0,0,0,0,0,0,0,0,0,10,27.4,32.7
07/30/2025 11:00 - 11:59,2,1,3,5,3,0,0,0,0,0,0,0,0,0,0,14,25.1,31.7
07/30/2025 12:00 - 12:59,1,1,3,3,5,0,0,0,0,0,0,0,0,0,0,13,26.9,33.5
07/30/2025 13:00 - 13:59,0,2,3,7,1,1,0,0,0,0,0,0,0,0,0,14,26.9,30.6
07/30/2025 14:00 - 14:59,1,3,2,4,3,0,1,0,0,0,0,0,0,0,0,14,26.4,33.3
07/30/2025 15:00 - 15:59,0,5,7,7,4,0,0,0,0,0,0,0,0,0,0,23,25.6,31.1
07/30/2025 16:00 - 16:59,0,0,12,8,2,0,0,0,0,0,0,0,0,0,0,22,26.2,29.9
07/30/2025 17:00 - 17:59,1,2,11,6,2,0,0,0,0,0,0,0,0,0,0,22,24.7,29.5
07/30/2025 18:00 - 18:59,0,3,6,4,1,1,0,0,0,0,0,0,0,0,0,15,25.4,30.1
07/30/2025 19:00 - 19:59,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0,13,24.5,23.8
07/30/2025 20:00 - 20:59,0,3,5,5,0,1,0,0,0,0,0,0,0,0,0,14,25.1,29.4
07/30/2025 21:00 - 21:59,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,8,27.1,29.8
07/30/2025 22:00 - 22:59,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,8,24.0,26.8
07/30/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 03:00 - 03:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
07/31/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/31/2025 05:00 - 05:59,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,7,28.3,30.5
07/31/2025 06:00 - 06:59,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,29.4,32.9
07/31/2025 07:00 - 07:59,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,12,27.2,30.1
07/31/2025 08:00 - 08:59,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,10,25.0,31.0
07/31/2025 09:00 - 09:59,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,11,26.1,30.2
07/31/2025 10:00 - 10:59,2,1,6,3,1,0,0,0,0,0,0,0,0,0,0,13,22.9,28.6
07/31/2025 11:00 - 11:59,0,1,6,7,3,0,0,0,0,0,0,0,0,0,0,17,26.9,30.9
07/31/2025 12:00 - 12:59,0,1,2,7,1,0,0,0,0,0,0,0,0,0,0,11,27.0,30.2
07/31/2025 13:00 - 13:59,0,4,4,6,2,0,0,0,0,0,0,0,0,0,0,16,25.4,30.3
07/31/2025 14:00 - 14:59,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,10,25.9,30.0
07/31/2025 15:00 - 15:59,3,0,9,9,3,0,0,0,0,0,0,0,0,0,0,24,24.9,30.4
07/31/2025 16:00 - 16:59,1,2,11,12,1,0,0,0,0,0,0,0,0,0,0,27,25.2,29.5
07/31/2025 17:00 - 17:59,0,3,9,7,2,2,0,0,0,0,0,0,0,0,0,23,26.5,31.1
07/31/2025 18:00 - 18:59,0,3,5,10,3,1,0,0,0,0,0,0,0,0,0,22,27.0,31.3
07/31/2025 19:00 - 19:59,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,12,22.3,30.3
07/31/2025 20:00 - 20:59,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,10,23.9,28.5
07/31/2025 21:00 - 21:59,0,2,5,1,3,0,0,0,0,0,0,0,0,0,0,11,25.6,32.4
07/31/2025 22:00 - 22:59,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,5,28.2,39.8
07/31/2025 23:00 - 23:59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19.0,27.0
08/01/2025 00:00 - 00:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
