"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5400 Douglas Dr N"
"Comments:","Behind McDonald's"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/29/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Northbound","Southbound","Total"
07/29/2025 13:00 - 13:59,3,2,5
07/29/2025 14:00 - 14:59,10,3,13
07/29/2025 15:00 - 15:59,11,7,18
07/29/2025 16:00 - 16:59,9,12,21
07/29/2025 17:00 - 17:59,8,8,16
07/29/2025 18:00 - 18:59,13,11,24
07/29/2025 19:00 - 19:59,6,7,13
07/29/2025 20:00 - 20:59,11,7,18
07/29/2025 21:00 - 21:59,8,6,14
07/29/2025 22:00 - 22:59,4,3,7
07/29/2025 23:00 - 23:59,1,4,5
07/30/2025 00:00 - 00:59,3,2,5
07/30/2025 01:00 - 01:59,1,0,1
07/30/2025 02:00 - 02:59,0,1,1
07/30/2025 03:00 - 03:59,0,1,1
07/30/2025 04:00 - 04:59,0,1,1
07/30/2025 05:00 - 05:59,1,4,5
07/30/2025 06:00 - 06:59,3,5,8
07/30/2025 07:00 - 07:59,3,15,18
07/30/2025 08:00 - 08:59,7,8,15
07/30/2025 09:00 - 09:59,3,6,9
07/30/2025 10:00 - 10:59,4,6,10
07/30/2025 11:00 - 11:59,9,5,14
07/30/2025 12:00 - 12:59,5,8,13
07/30/2025 13:00 - 13:59,8,6,14
07/30/2025 14:00 - 14:59,9,5,14
07/30/2025 15:00 - 15:59,12,11,23
07/30/2025 16:00 - 16:59,15,7,22
07/30/2025 17:00 - 17:59,9,13,22
07/30/2025 18:00 - 18:59,6,9,15
07/30/2025 19:00 - 19:59,9,4,13
07/30/2025 20:00 - 20:59,9,5,14
07/30/2025 21:00 - 21:59,6,2,8
07/30/2025 22:00 - 22:59,5,3,8
07/30/2025 23:00 - 23:59,0,0,0
07/31/2025 00:00 - 00:59,0,0,0
07/31/2025 01:00 - 01:59,0,0,0
07/31/2025 02:00 - 02:59,0,0,0
07/31/2025 03:00 - 03:59,0,2,2
07/31/2025 04:00 - 04:59,0,0,0
07/31/2025 05:00 - 05:59,1,6,7
07/31/2025 06:00 - 06:59,2,3,5
07/31/2025 07:00 - 07:59,0,12,12
07/31/2025 08:00 - 08:59,1,9,10
07/31/2025 09:00 - 09:59,4,7,11
07/31/2025 10:00 - 10:59,5,8,13
