"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5437 Louisiana Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-15 MPH  - Northbound","16-20 MPH  - Northbound","21-25 MPH  - Northbound","26-30 MPH  - Northbound","31-35 MPH  - Northbound","36-40 MPH  - Northbound","41-45 MPH  - Northbound","44-50 MPH  - Northbound","51-55 MPH  - Northbound","56-60 MPH  - Northbound","61-65 MPH  - Northbound","66-70 MPH  - Northbound","71-71 MPH  - Northbound","76-80 MPH  - Northbound","81-99 MPH  - Northbound","5-15 MPH  - Southbound","16-20 MPH  - Southbound","21-25 MPH  - Southbound","26-30 MPH  - Southbound","31-35 MPH  - Southbound","36-40 MPH  - Southbound","41-45 MPH  - Southbound","44-50 MPH  - Southbound","51-55 MPH  - Southbound","56-60 MPH  - Southbound","61-65 MPH  - Southbound","66-70 MPH  - Southbound","71-71 MPH  - Southbound","76-80 MPH  - Southbound","81-99 MPH  - Southbound"
07/15/2025 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/15/2025 14:00,21,21,0,15,4,0,2,0,0,0,0,0,0,0,0,0,17,1,0,2,0,0,1,0,0,0,0,0,0,2,7,10,0,2,0,0,0,0,0,0,0,0,0,1,2,12,5,0,1,0,0,0,0,0,0,0,0,0
07/15/2025 15:00,20,24,0,15,1,0,4,0,0,0,0,0,0,0,0,0,12,5,0,7,0,0,0,0,0,0,0,0,0,0,3,10,4,0,3,0,0,0,0,0,0,0,0,2,3,6,8,2,2,1,0,0,0,0,0,0,0,0
07/15/2025 16:00,14,21,0,9,4,0,1,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,3,3,1,5,0,2,0,0,0,0,0,0,0,0,0,1,1,5,11,2,0,1,0,0,0,0,0,0,0,0
07/15/2025 17:00,23,30,0,20,2,0,1,0,0,0,0,0,0,0,0,0,24,3,0,3,0,0,0,0,0,0,0,0,2,2,6,7,6,0,0,0,0,0,0,0,0,0,0,0,2,17,7,3,1,0,0,0,0,0,0,0,0,0
07/15/2025 18:00,25,14,0,19,3,0,3,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,1,2,8,11,3,0,0,0,0,0,0,0,0,0,0,1,0,2,9,1,1,0,0,0,0,0,0,0,0,0
07/15/2025 19:00,12,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,0,0,0,0,0,0,0,0,0,0
07/15/2025 20:00,14,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,2,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,1,0,0,0,0,0,0,0,0
07/15/2025 21:00,12,17,0,9,3,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,2,1,3,5,1,0,0,0,0,0,0,0,0,0,0,1,0,13,1,2,0,0,0,0,0,0,0,0,0,0
07/15/2025 22:00,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
07/15/2025 23:00,3,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 00:00,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 02:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 03:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 04:00,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 05:00,8,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 06:00,10,4,0,9,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
07/16/2025 07:00,20,8,0,14,0,1,4,1,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,0,0,0,3,3,3,9,2,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0
07/16/2025 08:00,20,11,0,15,3,0,0,2,0,0,0,0,0,0,0,0,8,1,0,0,2,0,0,0,0,0,0,0,1,5,2,7,5,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0
07/16/2025 09:00,18,12,0,12,2,1,0,3,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,2,3,4,8,1,0,0,0,0,0,0,0,0,0,0,1,2,6,3,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 10:00,13,9,0,10,3,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 11:00,15,13,0,10,4,0,0,1,0,0,0,0,0,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,2,0,0,0,0,0,0,0,0,0,0
07/16/2025 12:00,20,12,0,15,2,0,3,0,0,0,0,0,0,0,0,0,8,2,0,1,1,0,0,0,0,0,0,0,0,1,6,11,0,2,0,0,0,0,0,0,0,0,0,0,1,6,4,1,0,0,0,0,0,0,0,0,0,0
07/16/2025 13:00,18,16,0,14,2,0,1,1,0,0,0,0,0,0,0,0,12,1,0,0,3,0,0,0,0,0,0,0,1,5,6,4,2,0,0,0,0,0,0,0,0,0,0,1,3,7,3,2,0,0,0,0,0,0,0,0,0,0
07/16/2025 14:00,20,24,0,16,2,0,2,0,0,0,0,0,0,0,0,0,20,3,0,1,0,0,0,0,0,0,0,0,1,0,5,8,6,0,0,0,0,0,0,0,0,0,0,1,3,8,8,2,2,0,0,0,0,0,0,0,0,0
07/16/2025 15:00,19,23,0,15,1,0,3,0,0,0,0,0,0,0,0,0,20,2,0,1,0,0,0,0,0,0,0,0,2,4,9,4,0,0,0,0,0,0,0,0,0,0,0,1,5,6,8,3,0,0,0,0,0,0,0,0,0,0
07/16/2025 16:00,20,27,0,14,5,0,0,0,0,0,0,1,0,0,0,0,24,2,0,1,0,0,0,0,0,0,0,0,4,6,3,6,1,0,0,0,0,0,0,0,0,0,0,1,8,7,10,1,0,0,0,0,0,0,0,0,0,0
07/16/2025 17:00,22,26,0,20,1,0,1,0,0,0,0,0,0,0,0,0,22,2,0,1,1,0,0,0,0,0,0,0,1,2,11,6,2,0,0,0,0,0,0,0,0,0,0,1,3,14,5,1,2,0,0,0,0,0,0,0,0,0
07/16/2025 18:00,26,24,0,21,2,0,3,0,0,0,0,0,0,0,0,0,21,2,0,1,0,0,0,0,0,0,0,0,1,3,12,9,1,0,0,0,0,0,0,0,0,0,0,2,3,13,4,2,0,0,0,0,0,0,0,0,0,0
07/16/2025 19:00,15,17,0,12,3,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,1,0,0,0,0,0,0,0,0,0
07/16/2025 20:00,15,16,0,13,2,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,3,7,3,0,0,0,0,0,0,0,0,0,0,0,2,1,6,5,1,1,0,0,0,0,0,0,0,0,0
07/16/2025 21:00,10,11,0,9,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,1,0,0,0,0,0,0,0,0,0
07/16/2025 22:00,11,11,0,9,1,0,1,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 23:00,5,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0
07/17/2025 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/17/2025 01:00,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
