"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5437 Louisiana Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/15/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/15/2025 14:00 - 14:59,0,2,7,10,0,2,0,0,0,0,0,0,0,0,0,21,26.8,30.2
07/15/2025 15:00 - 15:59,0,0,3,10,4,0,3,0,0,0,0,0,0,0,0,20,31.0,35.4
07/15/2025 16:00 - 16:59,3,3,1,5,0,2,0,0,0,0,0,0,0,0,0,14,23.4,30.4
07/15/2025 17:00 - 17:59,2,2,6,7,6,0,0,0,0,0,0,0,0,0,0,23,26.0,32.7
07/15/2025 18:00 - 18:59,1,2,8,11,3,0,0,0,0,0,0,0,0,0,0,25,25.9,30.4
07/15/2025 19:00 - 19:59,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,12,25.9,29.4
07/15/2025 20:00 - 20:59,2,2,2,5,3,0,0,0,0,0,0,0,0,0,0,14,24.8,31.7
07/15/2025 21:00 - 21:59,2,1,3,5,1,0,0,0,0,0,0,0,0,0,0,12,23.7,29.7
07/15/2025 22:00 - 22:59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,28.0,32.0
07/15/2025 23:00 - 23:59,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20.0,21.3
07/16/2025 00:00 - 00:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
07/16/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/16/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/16/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/16/2025 04:00 - 04:59,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,27.4,29.4
07/16/2025 05:00 - 05:59,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,8,26.1,31.8
07/16/2025 06:00 - 06:59,1,0,1,5,2,1,0,0,0,0,0,0,0,0,0,10,28.0,33.5
07/16/2025 07:00 - 07:59,3,3,3,9,2,0,0,0,0,0,0,0,0,0,0,20,24.0,30.2
07/16/2025 08:00 - 08:59,1,5,2,7,5,0,0,0,0,0,0,0,0,0,0,20,25.8,32.5
07/16/2025 09:00 - 09:59,2,3,4,8,1,0,0,0,0,0,0,0,0,0,0,18,23.9,29.6
07/16/2025 10:00 - 10:59,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,13,27.6,31.9
07/16/2025 11:00 - 11:59,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,15,24.3,29.5
07/16/2025 12:00 - 12:59,0,1,6,11,0,2,0,0,0,0,0,0,0,0,0,20,27.5,30.3
07/16/2025 13:00 - 13:59,1,5,6,4,2,0,0,0,0,0,0,0,0,0,0,18,23.6,29.5
07/16/2025 14:00 - 14:59,1,0,5,8,6,0,0,0,0,0,0,0,0,0,0,20,27.8,33.1
07/16/2025 15:00 - 15:59,2,4,9,4,0,0,0,0,0,0,0,0,0,0,0,19,22.1,26.8
07/16/2025 16:00 - 16:59,4,6,3,6,1,0,0,0,0,0,0,0,0,0,0,20,21.4,28.9
07/16/2025 17:00 - 17:59,1,2,11,6,2,0,0,0,0,0,0,0,0,0,0,22,24.7,29.5
07/16/2025 18:00 - 18:59,1,3,12,9,1,0,0,0,0,0,0,0,0,0,0,26,24.5,29.1
07/16/2025 19:00 - 19:59,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,15,26.1,29.5
07/16/2025 20:00 - 20:59,2,3,7,3,0,0,0,0,0,0,0,0,0,0,0,15,21.7,26.4
07/16/2025 21:00 - 21:59,1,4,2,1,2,0,0,0,0,0,0,0,0,0,0,10,22.6,31.0
07/16/2025 22:00 - 22:59,1,0,1,6,3,0,0,0,0,0,0,0,0,0,0,11,27.6,32.4
07/16/2025 23:00 - 23:59,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,5,21.6,29.8
07/17/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/17/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/17/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/17/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/17/2025 04:00 - 04:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
07/17/2025 05:00 - 05:59,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,7,26.1,30.1
07/17/2025 06:00 - 06:59,1,0,5,5,3,1,0,0,0,0,0,0,0,0,0,15,27.1,33.1
07/17/2025 07:00 - 07:59,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,20,28.2,33.1
07/17/2025 08:00 - 08:59,1,2,2,6,8,1,0,0,0,0,0,0,0,0,0,20,28.5,34.4
07/17/2025 09:00 - 09:59,0,0,3,10,11,1,0,0,0,0,0,0,0,0,0,25,30.4,34.5
07/17/2025 10:00 - 10:59,0,1,4,11,4,0,0,0,0,0,0,0,0,0,0,20,28.0,31.6
07/17/2025 11:00 - 11:59,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,10,25.6,33.5
07/17/2025 12:00 - 12:59,0,1,2,4,6,1,0,0,0,0,0,0,0,0,0,14,29.9,34.7
07/17/2025 13:00 - 13:59,0,1,5,1,1,1,0,0,0,0,0,0,0,0,0,9,26.0,31.8
07/17/2025 14:00 - 14:59,1,2,6,8,1,1,0,0,0,0,0,0,0,0,0,19,25.6,30.2
07/17/2025 15:00 - 15:59,1,0,4,9,3,0,1,0,0,0,0,0,0,0,0,18,27.9,32.3
07/17/2025 16:00 - 16:59,1,3,10,11,6,1,0,1,0,0,0,0,0,0,0,33,27.2,33.1
07/17/2025 17:00 - 17:59,0,2,2,4,3,2,0,0,0,0,0,0,0,0,0,13,28.8,34.9
07/17/2025 18:00 - 18:59,1,0,8,6,2,1,0,0,0,0,0,0,0,0,0,18,26.3,30.5
07/17/2025 19:00 - 19:59,0,2,3,5,2,1,0,0,0,0,0,0,0,0,0,13,27.2,32.4
07/17/2025 20:00 - 20:59,0,1,8,5,1,0,0,0,0,0,0,0,0,0,0,15,25.4,29.3
07/17/2025 21:00 - 21:59,1,1,3,3,5,0,0,0,1,0,0,0,0,0,0,14,28.8,34.4
07/17/2025 22:00 - 22:59,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,6,29.8,34.0
07/17/2025 23:00 - 23:59,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,18.2,24.0
07/18/2025 00:00 - 00:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
07/18/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
