"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5437 Louisiana Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/15/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/15/2025 14:00 - 14:59,1,2,12,5,0,1,0,0,0,0,0,0,0,0,0,21,24.2,28.4
07/15/2025 15:00 - 15:59,2,3,6,8,2,2,1,0,0,0,0,0,0,0,0,24,26.3,33.3
07/15/2025 16:00 - 16:59,1,1,5,11,2,0,1,0,0,0,0,0,0,0,0,21,27.0,30.7
07/15/2025 17:00 - 17:59,0,2,17,7,3,1,0,0,0,0,0,0,0,0,0,30,25.8,30.3
07/15/2025 18:00 - 18:59,1,0,2,9,1,1,0,0,0,0,0,0,0,0,0,14,27.4,30.7
07/15/2025 19:00 - 19:59,0,1,7,8,1,0,0,0,0,0,0,0,0,0,0,17,26.1,29.7
07/15/2025 20:00 - 20:59,0,3,4,4,0,0,1,0,0,0,0,0,0,0,0,12,25.5,29.4
07/15/2025 21:00 - 21:59,1,0,13,1,2,0,0,0,0,0,0,0,0,0,0,17,24.1,25.8
07/15/2025 22:00 - 22:59,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,6,25.2,27.5
07/15/2025 23:00 - 23:59,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,7,24.1,28.4
07/16/2025 00:00 - 00:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
07/16/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/16/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/16/2025 03:00 - 03:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
07/16/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/16/2025 05:00 - 05:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
07/16/2025 06:00 - 06:59,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,25.5,30.5
07/16/2025 07:00 - 07:59,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,8,20.3,29.3
07/16/2025 08:00 - 08:59,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0,11,25.3,29.6
07/16/2025 09:00 - 09:59,1,2,6,3,0,0,0,0,0,0,0,0,0,0,0,12,22.8,27.2
07/16/2025 10:00 - 10:59,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,9,27.3,29.7
07/16/2025 11:00 - 11:59,0,4,6,1,2,0,0,0,0,0,0,0,0,0,0,13,23.8,29.9
07/16/2025 12:00 - 12:59,0,1,6,4,1,0,0,0,0,0,0,0,0,0,0,12,25.5,29.4
07/16/2025 13:00 - 13:59,1,3,7,3,2,0,0,0,0,0,0,0,0,0,0,16,23.8,29.5
07/16/2025 14:00 - 14:59,1,3,8,8,2,2,0,0,0,0,0,0,0,0,0,24,26.0,30.8
07/16/2025 15:00 - 15:59,1,5,6,8,3,0,0,0,0,0,0,0,0,0,0,23,24.8,30.4
07/16/2025 16:00 - 16:59,1,8,7,10,1,0,0,0,0,0,0,0,0,0,0,27,23.7,29.2
07/16/2025 17:00 - 17:59,1,3,14,5,1,2,0,0,0,0,0,0,0,0,0,26,24.8,29.6
07/16/2025 18:00 - 18:59,2,3,13,4,2,0,0,0,0,0,0,0,0,0,0,24,23.4,28.4
07/16/2025 19:00 - 19:59,0,3,8,5,0,1,0,0,0,0,0,0,0,0,0,17,24.9,29.0
07/16/2025 20:00 - 20:59,2,1,6,5,1,1,0,0,0,0,0,0,0,0,0,16,24.6,30.1
07/16/2025 21:00 - 21:59,0,2,4,4,0,1,0,0,0,0,0,0,0,0,0,11,25.7,29.6
07/16/2025 22:00 - 22:59,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,11,25.7,29.5
07/16/2025 23:00 - 23:59,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,6,25.3,34.0
07/17/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/17/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/17/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/17/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/17/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/17/2025 05:00 - 05:59,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,24.5,28.3
07/17/2025 06:00 - 06:59,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,24.4,42.3
07/17/2025 07:00 - 07:59,1,1,2,4,3,0,0,0,0,0,0,0,0,0,0,11,26.3,32.4
07/17/2025 08:00 - 08:59,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,9,27.2,30.1
07/17/2025 09:00 - 09:59,1,1,7,5,1,0,0,0,0,0,0,0,0,0,0,15,24.5,29.3
07/17/2025 10:00 - 10:59,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,13,25.8,29.0
07/17/2025 11:00 - 11:59,0,4,6,7,1,0,0,0,0,0,0,0,0,0,0,18,24.8,29.4
07/17/2025 12:00 - 12:59,1,1,8,4,3,0,0,0,0,0,0,0,0,0,0,17,25.3,30.9
07/17/2025 13:00 - 13:59,1,2,4,2,2,1,0,0,0,0,0,0,0,0,0,12,25.3,32.8
07/17/2025 14:00 - 14:59,0,2,7,8,1,1,0,0,0,0,0,0,0,0,0,19,26.3,30.2
07/17/2025 15:00 - 15:59,1,3,7,7,2,0,1,0,0,0,0,0,0,0,0,21,25.6,30.5
07/17/2025 16:00 - 16:59,1,5,8,10,6,2,0,0,0,0,0,0,0,0,0,32,26.7,33.3
07/17/2025 17:00 - 17:59,2,0,8,13,3,3,0,0,0,0,0,0,0,0,0,29,27.4,32.9
07/17/2025 18:00 - 18:59,0,0,2,13,2,1,1,0,0,0,0,0,0,0,0,19,29.7,32.6
07/17/2025 19:00 - 19:59,0,3,9,7,1,0,0,0,0,0,0,0,0,0,0,20,24.9,29.2
07/17/2025 20:00 - 20:59,1,2,10,3,4,0,0,0,0,0,0,0,0,0,0,20,25.0,31.6
07/17/2025 21:00 - 21:59,1,0,3,3,2,4,0,0,0,0,0,0,0,0,0,13,29.7,37.9
07/17/2025 22:00 - 22:59,0,1,3,6,1,0,0,0,0,0,0,0,0,0,0,11,26.5,30.0
07/17/2025 23:00 - 23:59,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,5,25.2,29.8
07/18/2025 00:00 - 00:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
07/18/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/18/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/18/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/18/2025 04:00 - 04:59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,21.5,32.0
07/18/2025 05:00 - 05:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
07/18/2025 06:00 - 06:59,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,5,28.2,33.9
07/18/2025 07:00 - 07:59,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,19.6,24.8
07/18/2025 08:00 - 08:59,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,12,27.6,30.2
07/18/2025 09:00 - 09:59,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,11,27.5,29.8
07/18/2025 10:00 - 10:59,2,3,9,3,1,0,0,0,0,0,0,0,0,0,0,18,22.5,27.3
07/18/2025 11:00 - 11:59,0,3,3,6,3,0,0,0,0,0,0,0,0,0,0,15,26.4,31.4
07/18/2025 12:00 - 12:59,1,4,5,6,0,0,0,0,0,0,0,0,0,0,0,16,23.3,28.6
07/18/2025 13:00 - 13:59,0,2,3,8,2,0,0,0,0,0,0,0,0,0,0,15,26.8,30.5
07/18/2025 14:00 - 14:59,0,1,2,13,3,1,0,0,0,0,0,0,0,0,0,20,28.6,31.8
07/18/2025 15:00 - 15:59,1,1,12,10,6,1,0,0,0,0,0,0,0,0,0,31,26.9,32.5
07/18/2025 16:00 - 16:59,1,7,5,10,1,1,0,0,0,0,0,0,0,0,0,25,24.5,29.9
07/18/2025 17:00 - 17:59,0,4,12,7,3,0,0,0,0,0,0,0,0,0,0,26,25.2,30.0
07/18/2025 18:00 - 18:59,1,3,13,3,1,0,0,0,0,0,0,0,0,0,0,21,23.2,26.6
07/18/2025 19:00 - 19:59,2,0,7,6,2,0,0,0,0,0,0,0,0,0,0,17,24.9,30.1
07/18/2025 20:00 - 20:59,0,2,3,6,2,0,0,0,0,0,0,0,0,0,0,13,26.5,29.9
07/18/2025 21:00 - 21:59,0,0,11,7,2,3,0,0,0,0,0,0,0,0,0,23,27.8,33.6
07/18/2025 22:00 - 22:59,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,24.4,24.8
07/18/2025 23:00 - 23:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/19/2025 00:00 - 00:59,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,23.3,25.5
07/19/2025 01:00 - 01:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
