"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5437 Louisiana Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/15/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/15/2025 14:00 - 14:59,1,4,19,15,0,3,0,0,0,0,0,0,0,0,0,42,25.5,29.7
07/15/2025 15:00 - 15:59,2,3,9,18,6,2,4,0,0,0,0,0,0,0,0,44,28.5,35.1
07/15/2025 16:00 - 16:59,4,4,6,16,2,2,1,0,0,0,0,0,0,0,0,35,25.7,30.8
07/15/2025 17:00 - 17:59,2,4,23,14,9,1,0,0,0,0,0,0,0,0,0,53,25.9,31.9
07/15/2025 18:00 - 18:59,2,2,10,20,4,1,0,0,0,0,0,0,0,0,0,39,26.5,30.7
07/15/2025 19:00 - 19:59,0,1,14,12,2,0,0,0,0,0,0,0,0,0,0,29,26.1,29.8
07/15/2025 20:00 - 20:59,2,5,6,9,3,0,1,0,0,0,0,0,0,0,0,26,25.1,30.3
07/15/2025 21:00 - 21:59,3,1,16,6,3,0,0,0,0,0,0,0,0,0,0,29,24.0,29.5
07/15/2025 22:00 - 22:59,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,8,25.9,29.3
07/15/2025 23:00 - 23:59,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,10,22.9,27.7
07/16/2025 00:00 - 00:59,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,28.3,30.5
07/16/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/16/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/16/2025 03:00 - 03:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
07/16/2025 04:00 - 04:59,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,27.4,29.4
07/16/2025 05:00 - 05:59,1,0,3,4,2,0,0,0,0,0,0,0,0,0,0,10,26.1,31.0
07/16/2025 06:00 - 06:59,1,1,2,6,3,1,0,0,0,0,0,0,0,0,0,14,27.4,33.3
07/16/2025 07:00 - 07:59,6,4,4,11,3,0,0,0,0,0,0,0,0,0,0,28,23.0,30.2
