"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5437 Louisiana Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
07/15/2025 13:00 - 13:59,0,0,0
07/15/2025 14:00 - 14:59,42,43,85
07/15/2025 15:00 - 15:59,40,50,90
07/15/2025 16:00 - 16:59,28,42,70
07/15/2025 17:00 - 17:59,46,60,106
07/15/2025 18:00 - 18:59,50,28,78
07/15/2025 19:00 - 19:59,24,34,58
07/15/2025 20:00 - 20:59,28,24,52
07/15/2025 21:00 - 21:59,24,34,58
07/15/2025 22:00 - 22:59,4,12,16
07/15/2025 23:00 - 23:59,6,14,20
07/16/2025 00:00 - 00:59,4,4,8
07/16/2025 01:00 - 01:59,0,0,0
07/16/2025 02:00 - 02:59,0,2,2
07/16/2025 03:00 - 03:59,0,4,4
07/16/2025 04:00 - 04:59,10,0,10
07/16/2025 05:00 - 05:59,16,4,20
07/16/2025 06:00 - 06:59,20,8,28
07/16/2025 07:00 - 07:59,41,17,58
07/16/2025 08:00 - 08:59,42,24,66
07/16/2025 09:00 - 09:59,39,27,66
07/16/2025 10:00 - 10:59,26,18,44
07/16/2025 11:00 - 11:59,31,29,60
07/16/2025 12:00 - 12:59,40,25,65
07/16/2025 13:00 - 13:59,37,35,72
07/16/2025 14:00 - 14:59,40,48,88
07/16/2025 15:00 - 15:59,38,46,84
07/16/2025 16:00 - 16:59,44,54,98
07/16/2025 17:00 - 17:59,44,53,97
07/16/2025 18:00 - 18:59,52,48,100
07/16/2025 19:00 - 19:59,30,34,64
07/16/2025 20:00 - 20:59,30,32,62
07/16/2025 21:00 - 21:59,20,22,42
07/16/2025 22:00 - 22:59,22,22,44
07/16/2025 23:00 - 23:59,10,12,22
07/17/2025 00:00 - 00:59,0,0,0
07/17/2025 01:00 - 01:59,2,2,4
07/17/2025 02:00 - 02:59,0,0,0
07/17/2025 03:00 - 03:59,0,0,0
07/17/2025 04:00 - 04:59,6,0,6
07/17/2025 05:00 - 05:59,14,8,22
07/17/2025 06:00 - 06:59,30,10,40
07/17/2025 07:00 - 07:59,41,22,63
07/17/2025 08:00 - 08:59,41,18,59
07/17/2025 09:00 - 09:59,50,30,80
07/17/2025 10:00 - 10:59,42,29,71
07/17/2025 11:00 - 11:59,20,36,56
07/17/2025 12:00 - 12:59,28,34,62
07/17/2025 13:00 - 13:59,18,26,44
07/17/2025 14:00 - 14:59,38,39,77
07/17/2025 15:00 - 15:59,36,42,78
07/17/2025 16:00 - 16:59,66,64,130
