"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-15 MPH  - Northbound","16-20 MPH  - Northbound","21-25 MPH  - Northbound","26-30 MPH  - Northbound","31-35 MPH  - Northbound","36-40 MPH  - Northbound","41-45 MPH  - Northbound","44-50 MPH  - Northbound","51-55 MPH  - Northbound","56-60 MPH  - Northbound","61-65 MPH  - Northbound","66-70 MPH  - Northbound","71-71 MPH  - Northbound","76-80 MPH  - Northbound","81-99 MPH  - Northbound","5-15 MPH  - Southbound","16-20 MPH  - Southbound","21-25 MPH  - Southbound","26-30 MPH  - Southbound","31-35 MPH  - Southbound","36-40 MPH  - Southbound","41-45 MPH  - Southbound","44-50 MPH  - Southbound","51-55 MPH  - Southbound","56-60 MPH  - Southbound","61-65 MPH  - Southbound","66-70 MPH  - Southbound","71-71 MPH  - Southbound","76-80 MPH  - Southbound","81-99 MPH  - Southbound"
05/13/2025 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00,14,16,0,13,0,0,1,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,1,0,0,0,0,0,0,0,0,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 12:00,33,18,1,23,4,1,4,0,0,0,0,0,0,0,0,1,15,0,0,2,0,0,0,0,0,0,0,0,1,3,13,10,5,0,0,0,1,0,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 13:00,31,22,0,21,4,0,6,0,0,0,0,0,0,0,0,0,18,2,0,2,0,0,0,0,0,0,0,0,0,5,14,10,1,1,0,0,0,0,0,0,0,0,0,0,4,14,3,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 14:00,41,29,0,33,4,0,4,0,0,0,0,0,0,0,0,0,23,2,1,3,0,0,0,0,0,0,0,0,0,3,22,13,3,0,0,0,0,0,0,0,0,0,0,1,10,9,6,3,0,0,0,0,0,0,0,0,0,0
05/13/2025 15:00,46,23,1,37,5,1,2,0,0,0,0,0,0,0,0,1,17,2,1,2,0,0,0,0,0,0,0,0,1,5,20,19,1,0,0,0,0,0,0,0,0,0,0,1,3,12,6,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 16:00,57,31,2,47,2,1,5,0,0,0,0,0,0,0,0,1,27,2,0,1,0,0,0,0,0,0,0,0,0,3,18,31,5,0,0,0,0,0,0,0,0,0,0,1,6,13,10,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 17:00,59,19,1,54,2,0,2,0,0,0,0,0,0,0,0,2,14,2,0,1,0,0,0,0,0,0,0,0,1,5,23,26,4,0,0,0,0,0,0,0,0,0,0,1,2,10,5,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 18:00,37,21,1,29,3,0,4,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,21,13,3,0,0,0,0,0,0,0,0,0,0,0,3,11,6,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 19:00,36,24,0,28,6,0,2,0,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0,1,3,16,14,2,0,0,0,0,0,0,0,0,0,0,0,2,13,8,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 20:00,28,17,0,23,2,1,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,2,16,9,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 21:00,28,13,2,24,1,0,1,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,1,3,17,6,0,1,0,0,0,0,0,0,0,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 22:00,15,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 23:00,13,4,0,12,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 00:00,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 01:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 02:00,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 03:00,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 04:00,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 05:00,2,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 06:00,7,32,1,2,1,1,0,2,0,0,0,0,0,0,0,0,26,3,0,2,1,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,8,19,2,1,1,0,0,0,0,0,0,0,0,0
05/14/2025 07:00,25,38,0,19,2,1,0,2,0,1,0,0,0,0,0,0,31,2,2,2,1,0,0,0,0,0,0,0,2,5,12,6,0,0,0,0,0,0,0,0,0,0,0,1,9,15,13,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 08:00,21,41,0,15,1,0,3,1,1,0,0,0,0,0,0,1,33,5,1,1,0,0,0,0,0,0,0,0,2,4,6,8,1,0,0,0,0,0,0,0,0,0,0,3,6,21,10,0,1,0,0,0,0,0,0,0,0,0
05/14/2025 09:00,28,21,0,21,4,0,3,0,0,0,0,0,0,0,0,0,18,2,0,1,0,0,0,0,0,0,0,0,0,3,13,9,3,0,0,0,0,0,0,0,0,0,0,0,2,12,7,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 10:00,23,21,0,20,2,0,0,1,0,0,0,0,0,0,0,2,11,3,0,3,2,0,0,0,0,0,0,0,0,0,15,7,0,1,0,0,0,0,0,0,0,0,0,2,1,15,3,0,0,0,0,0,0,0,0,0,0,0
