"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Northbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00 - 11:59,0,13,0,0,1,0,0,0,0,0,0,0,0,14
05/13/2025 12:00 - 12:59,1,23,4,1,4,0,0,0,0,0,0,0,0,33
05/13/2025 13:00 - 13:59,0,21,4,0,6,0,0,0,0,0,0,0,0,31
05/13/2025 14:00 - 14:59,0,33,4,0,4,0,0,0,0,0,0,0,0,41
05/13/2025 15:00 - 15:59,1,37,5,1,2,0,0,0,0,0,0,0,0,46
05/13/2025 16:00 - 16:59,2,47,2,1,5,0,0,0,0,0,0,0,0,57
05/13/2025 17:00 - 17:59,1,54,2,0,2,0,0,0,0,0,0,0,0,59
05/13/2025 18:00 - 18:59,1,29,3,0,4,0,0,0,0,0,0,0,0,37
05/13/2025 19:00 - 19:59,0,28,6,0,2,0,0,0,0,0,0,0,0,36
05/13/2025 20:00 - 20:59,0,23,2,1,2,0,0,0,0,0,0,0,0,28
05/13/2025 21:00 - 21:59,2,24,1,0,1,0,0,0,0,0,0,0,0,28
05/13/2025 22:00 - 22:59,0,15,0,0,0,0,0,0,0,0,0,0,0,15
05/13/2025 23:00 - 23:59,0,12,0,0,1,0,0,0,0,0,0,0,0,13
05/14/2025 00:00 - 00:59,1,2,0,0,0,0,0,0,0,0,0,0,0,3
05/14/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/14/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/14/2025 04:00 - 04:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
05/14/2025 05:00 - 05:59,0,1,0,0,1,0,0,0,0,0,0,0,0,2
05/14/2025 06:00 - 06:59,1,2,1,1,0,2,0,0,0,0,0,0,0,7
