"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/13/2025 11:00 - 11:59,0,1,4,7,1,1,0,0,0,0,0,0,0,0,0,14,27.3,30.6
05/13/2025 12:00 - 12:59,1,3,13,10,5,0,0,0,1,0,0,0,0,0,0,33,26.5,31.5
05/13/2025 13:00 - 13:59,0,5,14,10,1,1,0,0,0,0,0,0,0,0,0,31,25.1,29.4
05/13/2025 14:00 - 14:59,0,3,22,13,3,0,0,0,0,0,0,0,0,0,0,41,25.4,29.6
05/13/2025 15:00 - 15:59,1,5,20,19,1,0,0,0,0,0,0,0,0,0,0,46,24.9,29.3
05/13/2025 16:00 - 16:59,0,3,18,31,5,0,0,0,0,0,0,0,0,0,0,57,26.8,30.3
05/13/2025 17:00 - 17:59,1,5,23,26,4,0,0,0,0,0,0,0,0,0,0,59,25.7,30.0
05/13/2025 18:00 - 18:59,0,0,21,13,3,0,0,0,0,0,0,0,0,0,0,37,26.0,29.8
05/13/2025 19:00 - 19:59,1,3,16,14,2,0,0,0,0,0,0,0,0,0,0,36,25.2,29.6
05/13/2025 20:00 - 20:59,1,2,16,9,0,0,0,0,0,0,0,0,0,0,0,28,24.3,28.4
05/13/2025 21:00 - 21:59,1,3,17,6,0,1,0,0,0,0,0,0,0,0,0,28,24.0,27.9
05/13/2025 22:00 - 22:59,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,15,25.4,29.0
05/13/2025 23:00 - 23:59,0,2,6,5,0,0,0,0,0,0,0,0,0,0,0,13,24.6,28.5
05/14/2025 00:00 - 00:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
05/14/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/14/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
05/14/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/14/2025 04:00 - 04:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
05/14/2025 05:00 - 05:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
05/14/2025 06:00 - 06:59,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,7,21.4,25.3
05/14/2025 07:00 - 07:59,2,5,12,6,0,0,0,0,0,0,0,0,0,0,0,25,22.6,27.5
05/14/2025 08:00 - 08:59,2,4,6,8,1,0,0,0,0,0,0,0,0,0,0,21,23.7,29.3
05/14/2025 09:00 - 09:59,0,3,13,9,3,0,0,0,0,0,0,0,0,0,0,28,25.6,30.1
05/14/2025 10:00 - 10:59,0,0,15,7,0,1,0,0,0,0,0,0,0,0,0,23,25.6,28.9
05/14/2025 11:00 - 11:59,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,14,24.6,29.1
05/14/2025 12:00 - 12:59,2,4,17,10,2,0,0,0,0,0,0,0,0,0,0,35,24.2,29.1
05/14/2025 13:00 - 13:59,0,1,14,13,1,0,0,0,0,0,0,0,0,0,0,29,25.9,29.5
05/14/2025 14:00 - 14:59,0,3,20,14,3,0,0,0,0,0,0,0,0,0,0,40,25.6,29.8
05/14/2025 15:00 - 15:59,2,2,34,19,2,1,1,0,0,0,0,0,0,0,0,61,25.3,29.5
05/14/2025 16:00 - 16:59,1,5,28,23,3,0,0,0,0,0,0,0,0,0,0,60,25.3,29.6
05/14/2025 17:00 - 17:59,0,3,19,25,7,1,0,0,0,0,0,0,0,0,0,55,27.0,30.9
05/14/2025 18:00 - 18:59,0,3,29,10,3,0,0,0,0,0,0,0,0,0,0,45,24.9,28.9
05/14/2025 19:00 - 19:59,1,9,21,11,2,0,0,0,0,0,0,0,0,0,0,44,23.8,28.7
05/14/2025 20:00 - 20:59,0,3,18,12,3,0,0,0,0,0,0,0,0,0,0,36,25.6,29.8
05/14/2025 21:00 - 21:59,1,2,14,7,1,0,0,0,0,0,0,0,0,0,0,25,24.3,28.7
05/14/2025 22:00 - 22:59,0,0,9,5,2,0,0,0,0,0,0,0,0,0,0,16,26.3,30.1
05/14/2025 23:00 - 23:59,0,1,9,3,3,0,0,0,0,0,0,0,0,0,0,16,25.9,31.2
05/15/2025 00:00 - 00:59,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20.0,21.3
05/15/2025 01:00 - 01:59,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,6,25.2,27.5
05/15/2025 02:00 - 02:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
05/15/2025 03:00 - 03:59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19.0,27.0
05/15/2025 04:00 - 04:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
05/15/2025 05:00 - 05:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
05/15/2025 06:00 - 06:59,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,10,23.9,27.7
05/15/2025 07:00 - 07:59,1,3,12,2,0,0,0,0,0,0,0,0,0,0,0,18,22.4,25.5
05/15/2025 08:00 - 08:59,0,2,9,10,0,0,0,0,0,0,0,0,0,0,0,21,25.4,29.2
05/15/2025 09:00 - 09:59,0,2,14,5,1,0,0,0,0,0,0,0,0,0,0,22,24.6,28.2
05/15/2025 10:00 - 10:59,0,2,12,4,1,0,0,0,0,0,0,0,0,0,0,19,24.5,28.1
05/15/2025 11:00 - 11:59,0,2,15,5,0,0,0,0,0,0,0,0,0,0,0,22,24.1,27.2
05/15/2025 12:00 - 12:59,3,3,17,10,0,0,0,0,0,0,0,0,0,0,0,33,23.3,28.3
05/15/2025 13:00 - 13:59,0,4,15,11,4,1,0,0,0,0,0,0,0,0,0,35,26.0,30.7
05/15/2025 14:00 - 14:59,2,5,23,14,2,0,1,0,0,0,0,0,0,0,0,47,24.7,29.4
05/15/2025 15:00 - 15:59,2,4,23,18,5,0,0,0,0,0,0,0,0,0,0,52,25.3,30.1
05/15/2025 16:00 - 16:59,1,2,34,18,2,0,0,0,0,0,0,0,0,0,0,57,25.0,29.0
05/15/2025 17:00 - 17:59,4,9,31,12,4,1,0,0,0,0,0,0,0,0,0,61,23.8,29.1
05/15/2025 18:00 - 18:59,3,8,33,11,0,0,0,0,0,0,0,0,0,0,0,55,23.0,27.0
05/15/2025 19:00 - 19:59,4,2,25,4,1,0,0,0,0,0,0,0,0,0,0,36,22.6,25.8
05/15/2025 20:00 - 20:59,2,8,22,8,1,0,0,0,0,0,0,0,0,0,0,41,23.1,27.5
05/15/2025 21:00 - 21:59,2,3,11,13,2,0,1,0,0,0,0,0,0,0,0,32,25.4,30.1
05/15/2025 22:00 - 22:59,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,11,25.6,29.1
05/15/2025 23:00 - 23:59,0,0,5,12,1,0,0,0,0,0,0,0,0,0,0,18,27.3,30.1
05/16/2025 00:00 - 00:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
05/16/2025 01:00 - 01:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
05/16/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/16/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/16/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
05/16/2025 05:00 - 05:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
05/16/2025 06:00 - 06:59,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,10,24.5,29.3
05/16/2025 07:00 - 07:59,2,5,9,1,1,0,0,0,0,0,0,0,0,0,0,18,21.4,25.3
05/16/2025 08:00 - 08:59,1,6,17,3,3,0,0,0,0,0,0,0,0,0,0,30,23.5,27.7
05/16/2025 09:00 - 09:59,1,1,9,6,0,2,0,0,0,0,0,0,0,0,0,19,25.6,29.9
05/16/2025 10:00 - 10:59,3,5,15,6,1,1,0,0,0,0,0,0,0,0,0,31,23.1,28.4
05/16/2025 11:00 - 11:59,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,18,23.7,28.3
05/16/2025 12:00 - 12:59,0,6,16,11,2,1,0,0,0,0,0,0,0,0,0,36,25.1,29.7
05/16/2025 13:00 - 13:59,2,4,22,12,3,0,1,0,0,0,0,0,0,0,0,44,24.9,29.7
05/16/2025 14:00 - 14:59,0,4,21,21,0,0,0,0,0,0,0,0,0,0,0,46,25.3,29.2
05/16/2025 15:00 - 15:59,1,8,29,14,1,0,0,0,0,0,0,0,0,0,0,53,24.0,28.3
05/16/2025 16:00 - 16:59,2,3,29,19,3,1,1,0,0,0,0,0,0,0,0,58,25.5,29.9
05/16/2025 17:00 - 17:59,1,5,36,8,3,0,0,0,0,0,0,0,0,0,0,53,24.1,27.6
05/16/2025 18:00 - 18:59,2,6,30,11,1,0,0,0,0,0,0,0,0,0,0,50,23.7,27.8
05/16/2025 19:00 - 19:59,2,5,18,7,1,0,0,0,0,0,0,0,0,0,0,33,23.3,27.8
05/16/2025 20:00 - 20:59,1,3,17,6,1,0,0,0,0,0,0,0,0,0,0,28,23.9,27.9
05/16/2025 21:00 - 21:59,1,4,10,11,2,0,0,0,0,0,0,0,0,0,0,28,25.0,29.8
05/16/2025 22:00 - 22:59,0,1,16,10,2,1,0,0,0,0,0,0,0,0,0,30,26.1,30.0
05/16/2025 23:00 - 23:59,0,1,5,3,0,1,0,0,0,0,0,0,0,0,0,10,25.8,29.3
05/17/2025 00:00 - 00:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
05/17/2025 01:00 - 01:59,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,9,23.3,26.8
05/17/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/17/2025 03:00 - 03:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
05/17/2025 04:00 - 04:59,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25.0,28.6
05/17/2025 05:00 - 05:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
05/17/2025 06:00 - 06:59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23.0,27.0
05/17/2025 07:00 - 07:59,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,7,26.1,30.1
05/17/2025 08:00 - 08:59,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,8,24.0,26.8
05/17/2025 09:00 - 09:59,0,1,11,13,1,0,0,0,0,0,0,0,0,0,0,26,26.1,29.7
05/17/2025 10:00 - 10:59,0,2,17,11,1,0,0,0,0,0,0,0,0,0,0,31,25.2,29.1
05/17/2025 11:00 - 11:59,1,2,15,6,2,0,0,0,0,0,0,0,0,0,0,26,24.5,29.0
