"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Southbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00 - 11:59,0,13,3,0,0,0,0,0,0,0,0,0,0,16
05/13/2025 12:00 - 12:59,1,15,0,0,2,0,0,0,0,0,0,0,0,18
05/13/2025 13:00 - 13:59,0,18,2,0,2,0,0,0,0,0,0,0,0,22
05/13/2025 14:00 - 14:59,0,23,2,1,3,0,0,0,0,0,0,0,0,29
05/13/2025 15:00 - 15:59,1,17,2,1,2,0,0,0,0,0,0,0,0,23
05/13/2025 16:00 - 16:59,1,27,2,0,1,0,0,0,0,0,0,0,0,31
05/13/2025 17:00 - 17:59,2,14,2,0,1,0,0,0,0,0,0,0,0,19
05/13/2025 18:00 - 18:59,0,18,3,0,0,0,0,0,0,0,0,0,0,21
05/13/2025 19:00 - 19:59,0,19,4,0,1,0,0,0,0,0,0,0,0,24
05/13/2025 20:00 - 20:59,0,17,0,0,0,0,0,0,0,0,0,0,0,17
05/13/2025 21:00 - 21:59,1,11,1,0,0,0,0,0,0,0,0,0,0,13
05/13/2025 22:00 - 22:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/13/2025 23:00 - 23:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
05/14/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
05/14/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/14/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/14/2025 04:00 - 04:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
05/14/2025 05:00 - 05:59,0,7,2,0,1,0,0,0,0,0,0,0,0,10
05/14/2025 06:00 - 06:59,0,26,3,0,2,1,0,0,0,0,0,0,0,32
05/14/2025 07:00 - 07:59,0,31,2,2,2,1,0,0,0,0,0,0,0,38
05/14/2025 08:00 - 08:59,1,33,5,1,1,0,0,0,0,0,0,0,0,41
05/14/2025 09:00 - 09:59,0,18,2,0,1,0,0,0,0,0,0,0,0,21
05/14/2025 10:00 - 10:59,2,11,3,0,3,2,0,0,0,0,0,0,0,21
05/14/2025 11:00 - 11:59,0,17,1,0,1,1,0,0,0,0,0,0,0,20
05/14/2025 12:00 - 12:59,0,24,2,0,1,0,0,0,0,0,0,0,0,27
05/14/2025 13:00 - 13:59,1,24,2,0,0,1,0,0,0,0,0,0,0,28
05/14/2025 14:00 - 14:59,0,13,0,1,1,1,0,0,0,0,0,0,0,16
05/14/2025 15:00 - 15:59,0,12,0,1,2,0,0,0,0,0,0,0,0,15
05/14/2025 16:00 - 16:59,1,31,4,0,0,1,0,0,0,0,0,0,0,37
05/14/2025 17:00 - 17:59,0,21,1,0,2,0,0,0,0,0,0,0,0,24
05/14/2025 18:00 - 18:59,0,22,2,0,1,0,0,0,0,0,0,0,0,25
05/14/2025 19:00 - 19:59,0,23,2,0,1,1,0,0,0,0,0,0,0,27
05/14/2025 20:00 - 20:59,0,16,1,0,1,0,0,0,0,0,0,0,0,18
05/14/2025 21:00 - 21:59,2,28,2,0,0,0,0,0,0,0,0,0,0,32
05/14/2025 22:00 - 22:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/14/2025 23:00 - 23:59,0,4,0,0,1,0,0,0,0,0,0,0,0,5
05/15/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/15/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/15/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/15/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/15/2025 04:00 - 04:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/15/2025 05:00 - 05:59,0,12,2,0,0,0,0,0,0,0,0,0,0,14
05/15/2025 06:00 - 06:59,0,20,2,0,4,0,0,0,0,0,0,0,0,26
05/15/2025 07:00 - 07:59,0,35,4,2,2,0,0,0,0,0,0,0,0,43
05/15/2025 08:00 - 08:59,0,24,4,1,2,0,0,0,0,0,0,0,0,31
05/15/2025 09:00 - 09:59,0,22,4,0,0,0,0,0,0,0,0,0,0,26
05/15/2025 10:00 - 10:59,1,15,2,0,1,0,0,0,0,0,0,0,0,19
05/15/2025 11:00 - 11:59,1,15,1,0,1,0,0,0,0,0,0,0,0,18
05/15/2025 12:00 - 12:59,1,19,2,0,1,0,0,0,0,0,0,0,0,23
05/15/2025 13:00 - 13:59,0,14,5,0,1,0,0,0,0,0,0,0,0,20
05/15/2025 14:00 - 14:59,1,13,2,1,1,0,0,0,0,0,0,0,0,18
05/15/2025 15:00 - 15:59,1,18,2,1,2,0,0,0,0,0,0,0,0,24
05/15/2025 16:00 - 16:59,0,18,2,0,1,0,0,0,0,0,0,0,0,21
05/15/2025 17:00 - 17:59,0,20,0,0,0,0,0,0,0,0,0,0,0,20
