"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/13/2025 11:00 - 11:59,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,16,25.9,29.4
05/13/2025 12:00 - 12:59,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,18,25.1,29.2
05/13/2025 13:00 - 13:59,0,4,14,3,1,0,0,0,0,0,0,0,0,0,0,22,23.7,26.3
05/13/2025 14:00 - 14:59,1,10,9,6,3,0,0,0,0,0,0,0,0,0,0,29,23.3,29.5
05/13/2025 15:00 - 15:59,1,3,12,6,1,0,0,0,0,0,0,0,0,0,0,23,24.0,28.5
05/13/2025 16:00 - 16:59,1,6,13,10,1,0,0,0,0,0,0,0,0,0,0,31,24.0,28.9
05/13/2025 17:00 - 17:59,1,2,10,5,1,0,0,0,0,0,0,0,0,0,0,19,24.1,28.6
05/13/2025 18:00 - 18:59,0,3,11,6,1,0,0,0,0,0,0,0,0,0,0,21,24.6,28.8
05/13/2025 19:00 - 19:59,0,2,13,8,1,0,0,0,0,0,0,0,0,0,0,24,25.1,29.1
05/13/2025 20:00 - 20:59,0,5,8,4,0,0,0,0,0,0,0,0,0,0,0,17,23.2,27.2
05/13/2025 21:00 - 21:59,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0,13,23.5,26.9
05/13/2025 22:00 - 22:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
05/13/2025 23:00 - 23:59,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,20.0,24.2
05/14/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/14/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/14/2025 02:00 - 02:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
05/14/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
05/14/2025 04:00 - 04:59,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,26.3,29.1
05/14/2025 05:00 - 05:59,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,10,20.0,26.0
05/14/2025 06:00 - 06:59,1,8,19,2,1,1,0,0,0,0,0,0,0,0,0,32,22.9,25.7
05/14/2025 07:00 - 07:59,1,9,15,13,0,0,0,0,0,0,0,0,0,0,0,38,23.6,28.6
05/14/2025 08:00 - 08:59,3,6,21,10,0,1,0,0,0,0,0,0,0,0,0,41,23.4,28.2
05/14/2025 09:00 - 09:59,0,2,12,7,0,0,0,0,0,0,0,0,0,0,0,21,24.7,28.4
05/14/2025 10:00 - 10:59,2,1,15,3,0,0,0,0,0,0,0,0,0,0,0,21,22.7,25.8
05/14/2025 11:00 - 11:59,2,1,9,7,1,0,0,0,0,0,0,0,0,0,0,20,24.1,29.2
05/14/2025 12:00 - 12:59,0,1,15,10,1,0,0,0,0,0,0,0,0,0,0,27,25.5,29.2
05/14/2025 13:00 - 13:59,0,3,16,8,0,1,0,0,0,0,0,0,0,0,0,28,24.9,28.7
05/14/2025 14:00 - 14:59,0,1,8,5,1,0,1,0,0,0,0,0,0,0,0,16,26.5,30.1
05/14/2025 15:00 - 15:59,0,1,9,5,0,0,0,0,0,0,0,0,0,0,0,15,24.7,28.3
05/14/2025 16:00 - 16:59,0,5,25,5,2,0,0,0,0,0,0,0,0,0,0,37,24.0,27.0
05/14/2025 17:00 - 17:59,0,1,14,8,1,0,0,0,0,0,0,0,0,0,0,24,25.3,29.1
05/14/2025 18:00 - 18:59,1,5,7,9,3,0,0,0,0,0,0,0,0,0,0,25,24.9,30.3
05/14/2025 19:00 - 19:59,1,4,13,6,3,0,0,0,0,0,0,0,0,0,0,27,24.4,29.7
05/14/2025 20:00 - 20:59,0,6,8,3,1,0,0,0,0,0,0,0,0,0,0,18,23.2,27.3
05/14/2025 21:00 - 21:59,2,11,18,1,0,0,0,0,0,0,0,0,0,0,0,32,21.1,24.8
05/14/2025 22:00 - 22:59,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,28.3,30.5
05/14/2025 23:00 - 23:59,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,26.4,28.9
05/15/2025 00:00 - 00:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
05/15/2025 01:00 - 01:59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16.5,22.0
05/15/2025 02:00 - 02:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
05/15/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/15/2025 04:00 - 04:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
05/15/2025 05:00 - 05:59,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,14,23.8,26.7
05/15/2025 06:00 - 06:59,2,4,18,2,0,0,0,0,0,0,0,0,0,0,0,26,22.1,25.3
