"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00 - 11:59,0,26,3,0,1,0,0,0,0,0,0,0,0,30
05/13/2025 12:00 - 12:59,2,38,4,1,6,0,0,0,0,0,0,0,0,51
05/13/2025 13:00 - 13:59,0,39,6,0,8,0,0,0,0,0,0,0,0,53
05/13/2025 14:00 - 14:59,0,56,6,1,7,0,0,0,0,0,0,0,0,70
05/13/2025 15:00 - 15:59,2,54,7,2,4,0,0,0,0,0,0,0,0,69
05/13/2025 16:00 - 16:59,3,74,4,1,6,0,0,0,0,0,0,0,0,88
05/13/2025 17:00 - 17:59,3,68,4,0,3,0,0,0,0,0,0,0,0,78
05/13/2025 18:00 - 18:59,1,47,6,0,4,0,0,0,0,0,0,0,0,58
05/13/2025 19:00 - 19:59,0,47,10,0,3,0,0,0,0,0,0,0,0,60
05/13/2025 20:00 - 20:59,0,40,2,1,2,0,0,0,0,0,0,0,0,45
05/13/2025 21:00 - 21:59,3,35,2,0,1,0,0,0,0,0,0,0,0,41
05/13/2025 22:00 - 22:59,0,19,0,0,0,0,0,0,0,0,0,0,0,19
05/13/2025 23:00 - 23:59,0,15,1,0,1,0,0,0,0,0,0,0,0,17
05/14/2025 00:00 - 00:59,1,2,0,0,0,0,0,0,0,0,0,0,0,3
05/14/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
05/14/2025 02:00 - 02:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
05/14/2025 03:00 - 03:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
