"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/13/2025 11:00 - 11:59,0,2,10,16,1,1,0,0,0,0,0,0,0,0,0,30,26.6,30.1
05/13/2025 12:00 - 12:59,1,6,19,19,5,0,0,0,1,0,0,0,0,0,0,51,26.0,30.4
05/13/2025 13:00 - 13:59,0,9,28,13,2,1,0,0,0,0,0,0,0,0,0,53,24.5,28.9
05/13/2025 14:00 - 14:59,1,13,31,19,6,0,0,0,0,0,0,0,0,0,0,70,24.6,29.7
05/13/2025 15:00 - 15:59,2,8,32,25,2,0,0,0,0,0,0,0,0,0,0,69,24.6,29.2
05/13/2025 16:00 - 16:59,1,9,31,41,6,0,0,0,0,0,0,0,0,0,0,88,25.8,30.1
05/13/2025 17:00 - 17:59,2,7,33,31,5,0,0,0,0,0,0,0,0,0,0,78,25.3,29.8
05/13/2025 18:00 - 18:59,0,3,32,19,4,0,0,0,0,0,0,0,0,0,0,58,25.6,29.6
05/13/2025 19:00 - 19:59,1,5,29,22,3,0,0,0,0,0,0,0,0,0,0,60,25.2,29.5
05/13/2025 20:00 - 20:59,1,7,24,13,0,0,0,0,0,0,0,0,0,0,0,45,23.8,28.2
05/13/2025 21:00 - 21:59,2,3,26,9,0,1,0,0,0,0,0,0,0,0,0,41,23.9,27.9
05/13/2025 22:00 - 22:59,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,19,25.5,29.1
05/13/2025 23:00 - 23:59,1,2,9,5,0,0,0,0,0,0,0,0,0,0,0,17,23.5,28.0
05/14/2025 00:00 - 00:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
05/14/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/14/2025 02:00 - 02:59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,23.3,24.4
05/14/2025 03:00 - 03:59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23.0,27.0
05/14/2025 04:00 - 04:59,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,9,26.2,29.1
05/14/2025 05:00 - 05:59,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,12,20.6,25.3
05/14/2025 06:00 - 06:59,2,9,23,3,1,1,0,0,0,0,0,0,0,0,0,39,22.6,25.7
05/14/2025 07:00 - 07:59,3,14,27,19,0,0,0,0,0,0,0,0,0,0,0,63,23.3,28.4
05/14/2025 08:00 - 08:59,5,10,27,18,1,1,0,0,0,0,0,0,0,0,0,62,23.5,28.8
05/14/2025 09:00 - 09:59,0,5,25,16,3,0,0,0,0,0,0,0,0,0,0,49,25.2,29.5
05/14/2025 10:00 - 10:59,2,1,30,10,0,1,0,0,0,0,0,0,0,0,0,44,24.3,28.0
05/14/2025 11:00 - 11:59,3,2,14,14,1,0,0,0,0,0,0,0,0,0,0,34,24.4,29.4
05/14/2025 12:00 - 12:59,2,5,32,20,3,0,0,0,0,0,0,0,0,0,0,62,24.8,29.3
