"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6001 32nd Ave N"
"Comments:","Basset Creek Park"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/2/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/02/2025 11:00 - 11:59,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4,31.8,40.5
09/02/2025 12:00 - 12:59,1,1,5,10,6,3,1,0,0,0,0,0,0,0,0,27,29.2,35.5
09/02/2025 13:00 - 13:59,2,1,8,5,3,1,0,0,0,0,0,0,0,0,0,20,25.4,31.8
09/02/2025 14:00 - 14:59,1,3,3,6,10,2,0,0,0,0,0,0,0,0,0,25,28.7,34.9
09/02/2025 15:00 - 15:59,2,1,4,12,11,5,3,0,0,0,0,0,0,0,0,38,30.7,37.8
09/02/2025 16:00 - 16:59,4,1,6,12,20,4,0,0,0,0,0,0,0,0,0,47,29.1,35.1
09/02/2025 17:00 - 17:59,1,3,7,11,6,3,0,0,0,0,0,0,0,0,0,31,27.7,34.2
09/02/2025 18:00 - 18:59,2,2,10,11,8,0,0,0,0,0,0,0,0,0,0,33,26.5,32.6
09/02/2025 19:00 - 19:59,1,5,1,8,5,1,0,0,0,0,0,0,0,0,0,21,26.6,33.3
09/02/2025 20:00 - 20:59,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,6,28.3,29.0
09/02/2025 21:00 - 21:59,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,8,30.8,37.5
09/02/2025 22:00 - 22:59,1,1,3,2,2,1,0,0,0,0,0,0,0,0,0,10,26.0,33.5
09/02/2025 23:00 - 23:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
09/03/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
09/03/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 03:00 - 03:59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38.0,37.8
09/03/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 06:00 - 06:59,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,8,28.6,36.8
09/03/2025 07:00 - 07:59,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,6,28.2,34.0
09/03/2025 08:00 - 08:59,2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,8,26.3,37.5
09/03/2025 09:00 - 09:59,1,3,6,9,4,1,0,0,0,0,0,0,0,0,0,24,26.4,32.1
09/03/2025 10:00 - 10:59,1,1,5,3,2,1,1,0,0,0,0,0,0,0,0,14,27.0,34.5
09/03/2025 11:00 - 11:59,1,1,5,6,3,2,2,0,0,0,0,0,0,0,0,20,29.0,37.3
