"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6001 32nd Ave N"
"Comments:","Basset Creek Park"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/2/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
09/02/2025 11:00 - 11:59,0,8,2,0,1,0,0,0,0,0,0,0,0,11
09/02/2025 12:00 - 12:59,0,34,4,0,5,1,0,0,0,0,0,0,0,44
09/02/2025 13:00 - 13:59,0,27,2,0,4,1,0,0,0,0,0,0,0,34
09/02/2025 14:00 - 14:59,0,30,5,1,6,4,0,0,0,0,0,0,0,46
09/02/2025 15:00 - 15:59,0,51,6,0,5,2,0,0,0,0,0,0,0,64
09/02/2025 16:00 - 16:59,1,49,4,1,9,2,0,1,0,0,0,0,0,67
09/02/2025 17:00 - 17:59,0,42,6,0,4,1,0,0,0,0,0,0,0,53
09/02/2025 18:00 - 18:59,1,46,3,0,0,1,1,1,0,0,0,0,0,53
09/02/2025 19:00 - 19:59,0,36,6,0,1,0,0,0,0,0,0,0,0,43
09/02/2025 20:00 - 20:59,0,13,0,0,0,0,0,0,0,0,0,0,0,13
09/02/2025 21:00 - 21:59,0,9,2,0,2,0,0,0,0,0,0,0,0,13
09/02/2025 22:00 - 22:59,0,8,2,0,1,1,0,0,0,0,0,0,0,12
09/02/2025 23:00 - 23:59,0,4,0,0,1,0,0,0,0,0,0,0,0,5
09/03/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
09/03/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/03/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/03/2025 03:00 - 03:59,0,1,0,0,1,0,0,0,0,0,0,0,0,2
09/03/2025 04:00 - 04:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
