"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6001 32nd Ave N"
"Comments:","Basset Creek Park"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/2/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/02/2025 11:00 - 11:59,1,2,1,3,2,1,1,0,0,0,0,0,0,0,0,11,27.5,35.3
09/02/2025 12:00 - 12:59,5,7,7,13,7,4,1,0,0,0,0,0,0,0,0,44,26.0,34.5
09/02/2025 13:00 - 13:59,2,4,14,9,4,1,0,0,0,0,0,0,0,0,0,34,25.1,30.7
09/02/2025 14:00 - 14:59,4,6,6,11,15,4,0,0,0,0,0,0,0,0,0,46,27.5,34.9
09/02/2025 15:00 - 15:59,3,5,12,18,16,6,4,0,0,0,0,0,0,0,0,64,29.0,35.9
09/02/2025 16:00 - 16:59,5,5,13,16,24,4,0,0,0,0,0,0,0,0,0,67,27.8,34.6
09/02/2025 17:00 - 17:59,4,4,14,19,9,3,0,0,0,0,0,0,0,0,0,53,26.5,33.0
09/02/2025 18:00 - 18:59,7,4,15,14,12,1,0,0,0,0,0,0,0,0,0,53,25.2,32.9
09/02/2025 19:00 - 19:59,4,6,7,17,8,1,0,0,0,0,0,0,0,0,0,43,25.7,32.3
09/02/2025 20:00 - 20:59,0,0,3,8,2,0,0,0,0,0,0,0,0,0,0,13,28.1,29.9
09/02/2025 21:00 - 21:59,0,0,3,6,1,2,1,0,0,0,0,0,0,0,0,13,30.3,37.4
09/02/2025 22:00 - 22:59,3,1,3,2,2,1,0,0,0,0,0,0,0,0,0,12,23.4,32.8
09/02/2025 23:00 - 23:59,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,5,29.2,34.8
09/03/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
09/03/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 03:00 - 03:59,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,35.5,37.0
09/03/2025 04:00 - 04:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
09/03/2025 05:00 - 05:59,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18.7,26.3
