"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6001 32nd Ave N"
"Comments:","Basset Creek Park"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/2/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Westbound","Eastbound","Total"
09/02/2025 11:00 - 11:59,14,8,22
09/02/2025 12:00 - 12:59,35,54,89
09/02/2025 13:00 - 13:59,28,41,69
09/02/2025 14:00 - 14:59,45,51,96
09/02/2025 15:00 - 15:59,53,77,130
09/02/2025 16:00 - 16:59,41,99,140
09/02/2025 17:00 - 17:59,45,62,107
09/02/2025 18:00 - 18:59,43,68,111
09/02/2025 19:00 - 19:59,44,42,86
09/02/2025 20:00 - 20:59,14,12,26
09/02/2025 21:00 - 21:59,10,16,26
09/02/2025 22:00 - 22:59,5,20,25
09/02/2025 23:00 - 23:59,8,2,10
09/03/2025 00:00 - 00:59,0,2,2
09/03/2025 01:00 - 01:59,0,0,0
09/03/2025 02:00 - 02:59,0,0,0
09/03/2025 03:00 - 03:59,2,2,4
09/03/2025 04:00 - 04:59,4,0,4
09/03/2025 05:00 - 05:59,6,0,6
09/03/2025 06:00 - 06:59,16,16,32
09/03/2025 07:00 - 07:59,47,13,60
09/03/2025 08:00 - 08:59,42,16,58
09/03/2025 09:00 - 09:59,36,48,84
09/03/2025 10:00 - 10:59,18,28,46
09/03/2025 11:00 - 11:59,48,41,89
09/03/2025 12:00 - 12:59,36,56,92
09/03/2025 13:00 - 13:59,54,44,98
09/03/2025 14:00 - 14:59,40,63,103
09/03/2025 15:00 - 15:59,54,66,120
09/03/2025 16:00 - 16:59,58,105,163
09/03/2025 17:00 - 17:59,52,103,155
09/03/2025 18:00 - 18:59,35,58,93
09/03/2025 19:00 - 19:59,35,66,101
09/03/2025 20:00 - 20:59,10,26,36
09/03/2025 21:00 - 21:59,12,6,18
09/03/2025 22:00 - 22:59,4,10,14
09/03/2025 23:00 - 23:59,4,4,8
09/04/2025 00:00 - 00:59,2,0,2
09/04/2025 01:00 - 01:59,0,2,2
09/04/2025 02:00 - 02:59,2,2,4
09/04/2025 03:00 - 03:59,0,4,4
09/04/2025 04:00 - 04:59,0,0,0
09/04/2025 05:00 - 05:59,12,0,12
09/04/2025 06:00 - 06:59,32,8,40
09/04/2025 07:00 - 07:59,53,14,67
09/04/2025 08:00 - 08:59,43,30,73
09/04/2025 09:00 - 09:59,56,46,102
09/04/2025 10:00 - 10:59,45,47,92
09/04/2025 11:00 - 11:59,38,30,68
09/04/2025 12:00 - 12:59,24,40,64
09/04/2025 13:00 - 13:59,42,48,90
09/04/2025 14:00 - 14:59,41,57,98
09/04/2025 15:00 - 15:59,52,82,134
09/04/2025 16:00 - 16:59,49,95,144
09/04/2025 17:00 - 17:59,41,58,99
09/04/2025 18:00 - 18:59,14,32,46
09/04/2025 19:00 - 19:59,21,36,57
09/04/2025 20:00 - 20:59,28,26,54
09/04/2025 21:00 - 21:59,14,10,24
09/04/2025 22:00 - 22:59,0,8,8
09/04/2025 23:00 - 23:59,2,4,6
09/05/2025 00:00 - 00:59,0,2,2
09/05/2025 01:00 - 01:59,0,4,4
09/05/2025 02:00 - 02:59,0,0,0
09/05/2025 03:00 - 03:59,2,0,2
09/05/2025 04:00 - 04:59,0,2,2
09/05/2025 05:00 - 05:59,12,8,20
09/05/2025 06:00 - 06:59,30,8,38
09/05/2025 07:00 - 07:59,32,26,58
09/05/2025 08:00 - 08:59,43,27,70
09/05/2025 09:00 - 09:59,42,50,92
09/05/2025 10:00 - 10:59,26,32,58
09/05/2025 11:00 - 11:59,35,44,79
09/05/2025 12:00 - 12:59,41,52,93
09/05/2025 13:00 - 13:59,40,42,82
09/05/2025 14:00 - 14:59,38,48,86
09/05/2025 15:00 - 15:59,58,66,124
09/05/2025 16:00 - 16:59,42,88,130
09/05/2025 17:00 - 17:59,40,103,143
09/05/2025 18:00 - 18:59,46,50,96
09/05/2025 19:00 - 19:59,46,58,104
09/05/2025 20:00 - 20:59,32,36,68
09/05/2025 21:00 - 21:59,14,20,34
09/05/2025 22:00 - 22:59,12,30,42
09/05/2025 23:00 - 23:59,6,4,10
09/06/2025 00:00 - 00:59,0,0,0
09/06/2025 01:00 - 01:59,0,2,2
09/06/2025 02:00 - 02:59,0,0,0
09/06/2025 03:00 - 03:59,0,0,0
09/06/2025 04:00 - 04:59,0,4,4
09/06/2025 05:00 - 05:59,6,2,8
09/06/2025 06:00 - 06:59,4,4,8
09/06/2025 07:00 - 07:59,14,10,24
09/06/2025 08:00 - 08:59,37,20,57
09/06/2025 09:00 - 09:59,24,20,44
09/06/2025 10:00 - 10:59,34,40,74
09/06/2025 11:00 - 11:59,49,51,100
09/06/2025 12:00 - 12:59,38,38,76
09/06/2025 13:00 - 13:59,43,58,101
09/06/2025 14:00 - 14:59,37,38,75
09/06/2025 15:00 - 15:59,38,60,98
09/06/2025 16:00 - 16:59,36,38,74
09/06/2025 17:00 - 17:59,36,32,68
09/06/2025 18:00 - 18:59,26,48,74
09/06/2025 19:00 - 19:59,26,35,61
09/06/2025 20:00 - 20:59,16,28,44
09/06/2025 21:00 - 21:59,22,10,32
09/06/2025 22:00 - 22:59,8,16,24
09/06/2025 23:00 - 23:59,4,6,10
09/07/2025 00:00 - 00:59,2,4,6
09/07/2025 01:00 - 01:59,0,2,2
09/07/2025 02:00 - 02:59,0,0,0
09/07/2025 03:00 - 03:59,2,2,4
09/07/2025 04:00 - 04:59,0,0,0
09/07/2025 05:00 - 05:59,4,0,4
09/07/2025 06:00 - 06:59,2,2,4
09/07/2025 07:00 - 07:59,8,6,14
