"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6001 32nd Ave N"
"Comments:","Basset Creek Park"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/2/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/02/2025 11:00 - 11:59,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,7,25.0,32.1
09/02/2025 12:00 - 12:59,4,6,2,3,1,1,0,0,0,0,0,0,0,0,0,17,20.9,29.3
09/02/2025 13:00 - 13:59,0,3,6,4,1,0,0,0,0,0,0,0,0,0,0,14,24.5,29.0
09/02/2025 14:00 - 14:59,3,3,3,5,5,2,0,0,0,0,0,0,0,0,0,21,25.8,34.3
09/02/2025 15:00 - 15:59,1,4,8,6,5,1,1,0,0,0,0,0,0,0,0,26,26.6,33.6
09/02/2025 16:00 - 16:59,1,4,7,4,4,0,0,0,0,0,0,0,0,0,0,20,24.8,31.6
09/02/2025 17:00 - 17:59,3,1,7,8,3,0,0,0,0,0,0,0,0,0,0,22,24.6,30.5
09/02/2025 18:00 - 18:59,5,2,5,3,4,1,0,0,0,0,0,0,0,0,0,20,23.1,32.9
09/02/2025 19:00 - 19:59,3,1,6,9,3,0,0,0,0,0,0,0,0,0,0,22,24.8,30.6
09/02/2025 20:00 - 20:59,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,7,27.7,30.3
09/02/2025 21:00 - 21:59,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,5,29.2,34.8
09/02/2025 22:00 - 22:59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.5,11.6
09/02/2025 23:00 - 23:59,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,32.0,35.5
09/03/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 03:00 - 03:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
09/03/2025 04:00 - 04:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
09/03/2025 05:00 - 05:59,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18.7,26.3
09/03/2025 06:00 - 06:59,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,8,30.0,37.5
09/03/2025 07:00 - 07:59,0,4,7,10,2,0,0,0,0,0,0,0,0,0,0,23,25.7,30.0
09/03/2025 08:00 - 08:59,0,4,2,7,7,1,0,0,0,0,0,0,0,0,0,21,28.2,34.1
09/03/2025 09:00 - 09:59,2,4,0,5,2,2,1,0,0,0,0,0,0,0,0,16,26.5,36.3
09/03/2025 10:00 - 10:59,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,9,26.1,32.9
09/03/2025 11:00 - 11:59,2,2,7,8,3,1,0,0,0,0,0,0,0,0,0,23,25.6,31.1
09/03/2025 12:00 - 12:59,1,4,7,4,1,0,0,0,0,0,0,0,0,0,0,17,23.2,28.4
09/03/2025 13:00 - 13:59,0,7,2,9,5,3,1,0,0,0,0,0,0,0,0,27,28.0,35.5
09/03/2025 14:00 - 14:59,1,1,6,8,2,1,0,0,0,0,0,0,0,0,0,19,26.4,30.1
09/03/2025 15:00 - 15:59,3,2,3,10,7,0,0,0,0,0,0,0,0,0,0,25,26.3,33.0
09/03/2025 16:00 - 16:59,2,7,6,9,5,0,0,0,0,0,0,0,0,0,0,29,24.6,31.1
09/03/2025 17:00 - 17:59,2,5,3,12,4,0,0,0,0,0,0,0,0,0,0,26,25.3,30.5
09/03/2025 18:00 - 18:59,2,3,4,6,2,0,0,0,0,0,0,0,0,0,0,17,24.0,30.1
09/03/2025 19:00 - 19:59,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,17,21.0,28.4
09/03/2025 20:00 - 20:59,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,24.4,27.9
09/03/2025 21:00 - 21:59,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,6,29.2,39.0
09/03/2025 22:00 - 22:59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23.0,27.0
09/03/2025 23:00 - 23:59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23.5,24.0
09/04/2025 00:00 - 00:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/04/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/04/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/04/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/04/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/04/2025 05:00 - 05:59,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,6,23.7,34.0
09/04/2025 06:00 - 06:59,0,3,4,5,1,2,0,1,0,0,0,0,0,0,0,16,28.1,36.3
09/04/2025 07:00 - 07:59,0,3,8,9,5,1,0,0,0,0,0,0,0,0,0,26,27.1,32.6
09/04/2025 08:00 - 08:59,1,5,5,5,4,1,0,0,0,0,0,0,0,0,0,21,25.4,32.7
09/04/2025 09:00 - 09:59,2,3,3,7,9,2,0,0,0,0,0,0,0,0,0,26,27.8,34.7
09/04/2025 10:00 - 10:59,1,2,6,8,4,1,0,0,0,0,0,0,0,0,0,22,26.7,32.5
09/04/2025 11:00 - 11:59,3,2,2,7,3,2,0,0,0,0,0,0,0,0,0,19,25.8,33.8
09/04/2025 12:00 - 12:59,0,3,1,5,3,0,0,0,0,0,0,0,0,0,0,12,26.7,32.2
09/04/2025 13:00 - 13:59,5,2,3,8,0,1,0,0,0,0,0,0,0,0,0,19,22.4,29.5
09/04/2025 14:00 - 14:59,5,2,4,6,1,1,0,0,0,0,0,0,0,0,0,19,22.4,29.9
09/04/2025 15:00 - 15:59,2,8,2,9,4,1,0,0,0,0,0,0,0,0,0,26,24.8,31.8
09/04/2025 16:00 - 16:59,1,5,6,10,2,0,0,0,0,0,0,0,0,0,0,24,24.8,30.0
09/04/2025 17:00 - 17:59,1,3,4,7,4,1,0,0,0,0,0,0,0,0,0,20,26.5,32.9
09/04/2025 18:00 - 18:59,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,7,27.0,33.3
09/04/2025 19:00 - 19:59,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,10,26.0,32.7
09/04/2025 20:00 - 20:59,0,2,3,6,3,0,0,0,0,0,0,0,0,0,0,14,27.0,31.7
09/04/2025 21:00 - 21:59,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,7,24.7,28.4
09/04/2025 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/04/2025 23:00 - 23:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/05/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/05/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/05/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/05/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/05/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/05/2025 05:00 - 05:59,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,6,26.7,32.5
09/05/2025 06:00 - 06:59,0,3,4,5,1,1,0,0,0,1,0,0,0,0,0,15,28.0,32.3
09/05/2025 07:00 - 07:59,0,3,5,4,3,1,0,0,0,0,0,0,0,0,0,16,26.5,32.8
09/05/2025 08:00 - 08:59,2,3,0,12,4,0,0,0,0,0,0,0,0,0,0,21,26.3,31.4
09/05/2025 09:00 - 09:59,3,3,5,6,2,1,0,0,0,0,0,0,0,0,0,20,24.0,30.6
09/05/2025 10:00 - 10:59,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,13,25.7,31.9
09/05/2025 11:00 - 11:59,1,5,4,4,3,0,0,0,0,0,0,0,0,0,0,17,24.1,30.9
09/05/2025 12:00 - 12:59,3,1,2,7,5,1,1,0,0,0,0,0,0,0,0,20,27.1,34.5
09/05/2025 13:00 - 13:59,2,2,5,6,5,0,0,0,0,0,0,0,0,0,0,20,25.6,32.5
09/05/2025 14:00 - 14:59,0,5,4,7,2,0,1,0,0,0,0,0,0,0,0,19,26.1,30.1
09/05/2025 15:00 - 15:59,1,7,3,13,3,2,0,0,0,0,0,0,0,0,0,29,26.1,31.3
09/05/2025 16:00 - 16:59,3,2,7,4,4,1,0,0,0,0,0,0,0,0,0,21,24.7,32.7
09/05/2025 17:00 - 17:59,4,5,3,4,3,1,0,0,0,0,0,0,0,0,0,20,22.8,31.8
09/05/2025 18:00 - 18:59,1,4,6,8,4,0,0,0,0,0,0,0,0,0,0,23,25.5,31.1
09/05/2025 19:00 - 19:59,1,4,10,4,3,1,0,0,0,0,0,0,0,0,0,23,24.8,31.1
09/05/2025 20:00 - 20:59,1,1,4,3,5,2,0,0,0,0,0,0,0,0,0,16,28.2,35.1
09/05/2025 21:00 - 21:59,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,7,28.3,33.3
09/05/2025 22:00 - 22:59,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,6,25.2,34.0
09/05/2025 23:00 - 23:59,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,29.7,36.3
09/06/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 05:00 - 05:59,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25.0,28.6
09/06/2025 06:00 - 06:59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16.5,22.0
09/06/2025 07:00 - 07:59,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,7,24.0,28.3
09/06/2025 08:00 - 08:59,1,4,6,4,2,1,0,0,0,0,0,0,0,0,0,18,24.7,30.5
09/06/2025 09:00 - 09:59,1,2,2,4,3,0,0,0,0,0,0,0,0,0,0,12,25.7,32.2
09/06/2025 10:00 - 10:59,2,5,5,3,2,0,0,0,0,0,0,0,0,0,0,17,22.5,29.3
09/06/2025 11:00 - 11:59,8,5,2,7,1,1,0,0,0,0,0,0,0,0,0,24,20.5,29.5
09/06/2025 12:00 - 12:59,0,1,3,9,5,1,0,0,0,0,0,0,0,0,0,19,28.9,33.7
09/06/2025 13:00 - 13:59,3,3,0,8,7,0,0,0,0,0,0,0,0,0,0,21,26.1,33.4
09/06/2025 14:00 - 14:59,2,2,3,6,5,0,0,0,0,0,0,0,0,0,0,18,25.9,32.8
09/06/2025 15:00 - 15:59,0,4,3,9,3,0,0,0,0,0,0,0,0,0,0,19,26.3,30.4
09/06/2025 16:00 - 16:59,0,4,4,7,3,0,0,0,0,0,0,0,0,0,0,18,25.9,30.7
09/06/2025 17:00 - 17:59,1,3,2,6,4,2,0,0,0,0,0,0,0,0,0,18,27.4,34.5
09/06/2025 18:00 - 18:59,1,4,2,3,3,0,0,0,0,0,0,0,0,0,0,13,24.3,31.9
09/06/2025 19:00 - 19:59,0,3,5,4,1,0,0,0,0,0,0,0,0,0,0,13,24.5,29.2
09/06/2025 20:00 - 20:59,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,8,31.0,36.8
09/06/2025 21:00 - 21:59,0,1,2,4,4,0,0,0,0,0,0,0,0,0,0,11,28.5,33.3
09/06/2025 22:00 - 22:59,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,22.0,25.5
09/06/2025 23:00 - 23:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
09/07/2025 00:00 - 00:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
09/07/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/07/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/07/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/07/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/07/2025 05:00 - 05:59,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,25.5,32.0
