"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6009 34th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/02/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/02/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/02/2025 12:00 - 12:59,1,6,10,2,0,0,0,0,0,0,0,0,0,0,0,19,21.7,25.3
09/02/2025 13:00 - 13:59,1,3,14,2,0,0,0,0,0,0,0,0,0,0,0,20,22.5,25.5
09/02/2025 14:00 - 14:59,2,4,14,1,1,0,0,0,0,0,0,0,0,0,0,22,22.0,25.4
09/02/2025 15:00 - 15:59,1,7,18,2,0,0,0,0,0,0,0,0,0,0,0,28,22.1,25.3
09/02/2025 16:00 - 16:59,2,7,16,1,0,0,0,0,0,0,0,0,0,0,0,26,21.3,24.9
09/02/2025 17:00 - 17:59,2,3,15,5,0,0,0,0,0,0,0,0,0,0,0,25,22.8,26.8
09/02/2025 18:00 - 18:59,2,7,5,1,0,0,0,0,0,0,0,0,0,0,0,15,19.7,24.3
09/02/2025 19:00 - 19:59,1,4,7,2,0,0,0,0,0,0,0,0,0,0,0,14,21.8,25.6
09/02/2025 20:00 - 20:59,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,7,20.7,24.5
09/02/2025 21:00 - 21:59,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,22.0,24.2
09/02/2025 22:00 - 22:59,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,20.3,26.3
09/02/2025 23:00 - 23:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/03/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/03/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
09/03/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 05:00 - 05:59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.0,17.0
09/03/2025 06:00 - 06:59,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,23.3,25.5
