"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6218 38th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","08/19/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Westbound","Eastbound","Total"
08/19/2025 13:00 - 13:59,18,12,30
08/19/2025 14:00 - 14:59,28,32,60
08/19/2025 15:00 - 15:59,42,35,77
08/19/2025 16:00 - 16:59,36,61,97
08/19/2025 17:00 - 17:59,50,60,110
08/19/2025 18:00 - 18:59,48,42,90
08/19/2025 19:00 - 19:59,32,32,64
08/19/2025 20:00 - 20:59,32,33,65
08/19/2025 21:00 - 21:59,10,12,22
08/19/2025 22:00 - 22:59,4,10,14
08/19/2025 23:00 - 23:59,4,2,6
08/20/2025 00:00 - 00:59,0,4,4
08/20/2025 01:00 - 01:59,6,4,10
08/20/2025 02:00 - 02:59,0,2,2
08/20/2025 03:00 - 03:59,0,0,0
08/20/2025 04:00 - 04:59,6,2,8
08/20/2025 05:00 - 05:59,4,4,8
08/20/2025 06:00 - 06:59,20,6,26
08/20/2025 07:00 - 07:59,36,18,54
08/20/2025 08:00 - 08:59,58,22,80
08/20/2025 09:00 - 09:59,26,39,65
08/20/2025 10:00 - 10:59,24,14,38
08/20/2025 11:00 - 11:59,20,24,44
08/20/2025 12:00 - 12:59,38,36,74
08/20/2025 13:00 - 13:59,20,44,64
08/20/2025 14:00 - 14:59,46,24,70
08/20/2025 15:00 - 15:59,34,42,76
08/20/2025 16:00 - 16:59,48,58,106
08/20/2025 17:00 - 17:59,56,48,104
08/20/2025 18:00 - 18:59,38,32,70
08/20/2025 19:00 - 19:59,29,24,53
08/20/2025 20:00 - 20:59,20,38,58
08/20/2025 21:00 - 21:59,10,15,25
08/20/2025 22:00 - 22:59,2,12,14
08/20/2025 23:00 - 23:59,6,2,8
08/21/2025 00:00 - 00:59,0,0,0
08/21/2025 01:00 - 01:59,0,0,0
08/21/2025 02:00 - 02:59,2,0,2
08/21/2025 03:00 - 03:59,0,0,0
08/21/2025 04:00 - 04:59,4,2,6
08/21/2025 05:00 - 05:59,10,0,10
08/21/2025 06:00 - 06:59,24,14,38
08/21/2025 07:00 - 07:59,40,6,46
08/21/2025 08:00 - 08:59,30,22,52
08/21/2025 09:00 - 09:59,22,15,37
08/21/2025 10:00 - 10:59,30,24,54
08/21/2025 11:00 - 11:59,32,28,60
08/21/2025 12:00 - 12:59,33,34,67
08/21/2025 13:00 - 13:59,34,33,67
08/21/2025 14:00 - 14:59,28,44,72
08/21/2025 15:00 - 15:59,54,45,99
