"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6218 38th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","08/19/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
08/19/2025 13:00 - 13:59,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,9,21.3,25.1
08/19/2025 14:00 - 14:59,1,5,6,2,0,0,0,0,0,0,0,0,0,0,0,14,21.4,25.5
08/19/2025 15:00 - 15:59,0,5,13,3,0,0,0,0,0,0,0,0,0,0,0,21,23.0,25.8
08/19/2025 16:00 - 16:59,2,5,9,2,0,0,0,0,0,0,0,0,0,0,0,18,21.2,25.3
08/19/2025 17:00 - 17:59,3,10,10,2,0,0,0,0,0,0,0,0,0,0,0,25,20.3,24.9
08/19/2025 18:00 - 18:59,1,8,13,1,0,0,0,0,0,0,0,0,0,0,0,23,21.3,24.9
08/19/2025 19:00 - 19:59,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,16,20.1,23.9
08/19/2025 20:00 - 20:59,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,15,20.6,24.3
08/19/2025 21:00 - 21:59,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,24.4,24.8
08/19/2025 22:00 - 22:59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16.5,22.0
08/19/2025 23:00 - 23:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
08/20/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
08/20/2025 01:00 - 01:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
08/20/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
08/20/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
08/20/2025 04:00 - 04:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
08/20/2025 05:00 - 05:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
08/20/2025 06:00 - 06:59,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,10,23.5,26.0
08/20/2025 07:00 - 07:59,2,5,8,3,0,0,0,0,0,0,0,0,0,0,0,18,21.4,25.7
08/20/2025 08:00 - 08:59,2,7,17,3,0,0,0,0,0,0,0,0,0,0,0,29,21.9,25.5
08/20/2025 09:00 - 09:59,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,13,21.2,24.6
08/20/2025 10:00 - 10:59,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,12,24.7,28.1
08/20/2025 11:00 - 11:59,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,10,22.1,26.0
08/20/2025 12:00 - 12:59,0,2,13,4,0,0,0,0,0,0,0,0,0,0,0,19,24.0,26.8
08/20/2025 13:00 - 13:59,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,10,21.6,25.2
08/20/2025 14:00 - 14:59,0,6,11,5,0,0,0,0,0,0,0,0,0,0,0,22,23.2,27.2
08/20/2025 15:00 - 15:59,0,5,10,2,0,0,0,0,0,0,0,0,0,0,0,17,22.6,25.5
08/20/2025 16:00 - 16:59,0,7,15,2,0,0,0,0,0,0,0,0,0,0,0,24,22.4,25.3
08/20/2025 17:00 - 17:59,3,5,10,10,0,0,0,0,0,0,0,0,0,0,0,28,23.0,28.6
08/20/2025 18:00 - 18:59,3,5,8,3,0,0,0,0,0,0,0,0,0,0,0,19,20.8,25.4
08/20/2025 19:00 - 19:59,1,5,6,2,0,0,0,0,0,0,0,0,0,0,0,14,21.4,25.5
08/20/2025 20:00 - 20:59,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,10,21.6,26.0
08/20/2025 21:00 - 21:59,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,17.2,22.9
08/20/2025 22:00 - 22:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
08/20/2025 23:00 - 23:59,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.3,19.4
08/21/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
08/21/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
08/21/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
08/21/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
08/21/2025 04:00 - 04:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
