"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6420 41st Ave N"
"Comments:","Near Hagemeister Pond Entrance"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","10/30/2024"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
10/30/2024 14:00 - 14:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
10/30/2024 15:00 - 15:59,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,15,25.8,29.3
10/30/2024 16:00 - 16:59,1,2,10,6,3,0,0,0,0,0,0,0,0,0,0,22,25.1,30.3
10/30/2024 17:00 - 17:59,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,7,27.6,30.1
10/30/2024 18:00 - 18:59,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,10,20.8,25.0
10/30/2024 19:00 - 19:59,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,11,23.9,25.6
10/30/2024 20:00 - 20:59,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,20.8,27.9
10/30/2024 21:00 - 21:59,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6,25.8,29.3
10/30/2024 22:00 - 22:59,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,24.4,27.9
10/30/2024 23:00 - 23:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
10/31/2024 00:00 - 00:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
10/31/2024 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/31/2024 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/31/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/31/2024 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/31/2024 05:00 - 05:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
10/31/2024 06:00 - 06:59,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,24.5,28.3
10/31/2024 07:00 - 07:59,0,3,9,6,1,0,0,0,0,0,0,0,0,0,0,19,24.7,29.0
10/31/2024 08:00 - 08:59,0,1,6,6,2,1,0,0,0,0,0,0,0,0,0,16,27.2,31.3
10/31/2024 09:00 - 09:59,0,3,8,1,1,0,0,0,0,0,0,0,0,0,0,13,23.4,23.8
10/31/2024 10:00 - 10:59,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,7,24.3,29.6
10/31/2024 11:00 - 11:59,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,25.8,29.2
10/31/2024 12:00 - 12:59,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,5,29.2,34.8
10/31/2024 13:00 - 13:59,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5,26.2,29.8
10/31/2024 14:00 - 14:59,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,5,32.0,46.6
10/31/2024 15:00 - 15:59,0,0,1,3,1,1,2,0,0,0,0,0,0,0,0,8,33.3,41.8
10/31/2024 16:00 - 16:59,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,11,26.2,30.6
10/31/2024 17:00 - 17:59,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,10,23.0,31.0
10/31/2024 18:00 - 18:59,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,9,21.3,26.8
10/31/2024 19:00 - 19:59,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,18.0,24.8
10/31/2024 20:00 - 20:59,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,6,22.0,27.5
10/31/2024 21:00 - 21:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
10/31/2024 22:00 - 22:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
10/31/2024 23:00 - 23:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
11/01/2024 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/01/2024 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/01/2024 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
11/01/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/01/2024 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/01/2024 05:00 - 05:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
11/01/2024 06:00 - 06:59,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,23.3,25.5
11/01/2024 07:00 - 07:59,1,2,3,9,2,1,0,0,0,0,0,0,0,0,0,18,26.6,30.5
11/01/2024 08:00 - 08:59,1,1,7,6,2,1,0,0,0,0,0,0,0,0,0,18,26.0,30.5
11/01/2024 09:00 - 09:59,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,10,23.6,28.5
11/01/2024 10:00 - 10:59,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,6,26.7,32.5
