"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6420 41st Ave N"
"Comments:","Near Hagemeister Pond Entrance"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","10/30/2024"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
10/30/2024 14:00 - 14:59,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,22.0,24.2
10/30/2024 15:00 - 15:59,1,3,12,14,2,0,0,0,0,0,0,0,0,0,0,32,25.4,29.8
10/30/2024 16:00 - 16:59,1,3,20,8,7,0,0,0,0,0,0,0,0,0,0,39,25.6,31.5
10/30/2024 17:00 - 17:59,0,1,9,9,2,1,0,0,0,0,0,0,0,0,0,22,26.8,30.6
10/30/2024 18:00 - 18:59,4,5,15,4,1,0,0,0,0,0,0,0,0,0,0,29,21.8,26.2
10/30/2024 19:00 - 19:59,1,1,16,5,0,0,0,0,0,0,0,0,0,0,0,23,23.7,27.0
10/30/2024 20:00 - 20:59,1,2,0,5,0,2,0,0,0,0,0,0,0,0,0,10,26.6,36.0
10/30/2024 21:00 - 21:59,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,10,26.4,29.6
10/30/2024 22:00 - 22:59,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,10,25.9,29.8
10/30/2024 23:00 - 23:59,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,35.5,37.0
10/31/2024 00:00 - 00:59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28.5,29.0
10/31/2024 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/31/2024 02:00 - 02:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
10/31/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/31/2024 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
10/31/2024 05:00 - 05:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
10/31/2024 06:00 - 06:59,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,6,25.8,29.0
10/31/2024 07:00 - 07:59,0,4,14,6,1,1,0,0,0,0,0,0,0,0,0,26,24.8,29.0
10/31/2024 08:00 - 08:59,0,1,7,8,4,1,0,0,0,0,0,0,0,0,0,21,27.7,32.7
10/31/2024 09:00 - 09:59,0,4,10,5,3,0,0,0,0,0,0,0,0,0,0,22,25.0,30.2
10/31/2024 10:00 - 10:59,1,1,7,3,3,0,0,0,0,0,0,0,0,0,0,15,25.1,31.4
10/31/2024 11:00 - 11:59,1,2,1,6,1,0,0,0,0,0,0,0,0,0,0,11,24.9,30.0
10/31/2024 12:00 - 12:59,1,0,3,1,1,1,2,1,0,1,1,0,0,0,0,12,36.3,54.5
10/31/2024 13:00 - 13:59,0,0,3,1,1,2,1,1,0,1,0,0,0,1,0,11,39.5,55.3
10/31/2024 14:00 - 14:59,1,1,2,1,0,3,0,4,1,1,1,0,0,1,1,17,44.4,60.8
