"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6420 41st Ave N"
"Comments:","Near Hagemeister Pond Entrance"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","10/30/2024"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Westbound","Eastbound","Total"
10/30/2024 14:00 - 14:59,3,1,4
10/30/2024 15:00 - 15:59,17,15,32
10/30/2024 16:00 - 16:59,17,22,39
10/30/2024 17:00 - 17:59,15,7,22
10/30/2024 18:00 - 18:59,19,10,29
10/30/2024 19:00 - 19:59,12,11,23
10/30/2024 20:00 - 20:59,5,5,10
10/30/2024 21:00 - 21:59,4,6,10
10/30/2024 22:00 - 22:59,5,5,10
10/30/2024 23:00 - 23:59,1,1,2
10/31/2024 00:00 - 00:59,1,1,2
10/31/2024 01:00 - 01:59,0,0,0
10/31/2024 02:00 - 02:59,1,0,1
10/31/2024 03:00 - 03:59,0,0,0
10/31/2024 04:00 - 04:59,1,0,1
10/31/2024 05:00 - 05:59,0,3,3
10/31/2024 06:00 - 06:59,2,4,6
10/31/2024 07:00 - 07:59,7,19,26
10/31/2024 08:00 - 08:59,5,16,21
10/31/2024 09:00 - 09:59,9,13,22
10/31/2024 10:00 - 10:59,8,7,15
10/31/2024 11:00 - 11:59,7,4,11
10/31/2024 12:00 - 12:59,7,5,12
10/31/2024 13:00 - 13:59,7,5,12
10/31/2024 14:00 - 14:59,13,5,18
10/31/2024 15:00 - 15:59,17,8,25
10/31/2024 16:00 - 16:59,22,11,33
10/31/2024 17:00 - 17:59,21,10,31
10/31/2024 18:00 - 18:59,12,9,21
10/31/2024 19:00 - 19:59,10,5,15
10/31/2024 20:00 - 20:59,4,6,10
10/31/2024 21:00 - 21:59,5,2,7
10/31/2024 22:00 - 22:59,3,3,6
10/31/2024 23:00 - 23:59,2,1,3
11/01/2024 00:00 - 00:59,0,0,0
11/01/2024 01:00 - 01:59,0,0,0
11/01/2024 02:00 - 02:59,1,1,2
11/01/2024 03:00 - 03:59,0,0,0
11/01/2024 04:00 - 04:59,0,0,0
11/01/2024 05:00 - 05:59,1,4,5
11/01/2024 06:00 - 06:59,0,4,4
11/01/2024 07:00 - 07:59,3,18,21
11/01/2024 08:00 - 08:59,6,18,24
11/01/2024 09:00 - 09:59,8,10,18
11/01/2024 10:00 - 10:59,6,6,12
11/01/2024 11:00 - 11:59,7,8,15
11/01/2024 12:00 - 12:59,16,6,22
11/01/2024 13:00 - 13:59,11,11,22
11/01/2024 14:00 - 14:59,21,16,37
11/01/2024 15:00 - 15:59,17,7,24
11/01/2024 16:00 - 16:59,23,8,31
11/01/2024 17:00 - 17:59,12,12,24
11/01/2024 18:00 - 18:59,8,7,15
11/01/2024 19:00 - 19:59,5,6,11
11/01/2024 20:00 - 20:59,4,7,11
11/01/2024 21:00 - 21:59,2,1,3
11/01/2024 22:00 - 22:59,5,0,5
11/01/2024 23:00 - 23:59,3,3,6
11/02/2024 00:00 - 00:59,1,1,2
11/02/2024 01:00 - 01:59,0,2,2
11/02/2024 02:00 - 02:59,0,0,0
11/02/2024 03:00 - 03:59,1,0,1
11/02/2024 04:00 - 04:59,0,0,0
11/02/2024 05:00 - 05:59,0,2,2
11/02/2024 06:00 - 06:59,0,1,1
11/02/2024 07:00 - 07:59,2,2,4
11/02/2024 08:00 - 08:59,4,9,13
11/02/2024 09:00 - 09:59,4,9,13
11/02/2024 10:00 - 10:59,5,5,10
11/02/2024 11:00 - 11:59,6,13,19
11/02/2024 12:00 - 12:59,14,15,29
11/02/2024 13:00 - 13:59,16,14,30
11/02/2024 14:00 - 14:59,12,15,27
11/02/2024 15:00 - 15:59,19,14,33
11/02/2024 16:00 - 16:59,12,14,26
11/02/2024 17:00 - 17:59,16,10,26
11/02/2024 18:00 - 18:59,9,5,14
11/02/2024 19:00 - 19:59,5,2,7
11/02/2024 20:00 - 20:59,4,4,8
11/02/2024 21:00 - 21:59,6,2,8
11/02/2024 22:00 - 22:59,7,4,11
11/02/2024 23:00 - 23:59,3,2,5
11/03/2024 00:00 - 00:59,4,1,5
11/03/2024 01:00 - 01:59,1,0,1
11/03/2024 02:00 - 02:59,0,1,1
11/03/2024 03:00 - 03:59,1,0,1
11/03/2024 04:00 - 04:59,1,0,1
11/03/2024 05:00 - 05:59,1,0,1
11/03/2024 06:00 - 06:59,0,0,0
11/03/2024 07:00 - 07:59,0,0,0
11/03/2024 08:00 - 08:59,1,2,3
11/03/2024 09:00 - 09:59,2,5,7
11/03/2024 10:00 - 10:59,7,15,22
11/03/2024 11:00 - 11:59,13,12,25
11/03/2024 12:00 - 12:59,8,9,17
11/03/2024 13:00 - 13:59,7,7,14
11/03/2024 14:00 - 14:59,11,9,20
11/03/2024 15:00 - 15:59,10,7,17
11/03/2024 16:00 - 16:59,10,14,24
11/03/2024 17:00 - 17:59,10,11,21
11/03/2024 18:00 - 18:59,6,7,13
11/03/2024 19:00 - 19:59,7,4,11
11/03/2024 20:00 - 20:59,4,3,7
11/03/2024 21:00 - 21:59,5,3,8
11/03/2024 22:00 - 22:59,3,4,7
11/03/2024 23:00 - 23:59,4,2,6
11/04/2024 00:00 - 00:59,0,0,0
11/04/2024 01:00 - 01:59,0,0,0
11/04/2024 02:00 - 02:59,0,0,0
11/04/2024 03:00 - 03:59,0,0,0
11/04/2024 04:00 - 04:59,1,0,1
11/04/2024 05:00 - 05:59,1,0,1
11/04/2024 06:00 - 06:59,1,3,4
11/04/2024 07:00 - 07:59,1,6,7
11/04/2024 08:00 - 08:59,4,19,23
11/04/2024 09:00 - 09:59,6,15,21
11/04/2024 10:00 - 10:59,8,16,24
11/04/2024 11:00 - 11:59,7,7,14
11/04/2024 12:00 - 12:59,9,12,21
