"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6420 41st Ave N"
"Comments:","Near Hagemeister Pond Entrance"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","10/30/2024"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Westbound","Eastbound","Total"
10/30/2024 14:00 - 14:59,6,2,8
10/30/2024 15:00 - 15:59,34,30,64
10/30/2024 16:00 - 16:59,34,44,78
10/30/2024 17:00 - 17:59,30,14,44
10/30/2024 18:00 - 18:59,38,20,58
10/30/2024 19:00 - 19:59,24,22,46
10/30/2024 20:00 - 20:59,10,10,20
10/30/2024 21:00 - 21:59,8,12,20
10/30/2024 22:00 - 22:59,10,10,20
10/30/2024 23:00 - 23:59,2,2,4
10/31/2024 00:00 - 00:59,2,2,4
10/31/2024 01:00 - 01:59,0,0,0
10/31/2024 02:00 - 02:59,2,0,2
10/31/2024 03:00 - 03:59,0,0,0
10/31/2024 04:00 - 04:59,2,0,2
10/31/2024 05:00 - 05:59,0,6,6
10/31/2024 06:00 - 06:59,4,8,12
10/31/2024 07:00 - 07:59,14,38,52
10/31/2024 08:00 - 08:59,10,32,42
10/31/2024 09:00 - 09:59,20,26,46
10/31/2024 10:00 - 10:59,16,15,31
10/31/2024 11:00 - 11:59,16,8,24
10/31/2024 12:00 - 12:59,14,10,24
10/31/2024 13:00 - 13:59,14,10,24
10/31/2024 14:00 - 14:59,26,12,38
10/31/2024 15:00 - 15:59,34,16,50
10/31/2024 16:00 - 16:59,44,22,66
10/31/2024 17:00 - 17:59,42,20,62
10/31/2024 18:00 - 18:59,24,18,42
10/31/2024 19:00 - 19:59,20,10,30
10/31/2024 20:00 - 20:59,8,12,20
10/31/2024 21:00 - 21:59,10,4,14
10/31/2024 22:00 - 22:59,6,6,12
10/31/2024 23:00 - 23:59,4,2,6
11/01/2024 00:00 - 00:59,0,0,0
11/01/2024 01:00 - 01:59,0,0,0
11/01/2024 02:00 - 02:59,2,2,4
11/01/2024 03:00 - 03:59,0,0,0
11/01/2024 04:00 - 04:59,0,0,0
11/01/2024 05:00 - 05:59,2,8,10
11/01/2024 06:00 - 06:59,0,8,8
11/01/2024 07:00 - 07:59,6,36,42
11/01/2024 08:00 - 08:59,12,36,48
11/01/2024 09:00 - 09:59,16,21,37
11/01/2024 10:00 - 10:59,12,12,24
11/01/2024 11:00 - 11:59,14,16,30
11/01/2024 12:00 - 12:59,32,14,46
11/01/2024 13:00 - 13:59,23,22,45
11/01/2024 14:00 - 14:59,42,32,74
11/01/2024 15:00 - 15:59,34,14,48
11/01/2024 16:00 - 16:59,46,16,62
11/01/2024 17:00 - 17:59,24,24,48
11/01/2024 18:00 - 18:59,16,14,30
11/01/2024 19:00 - 19:59,10,12,22
11/01/2024 20:00 - 20:59,8,14,22
11/01/2024 21:00 - 21:59,4,2,6
11/01/2024 22:00 - 22:59,10,0,10
11/01/2024 23:00 - 23:59,6,6,12
11/02/2024 00:00 - 00:59,2,2,4
11/02/2024 01:00 - 01:59,0,4,4
11/02/2024 02:00 - 02:59,0,0,0
11/02/2024 03:00 - 03:59,2,0,2
11/02/2024 04:00 - 04:59,0,0,0
11/02/2024 05:00 - 05:59,0,4,4
11/02/2024 06:00 - 06:59,0,2,2
11/02/2024 07:00 - 07:59,4,4,8
11/02/2024 08:00 - 08:59,8,18,26
11/02/2024 09:00 - 09:59,8,18,26
11/02/2024 10:00 - 10:59,10,10,20
11/02/2024 11:00 - 11:59,12,26,38
11/02/2024 12:00 - 12:59,28,30,58
11/02/2024 13:00 - 13:59,32,29,61
11/02/2024 14:00 - 14:59,24,30,54
11/02/2024 15:00 - 15:59,38,28,66
11/02/2024 16:00 - 16:59,25,29,54
11/02/2024 17:00 - 17:59,32,20,52
11/02/2024 18:00 - 18:59,18,10,28
11/02/2024 19:00 - 19:59,10,4,14
11/02/2024 20:00 - 20:59,8,8,16
11/02/2024 21:00 - 21:59,12,5,17
11/02/2024 22:00 - 22:59,14,8,22
11/02/2024 23:00 - 23:59,6,4,10
11/03/2024 00:00 - 00:59,8,2,10
11/03/2024 01:00 - 01:59,2,0,2
11/03/2024 02:00 - 02:59,0,2,2
11/03/2024 03:00 - 03:59,2,0,2
11/03/2024 04:00 - 04:59,2,0,2
11/03/2024 05:00 - 05:59,2,0,2
11/03/2024 06:00 - 06:59,0,0,0
11/03/2024 07:00 - 07:59,0,0,0
11/03/2024 08:00 - 08:59,2,4,6
11/03/2024 09:00 - 09:59,4,10,14
