"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6420 41st Ave N"
"Comments:","Near Hagemeister Pond Entrance"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","10/30/2024"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
10/30/2024 14:00 - 14:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
10/30/2024 15:00 - 15:59,1,2,6,6,2,0,0,0,0,0,0,0,0,0,0,17,25.1,30.1
10/30/2024 16:00 - 16:59,0,1,10,2,4,0,0,0,0,0,0,0,0,0,0,17,26.1,32.2
10/30/2024 17:00 - 17:59,0,1,6,6,2,0,0,0,0,0,0,0,0,0,0,15,26.5,30.4
10/30/2024 18:00 - 18:59,2,3,10,4,0,0,0,0,0,0,0,0,0,0,0,19,22.4,26.8
10/30/2024 19:00 - 19:59,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,12,23.6,27.2
10/30/2024 20:00 - 20:59,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,5,32.4,37.9
10/30/2024 21:00 - 21:59,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,27.0,29.2
10/30/2024 22:00 - 22:59,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,5,27.4,29.8
10/30/2024 23:00 - 23:59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38.0,37.8
10/31/2024 00:00 - 00:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
10/31/2024 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10/31/2024 02:00 - 02:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
