"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6608 53rd Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Westbound / Eastbound)"
"Date/Time","Volume - Westbound","Volume - Eastbound","Class #1 - Westbound","Class #2 - Westbound","Class #3 - Westbound","Class #4 - Westbound","Class #5 - Westbound","Class #6 - Westbound","Class #7 - Westbound","Class #8 - Westbound","Class #9 - Westbound","Class #10 - Westbound","Class #11 - Westbound","Class #12 - Westbound","Class #13 - Westbound","Class #1 - Eastbound","Class #2 - Eastbound","Class #3 - Eastbound","Class #4 - Eastbound","Class #5 - Eastbound","Class #6 - Eastbound","Class #7 - Eastbound","Class #8 - Eastbound","Class #9 - Eastbound","Class #10 - Eastbound","Class #11 - Eastbound","Class #12 - Eastbound","Class #13 - Eastbound","5-14 MPH  - Westbound","15-19 MPH  - Westbound","20-24 MPH  - Westbound","25-29 MPH  - Westbound","30-34 MPH  - Westbound","35-39 MPH  - Westbound","40-44 MPH  - Westbound","45-49 MPH  - Westbound","50-54 MPH  - Westbound","55-59 MPH  - Westbound","60-64 MPH  - Westbound","65-69 MPH  - Westbound","70-74 MPH  - Westbound","75-79 MPH  - Westbound","80-99 MPH  - Westbound","5-14 MPH  - Eastbound","15-19 MPH  - Eastbound","20-24 MPH  - Eastbound","25-29 MPH  - Eastbound","30-34 MPH  - Eastbound","35-39 MPH  - Eastbound","40-44 MPH  - Eastbound","45-49 MPH  - Eastbound","50-54 MPH  - Eastbound","55-59 MPH  - Eastbound","60-64 MPH  - Eastbound","65-69 MPH  - Eastbound","70-74 MPH  - Eastbound","75-79 MPH  - Eastbound","80-99 MPH  - Eastbound"
07/15/2025 13:00,3,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0
07/15/2025 14:00,40,29,0,38,2,0,0,0,0,0,0,0,0,0,0,0,21,6,0,2,0,0,0,0,0,0,0,0,0,1,7,18,12,2,0,0,0,0,0,0,0,0,0,2,2,5,10,9,1,0,0,0,0,0,0,0,0,0
07/15/2025 15:00,43,46,0,38,4,0,1,0,0,0,0,0,0,0,0,0,35,6,1,4,0,0,0,0,0,0,0,0,0,1,3,16,17,5,1,0,0,0,0,0,0,0,0,1,0,8,19,12,4,2,0,0,0,0,0,0,0,0
07/15/2025 16:00,58,42,0,51,2,0,3,0,0,2,0,0,0,0,0,0,38,3,0,0,0,0,1,0,0,0,0,0,0,0,14,21,20,3,0,0,0,0,0,0,0,0,0,0,0,5,19,15,3,0,0,0,0,0,0,0,0,0
07/15/2025 17:00,55,45,0,48,6,0,1,0,0,0,0,0,0,0,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,3,30,11,11,0,0,0,0,0,0,0,0,0,0,0,8,16,18,2,1,0,0,0,0,0,0,0,0
07/15/2025 18:00,36,31,0,32,4,0,0,0,0,0,0,0,0,0,0,1,27,1,2,0,0,0,0,0,0,0,0,0,0,0,10,12,7,7,0,0,0,0,0,0,0,0,0,0,1,6,13,10,0,1,0,0,0,0,0,0,0,0
07/15/2025 19:00,22,19,0,20,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,4,2,0,0,0,0,0,0,0,0,0,0,3,2,4,7,2,1,0,0,0,0,0,0,0,0
07/15/2025 20:00,33,25,0,29,4,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,2,1,0,0,0,0,0,0,0,0,0,0,5,11,7,2,0,0,0,0,0,0,0,0,0
07/15/2025 21:00,18,12,0,17,1,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,1,0,0,0,0,0,0,0,1,3,7,7,0,0,0,0,0,0,0,0,0,0,1,0,3,3,5,0,0,0,0,0,0,0,0,0,0
07/15/2025 22:00,7,8,1,5,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0
