"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6608 53rd Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Westbound / Eastbound)"
"Date/Time","Volume - Westbound","Volume - Eastbound","Class #1 - Westbound","Class #2 - Westbound","Class #3 - Westbound","Class #4 - Westbound","Class #5 - Westbound","Class #6 - Westbound","Class #7 - Westbound","Class #8 - Westbound","Class #9 - Westbound","Class #10 - Westbound","Class #11 - Westbound","Class #12 - Westbound","Class #13 - Westbound","Class #1 - Eastbound","Class #2 - Eastbound","Class #3 - Eastbound","Class #4 - Eastbound","Class #5 - Eastbound","Class #6 - Eastbound","Class #7 - Eastbound","Class #8 - Eastbound","Class #9 - Eastbound","Class #10 - Eastbound","Class #11 - Eastbound","Class #12 - Eastbound","Class #13 - Eastbound","5-15 MPH  - Westbound","16-20 MPH  - Westbound","21-25 MPH  - Westbound","26-30 MPH  - Westbound","31-35 MPH  - Westbound","36-40 MPH  - Westbound","41-45 MPH  - Westbound","44-50 MPH  - Westbound","51-55 MPH  - Westbound","56-60 MPH  - Westbound","61-65 MPH  - Westbound","66-70 MPH  - Westbound","71-71 MPH  - Westbound","76-80 MPH  - Westbound","81-99 MPH  - Westbound","5-15 MPH  - Eastbound","16-20 MPH  - Eastbound","21-25 MPH  - Eastbound","26-30 MPH  - Eastbound","31-35 MPH  - Eastbound","36-40 MPH  - Eastbound","41-45 MPH  - Eastbound","44-50 MPH  - Eastbound","51-55 MPH  - Eastbound","56-60 MPH  - Eastbound","61-65 MPH  - Eastbound","66-70 MPH  - Eastbound","71-71 MPH  - Eastbound","76-80 MPH  - Eastbound","81-99 MPH  - Eastbound"
07/15/2025 13:00,3,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0
07/15/2025 14:00,40,29,0,38,2,0,0,0,0,0,0,0,0,0,0,0,21,6,0,2,0,0,0,0,0,0,0,0,0,1,12,16,11,0,0,0,0,0,0,0,0,0,0,2,2,6,13,5,1,0,0,0,0,0,0,0,0,0
07/15/2025 15:00,43,46,0,38,4,0,1,0,0,0,0,0,0,0,0,0,35,6,1,4,0,0,0,0,0,0,0,0,0,1,3,22,13,3,1,0,0,0,0,0,0,0,0,1,0,14,18,8,4,1,0,0,0,0,0,0,0,0
07/15/2025 16:00,58,42,0,51,2,0,3,0,0,2,0,0,0,0,0,0,38,3,0,0,0,0,1,0,0,0,0,0,0,0,16,25,14,3,0,0,0,0,0,0,0,0,0,0,0,10,18,12,2,0,0,0,0,0,0,0,0,0
07/15/2025 17:00,55,45,0,48,6,0,1,0,0,0,0,0,0,0,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,1,6,32,8,8,0,0,0,0,0,0,0,0,0,0,0,9,18,17,0,1,0,0,0,0,0,0,0,0
07/15/2025 18:00,36,31,0,32,4,0,0,0,0,0,0,0,0,0,0,1,27,1,2,0,0,0,0,0,0,0,0,0,0,1,10,14,8,3,0,0,0,0,0,0,0,0,0,0,1,9,12,8,1,0,0,0,0,0,0,0,0,0
07/15/2025 19:00,22,19,0,20,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,5,1,0,0,0,0,0,0,0,0,0,0,3,3,4,6,2,1,0,0,0,0,0,0,0,0
07/15/2025 20:00,33,25,0,29,4,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,1,6,14,11,0,1,0,0,0,0,0,0,0,0,0,1,5,14,4,1,0,0,0,0,0,0,0,0,0
07/15/2025 21:00,18,12,0,17,1,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,1,0,0,0,0,0,0,1,0,5,9,3,0,0,0,0,0,0,0,0,0,0,1,0,6,0,5,0,0,0,0,0,0,0,0,0,0
07/15/2025 22:00,7,8,1,5,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0
07/15/2025 23:00,7,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0
07/16/2025 00:00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 01:00,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 02:00,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 03:00,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
07/16/2025 04:00,5,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0
07/16/2025 05:00,3,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
07/16/2025 06:00,12,28,0,8,0,0,4,0,0,0,0,0,0,0,0,0,21,3,0,4,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,13,9,1,0,0,0,0,0,0,0,0,0
07/16/2025 07:00,19,44,0,17,0,0,1,0,1,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,1,0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,1,5,18,18,2,0,0,0,0,0,0,0,0,0
07/16/2025 08:00,36,48,0,26,2,0,7,1,0,0,0,0,0,0,0,0,44,2,0,1,0,0,0,1,0,0,0,0,0,0,7,16,10,2,1,0,0,0,0,0,0,0,0,1,0,11,18,12,5,1,0,0,0,0,0,0,0,0
07/16/2025 09:00,20,20,0,15,3,0,0,2,0,0,0,0,0,0,0,0,17,2,0,1,0,0,0,0,0,0,0,0,0,1,4,11,4,0,0,0,0,0,0,0,0,0,0,0,1,6,11,1,1,0,0,0,0,0,0,0,0,0
07/16/2025 10:00,14,28,0,11,2,0,0,1,0,0,0,0,0,0,0,0,22,0,0,4,2,0,0,0,0,0,0,0,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,9,0,0,0,0,0,0,0,0,0,0
07/16/2025 11:00,29,31,0,20,4,1,4,0,0,0,0,0,0,0,0,0,22,6,1,2,0,0,0,0,0,0,0,0,0,2,5,14,7,1,0,0,0,0,0,0,0,0,0,0,5,9,12,5,0,0,0,0,0,0,0,0,0,0
07/16/2025 12:00,30,32,0,22,5,0,3,0,0,0,0,0,0,0,0,0,26,3,0,3,0,0,0,0,0,0,0,0,0,3,10,13,3,0,1,0,0,0,0,0,0,0,0,1,0,9,15,7,0,0,0,0,0,0,0,0,0,0
07/16/2025 13:00,34,35,0,26,3,1,1,3,0,0,0,0,0,0,0,0,28,5,0,1,1,0,0,0,0,0,0,0,1,3,7,13,8,2,0,0,0,0,0,0,0,0,0,0,5,14,11,5,0,0,0,0,0,0,0,0,0,0
