"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6608 53rd Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/15/2025 13:00 - 13:59,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,8,24.0,28.2
07/15/2025 14:00 - 14:59,2,2,6,13,5,1,0,0,0,0,0,0,0,0,0,29,26.7,32.2
07/15/2025 15:00 - 15:59,1,0,14,18,8,4,1,0,0,0,0,0,0,0,0,46,28.6,34.5
07/15/2025 16:00 - 16:59,0,0,10,18,12,2,0,0,0,0,0,0,0,0,0,42,29.2,34.0
07/15/2025 17:00 - 17:59,0,0,9,18,17,0,1,0,0,0,0,0,0,0,0,45,29.7,34.2
07/15/2025 18:00 - 18:59,0,1,9,12,8,1,0,0,0,0,0,0,0,0,0,31,28.3,33.4
07/15/2025 19:00 - 19:59,0,3,3,4,6,2,1,0,0,0,0,0,0,0,0,19,29.5,35.1
07/15/2025 20:00 - 20:59,0,1,5,14,4,1,0,0,0,0,0,0,0,0,0,25,28.2,31.9
07/15/2025 21:00 - 21:59,1,0,6,0,5,0,0,0,0,0,0,0,0,0,0,12,26.5,33.7
07/15/2025 22:00 - 22:59,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,8,27.0,30.3
07/15/2025 23:00 - 23:59,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,7,30.4,34.6
07/16/2025 00:00 - 00:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
07/16/2025 01:00 - 01:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
07/16/2025 02:00 - 02:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
07/16/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/16/2025 04:00 - 04:59,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,7,30.4,35.3
07/16/2025 05:00 - 05:59,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,28.3,33.3
07/16/2025 06:00 - 06:59,0,0,5,13,9,1,0,0,0,0,0,0,0,0,0,28,29.5,33.9
07/16/2025 07:00 - 07:59,0,1,5,18,18,2,0,0,0,0,0,0,0,0,0,44,30.2,34.6
