"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6608 53rd Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
07/15/2025 13:00 - 13:59,0,7,3,0,1,0,0,0,0,0,0,0,0,11
07/15/2025 14:00 - 14:59,0,59,8,0,2,0,0,0,0,0,0,0,0,69
07/15/2025 15:00 - 15:59,0,73,10,1,5,0,0,0,0,0,0,0,0,89
07/15/2025 16:00 - 16:59,0,89,5,0,3,0,0,3,0,0,0,0,0,100
07/15/2025 17:00 - 17:59,0,91,8,0,1,0,0,0,0,0,0,0,0,100
07/15/2025 18:00 - 18:59,1,59,5,2,0,0,0,0,0,0,0,0,0,67
07/15/2025 19:00 - 19:59,0,39,2,0,0,0,0,0,0,0,0,0,0,41
07/15/2025 20:00 - 20:59,0,49,9,0,0,0,0,0,0,0,0,0,0,58
07/15/2025 21:00 - 21:59,0,25,3,0,1,0,1,0,0,0,0,0,0,30
07/15/2025 22:00 - 22:59,2,11,2,0,0,0,0,0,0,0,0,0,0,15
07/15/2025 23:00 - 23:59,0,12,2,0,0,0,0,0,0,0,0,0,0,14
07/16/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/16/2025 01:00 - 01:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/16/2025 02:00 - 02:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/16/2025 03:00 - 03:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/16/2025 04:00 - 04:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
07/16/2025 05:00 - 05:59,0,6,0,0,1,0,0,0,0,0,0,0,0,7
07/16/2025 06:00 - 06:59,0,29,3,0,8,0,0,0,0,0,0,0,0,40
07/16/2025 07:00 - 07:59,0,57,4,0,1,0,1,0,0,0,0,0,0,63
07/16/2025 08:00 - 08:59,0,70,4,0,8,1,0,0,1,0,0,0,0,84
07/16/2025 09:00 - 09:59,0,32,5,0,1,2,0,0,0,0,0,0,0,40
07/16/2025 10:00 - 10:59,0,33,2,0,4,3,0,0,0,0,0,0,0,42
07/16/2025 11:00 - 11:59,0,42,10,2,6,0,0,0,0,0,0,0,0,60
07/16/2025 12:00 - 12:59,0,48,8,0,6,0,0,0,0,0,0,0,0,62
07/16/2025 13:00 - 13:59,0,54,8,1,2,4,0,0,0,0,0,0,0,69
07/16/2025 14:00 - 14:59,0,57,10,0,6,1,0,0,0,0,0,0,0,74
07/16/2025 15:00 - 15:59,0,80,12,2,7,0,0,0,0,0,0,0,0,101
07/16/2025 16:00 - 16:59,0,83,6,2,3,0,0,0,0,0,0,0,0,94
07/16/2025 17:00 - 17:59,0,76,3,0,3,0,0,0,0,0,0,0,0,82
07/16/2025 18:00 - 18:59,0,49,2,0,3,2,0,0,0,0,0,0,0,56
07/16/2025 19:00 - 19:59,0,33,4,0,0,0,0,0,0,0,0,0,0,37
07/16/2025 20:00 - 20:59,0,41,5,0,1,0,0,0,0,0,0,0,0,47
07/16/2025 21:00 - 21:59,0,21,3,0,2,0,0,0,0,0,0,0,0,26
07/16/2025 22:00 - 22:59,0,18,1,0,0,0,0,0,0,0,0,0,0,19
07/16/2025 23:00 - 23:59,0,7,0,0,0,0,0,0,0,0,0,0,0,7
07/17/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/17/2025 01:00 - 01:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
07/17/2025 02:00 - 02:59,1,4,0,0,1,0,0,0,0,0,0,0,0,6
07/17/2025 03:00 - 03:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
07/17/2025 04:00 - 04:59,0,9,1,0,0,0,0,0,0,0,0,0,0,10
07/17/2025 05:00 - 05:59,0,6,2,0,2,0,0,0,0,0,0,0,0,10
07/17/2025 06:00 - 06:59,0,27,6,0,4,1,0,0,0,0,0,0,0,38
07/17/2025 07:00 - 07:59,0,73,9,0,2,0,0,0,0,0,0,0,0,84
07/17/2025 08:00 - 08:59,0,68,8,0,3,1,0,0,0,0,0,0,0,80
07/17/2025 09:00 - 09:59,1,43,21,0,6,2,0,0,0,0,0,0,0,73
07/17/2025 10:00 - 10:59,0,40,6,0,3,0,0,0,0,0,0,0,0,49
07/17/2025 11:00 - 11:59,0,51,13,2,5,0,0,1,0,0,0,0,0,72
07/17/2025 12:00 - 12:59,0,52,4,0,5,0,1,1,0,0,0,0,0,63
07/17/2025 13:00 - 13:59,2,49,8,0,5,0,0,0,0,0,0,0,0,64
07/17/2025 14:00 - 14:59,0,49,7,0,4,0,0,0,0,0,0,0,0,60
07/17/2025 15:00 - 15:59,1,75,11,1,5,0,0,0,0,0,0,0,0,93
07/17/2025 16:00 - 16:59,0,99,11,0,3,0,0,0,0,0,0,0,0,113
07/17/2025 17:00 - 17:59,0,68,12,0,4,0,0,0,0,0,0,0,0,84
07/17/2025 18:00 - 18:59,1,59,7,0,1,0,0,0,0,0,0,0,0,68
07/17/2025 19:00 - 19:59,1,57,7,0,5,0,0,0,0,0,0,0,0,70
07/17/2025 20:00 - 20:59,0,34,7,0,0,0,0,0,0,0,0,0,0,41
07/17/2025 21:00 - 21:59,1,28,2,0,1,0,0,0,0,0,0,0,0,32
07/17/2025 22:00 - 22:59,1,22,2,0,1,0,0,0,0,0,0,0,0,26
07/17/2025 23:00 - 23:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
07/18/2025 00:00 - 00:59,0,4,0,0,1,0,0,0,0,0,0,0,0,5
07/18/2025 01:00 - 01:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
07/18/2025 02:00 - 02:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/18/2025 03:00 - 03:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/18/2025 04:00 - 04:59,0,10,1,0,0,0,0,0,0,0,0,0,0,11
07/18/2025 05:00 - 05:59,0,10,3,0,5,0,0,0,0,0,0,0,0,18
07/18/2025 06:00 - 06:59,0,32,4,0,5,0,0,0,0,0,0,0,0,41
07/18/2025 07:00 - 07:59,0,50,2,0,2,0,0,0,0,0,0,0,0,54
07/18/2025 08:00 - 08:59,0,53,6,1,7,0,0,1,0,0,0,0,0,68
07/18/2025 09:00 - 09:59,0,47,6,0,6,0,1,0,0,0,0,0,0,60
07/18/2025 10:00 - 10:59,0,44,8,0,5,0,0,1,0,0,0,0,0,58
07/18/2025 11:00 - 11:59,0,46,6,0,4,0,0,0,0,0,0,0,0,56
07/18/2025 12:00 - 12:59,0,47,12,0,4,0,0,0,0,0,0,0,0,63
07/18/2025 13:00 - 13:59,0,66,7,0,1,0,1,1,0,0,0,0,0,76
07/18/2025 14:00 - 14:59,0,66,8,0,3,0,1,0,0,0,0,0,0,78
07/18/2025 15:00 - 15:59,0,65,6,1,5,0,0,0,0,0,0,0,0,77
07/18/2025 16:00 - 16:59,0,75,12,0,5,0,0,0,0,0,0,0,0,92
07/18/2025 17:00 - 17:59,0,76,6,0,6,0,0,0,0,0,0,0,0,88
07/18/2025 18:00 - 18:59,0,74,9,0,5,0,0,0,0,0,0,0,0,88
07/18/2025 19:00 - 19:59,0,44,5,0,3,0,0,0,0,0,0,0,0,52
07/18/2025 20:00 - 20:59,0,38,2,0,2,0,0,0,0,0,0,0,0,42
07/18/2025 21:00 - 21:59,0,33,4,0,0,0,0,0,0,0,0,0,0,37
07/18/2025 22:00 - 22:59,0,23,2,0,0,0,0,0,0,0,0,0,0,25
07/18/2025 23:00 - 23:59,0,23,0,0,0,0,0,0,0,0,0,0,0,23
07/19/2025 00:00 - 00:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
07/19/2025 01:00 - 01:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
07/19/2025 02:00 - 02:59,0,5,2,0,0,0,0,0,0,0,0,0,0,7
07/19/2025 03:00 - 03:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
07/19/2025 04:00 - 04:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/19/2025 05:00 - 05:59,0,4,2,0,0,0,0,0,0,0,0,0,0,6
07/19/2025 06:00 - 06:59,0,6,2,0,0,0,0,0,0,0,0,0,0,8
07/19/2025 07:00 - 07:59,0,22,1,0,4,0,0,0,0,0,0,0,0,27
07/19/2025 08:00 - 08:59,0,29,4,0,5,0,0,0,0,0,0,0,0,38
07/19/2025 09:00 - 09:59,0,34,3,0,7,0,0,0,0,0,0,0,0,44
07/19/2025 10:00 - 10:59,1,38,6,0,6,0,0,1,0,0,0,0,0,52
07/19/2025 11:00 - 11:59,0,52,6,0,0,0,0,0,0,0,0,0,0,58
07/19/2025 12:00 - 12:59,0,47,5,0,1,0,1,1,0,0,0,0,0,55
07/19/2025 13:00 - 13:59,2,69,7,0,1,0,0,0,0,0,0,0,0,79
07/19/2025 14:00 - 14:59,0,63,8,0,4,0,1,0,0,0,0,0,0,76
07/19/2025 15:00 - 15:59,1,67,6,0,2,0,0,0,0,0,0,0,0,76
07/19/2025 16:00 - 16:59,0,42,4,0,4,0,0,0,0,0,0,0,0,50
07/19/2025 17:00 - 17:59,0,48,9,0,2,0,0,0,0,0,0,0,0,59
07/19/2025 18:00 - 18:59,0,42,7,0,3,0,0,0,0,0,0,0,0,52
07/19/2025 19:00 - 19:59,0,37,4,0,1,0,0,0,0,0,0,0,0,42
07/19/2025 20:00 - 20:59,0,44,2,0,1,0,0,0,0,0,0,0,0,47
07/19/2025 21:00 - 21:59,0,38,1,0,0,0,0,0,0,0,0,0,0,39
07/19/2025 22:00 - 22:59,0,32,2,0,1,0,0,0,0,0,0,0,0,35
07/19/2025 23:00 - 23:59,0,25,2,0,3,0,0,0,0,0,0,0,0,30
07/20/2025 00:00 - 00:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
07/20/2025 01:00 - 01:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
07/20/2025 02:00 - 02:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/20/2025 03:00 - 03:59,1,3,0,0,0,0,0,0,0,0,0,0,0,4
07/20/2025 04:00 - 04:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
07/20/2025 05:00 - 05:59,0,5,2,0,0,0,0,0,0,0,0,0,0,7
07/20/2025 06:00 - 06:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
07/20/2025 07:00 - 07:59,0,16,0,0,1,0,0,0,0,0,0,0,0,17
07/20/2025 08:00 - 08:59,0,37,7,0,0,0,0,0,0,0,0,0,0,44
07/20/2025 09:00 - 09:59,0,38,2,0,1,0,0,0,0,0,0,0,0,41
07/20/2025 10:00 - 10:59,1,40,5,0,2,0,0,0,0,0,0,0,0,48
07/20/2025 11:00 - 11:59,0,54,9,0,1,0,1,0,0,0,0,0,0,65
07/20/2025 12:00 - 12:59,0,59,2,0,0,1,0,0,0,0,0,0,0,62
07/20/2025 13:00 - 13:59,0,60,3,0,0,0,0,0,0,0,0,0,0,63
07/20/2025 14:00 - 14:59,1,62,7,0,2,0,0,0,0,0,0,0,0,72
07/20/2025 15:00 - 15:59,0,65,6,0,3,0,0,0,0,0,0,0,0,74
