"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6608 53rd Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/15/2025 13:00 - 13:59,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,11,23.5,28.9
07/15/2025 14:00 - 14:59,2,3,18,29,16,1,0,0,0,0,0,0,0,0,0,69,27.5,32.9
07/15/2025 15:00 - 15:59,1,1,17,40,21,7,2,0,0,0,0,0,0,0,0,89,29.5,34.8
07/15/2025 16:00 - 16:59,0,0,26,43,26,5,0,0,0,0,0,0,0,0,0,100,29.0,34.0
07/15/2025 17:00 - 17:59,0,1,15,50,25,8,1,0,0,0,0,0,0,0,0,100,29.8,34.7
07/15/2025 18:00 - 18:59,0,2,19,26,16,4,0,0,0,0,0,0,0,0,0,67,28.6,34.0
07/15/2025 19:00 - 19:59,0,4,11,11,11,3,1,0,0,0,0,0,0,0,0,41,28.6,34.8
07/15/2025 20:00 - 20:59,0,2,11,28,15,1,1,0,0,0,0,0,0,0,0,58,28.9,33.6
07/15/2025 21:00 - 21:59,2,0,11,9,8,0,0,0,0,0,0,0,0,0,0,30,26.8,32.9
07/15/2025 22:00 - 22:59,0,1,2,7,4,1,0,0,0,0,0,0,0,0,0,15,29.1,33.8
07/15/2025 23:00 - 23:59,0,0,2,8,3,1,0,0,0,0,0,0,0,0,0,14,29.5,33.3
07/16/2025 00:00 - 00:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
07/16/2025 01:00 - 01:59,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,5,28.2,29.8
07/16/2025 02:00 - 02:59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,26.7,28.6
07/16/2025 03:00 - 03:59,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,26.4,28.9
07/16/2025 04:00 - 04:59,0,1,3,1,6,1,0,0,0,0,0,0,0,0,0,12,29.6,34.9
07/16/2025 05:00 - 05:59,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,7,29.9,34.1
07/16/2025 06:00 - 06:59,0,1,8,17,13,1,0,0,0,0,0,0,0,0,0,40,29.1,33.9
07/16/2025 07:00 - 07:59,1,1,7,26,26,2,0,0,0,0,0,0,0,0,0,63,29.9,34.5
07/16/2025 08:00 - 08:59,1,0,18,34,22,7,2,0,0,0,0,0,0,0,0,84,29.7,35.1
07/16/2025 09:00 - 09:59,0,2,10,22,5,1,0,0,0,0,0,0,0,0,0,40,27.6,30.9
07/16/2025 10:00 - 10:59,0,4,12,17,9,0,0,0,0,0,0,0,0,0,0,42,27.2,32.2
07/16/2025 11:00 - 11:59,0,7,14,26,12,1,0,0,0,0,0,0,0,0,0,60,27.3,32.5
07/16/2025 12:00 - 12:59,1,3,19,28,10,0,1,0,0,0,0,0,0,0,0,62,27.2,31.6
07/16/2025 13:00 - 13:59,1,8,21,24,13,2,0,0,0,0,0,0,0,0,0,69,26.8,32.6
07/16/2025 14:00 - 14:59,1,5,17,26,22,3,0,0,0,0,0,0,0,0,0,74,28.3,34.0
07/16/2025 15:00 - 15:59,0,6,24,36,28,7,0,0,0,0,0,0,0,0,0,101,28.8,34.5
07/16/2025 16:00 - 16:59,0,2,23,35,25,9,0,0,0,0,0,0,0,0,0,94,29.3,34.9
07/16/2025 17:00 - 17:59,0,2,17,35,22,6,0,0,0,0,0,0,0,0,0,82,29.3,34.5
07/16/2025 18:00 - 18:59,1,3,14,21,15,2,0,0,0,0,0,0,0,0,0,56,28.1,33.7
07/16/2025 19:00 - 19:59,0,0,8,16,12,1,0,0,0,0,0,0,0,0,0,37,29.3,33.9
07/16/2025 20:00 - 20:59,0,4,9,19,10,4,1,0,0,0,0,0,0,0,0,47,28.9,34.7
07/16/2025 21:00 - 21:59,1,1,8,11,3,1,0,1,0,0,0,0,0,0,0,26,27.5,32.0
07/16/2025 22:00 - 22:59,0,2,4,9,4,0,0,0,0,0,0,0,0,0,0,19,27.4,31.8
