"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6608 53rd Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Westbound","Eastbound","Total"
07/15/2025 13:00 - 13:59,3,8,11
07/15/2025 14:00 - 14:59,40,29,69
07/15/2025 15:00 - 15:59,43,46,89
07/15/2025 16:00 - 16:59,58,42,100
07/15/2025 17:00 - 17:59,55,45,100
07/15/2025 18:00 - 18:59,36,31,67
07/15/2025 19:00 - 19:59,22,19,41
07/15/2025 20:00 - 20:59,33,25,58
07/15/2025 21:00 - 21:59,18,12,30
07/15/2025 22:00 - 22:59,7,8,15
07/15/2025 23:00 - 23:59,7,7,14
07/16/2025 00:00 - 00:59,0,3,3
07/16/2025 01:00 - 01:59,3,2,5
07/16/2025 02:00 - 02:59,1,2,3
07/16/2025 03:00 - 03:59,4,1,5
07/16/2025 04:00 - 04:59,5,7,12
07/16/2025 05:00 - 05:59,3,4,7
07/16/2025 06:00 - 06:59,12,28,40
07/16/2025 07:00 - 07:59,19,44,63
07/16/2025 08:00 - 08:59,36,48,84
07/16/2025 09:00 - 09:59,20,20,40
07/16/2025 10:00 - 10:59,14,28,42
07/16/2025 11:00 - 11:59,29,31,60
07/16/2025 12:00 - 12:59,30,32,62
07/16/2025 13:00 - 13:59,34,35,69
07/16/2025 14:00 - 14:59,37,37,74
07/16/2025 15:00 - 15:59,49,52,101
07/16/2025 16:00 - 16:59,51,43,94
07/16/2025 17:00 - 17:59,50,32,82
07/16/2025 18:00 - 18:59,28,28,56
07/16/2025 19:00 - 19:59,17,20,37
07/16/2025 20:00 - 20:59,27,20,47
07/16/2025 21:00 - 21:59,12,14,26
07/16/2025 22:00 - 22:59,14,5,19
07/16/2025 23:00 - 23:59,5,2,7
07/17/2025 00:00 - 00:59,2,1,3
07/17/2025 01:00 - 01:59,7,2,9
07/17/2025 02:00 - 02:59,4,2,6
07/17/2025 03:00 - 03:59,5,1,6
07/17/2025 04:00 - 04:59,4,6,10
07/17/2025 05:00 - 05:59,4,6,10
07/17/2025 06:00 - 06:59,14,24,38
07/17/2025 07:00 - 07:59,29,55,84
07/17/2025 08:00 - 08:59,41,39,80
07/17/2025 09:00 - 09:59,29,44,73
07/17/2025 10:00 - 10:59,22,27,49
07/17/2025 11:00 - 11:59,36,36,72
07/17/2025 12:00 - 12:59,29,34,63
07/17/2025 13:00 - 13:59,29,35,64
07/17/2025 14:00 - 14:59,34,26,60
07/17/2025 15:00 - 15:59,44,49,93
07/17/2025 16:00 - 16:59,60,53,113
07/17/2025 17:00 - 17:59,45,39,84
07/17/2025 18:00 - 18:59,34,34,68
07/17/2025 19:00 - 19:59,39,31,70
07/17/2025 20:00 - 20:59,19,22,41
07/17/2025 21:00 - 21:59,23,9,32
07/17/2025 22:00 - 22:59,13,13,26
07/17/2025 23:00 - 23:59,5,7,12
07/18/2025 00:00 - 00:59,3,2,5
07/18/2025 01:00 - 01:59,4,0,4
07/18/2025 02:00 - 02:59,1,2,3
07/18/2025 03:00 - 03:59,2,3,5
07/18/2025 04:00 - 04:59,6,5,11
07/18/2025 05:00 - 05:59,4,14,18
07/18/2025 06:00 - 06:59,11,30,41
07/18/2025 07:00 - 07:59,24,30,54
07/18/2025 08:00 - 08:59,34,34,68
07/18/2025 09:00 - 09:59,24,36,60
07/18/2025 10:00 - 10:59,30,28,58
07/18/2025 11:00 - 11:59,26,30,56
07/18/2025 12:00 - 12:59,34,29,63
07/18/2025 13:00 - 13:59,33,43,76
07/18/2025 14:00 - 14:59,41,37,78
07/18/2025 15:00 - 15:59,37,40,77
07/18/2025 16:00 - 16:59,46,46,92
07/18/2025 17:00 - 17:59,48,40,88
07/18/2025 18:00 - 18:59,41,47,88
07/18/2025 19:00 - 19:59,28,24,52
07/18/2025 20:00 - 20:59,25,17,42
07/18/2025 21:00 - 21:59,22,15,37
07/18/2025 22:00 - 22:59,13,12,25
07/18/2025 23:00 - 23:59,10,13,23
07/19/2025 00:00 - 00:59,2,4,6
07/19/2025 01:00 - 01:59,4,5,9
07/19/2025 02:00 - 02:59,4,3,7
07/19/2025 03:00 - 03:59,2,2,4
07/19/2025 04:00 - 04:59,1,1,2
07/19/2025 05:00 - 05:59,2,4,6
07/19/2025 06:00 - 06:59,4,4,8
07/19/2025 07:00 - 07:59,15,12,27
07/19/2025 08:00 - 08:59,21,17,38
07/19/2025 09:00 - 09:59,15,29,44
07/19/2025 10:00 - 10:59,30,22,52
07/19/2025 11:00 - 11:59,28,30,58
07/19/2025 12:00 - 12:59,27,28,55
07/19/2025 13:00 - 13:59,40,39,79
07/19/2025 14:00 - 14:59,34,42,76
07/19/2025 15:00 - 15:59,36,40,76
07/19/2025 16:00 - 16:59,23,27,50
07/19/2025 17:00 - 17:59,32,27,59
07/19/2025 18:00 - 18:59,28,24,52
07/19/2025 19:00 - 19:59,19,23,42
07/19/2025 20:00 - 20:59,26,21,47
07/19/2025 21:00 - 21:59,20,19,39
07/19/2025 22:00 - 22:59,17,18,35
07/19/2025 23:00 - 23:59,19,11,30
07/20/2025 00:00 - 00:59,6,6,12
07/20/2025 01:00 - 01:59,3,3,6
07/20/2025 02:00 - 02:59,3,2,5
07/20/2025 03:00 - 03:59,3,1,4
07/20/2025 04:00 - 04:59,1,2,3
07/20/2025 05:00 - 05:59,2,5,7
07/20/2025 06:00 - 06:59,3,6,9
07/20/2025 07:00 - 07:59,7,10,17
07/20/2025 08:00 - 08:59,16,28,44
07/20/2025 09:00 - 09:59,13,28,41
07/20/2025 10:00 - 10:59,23,25,48
07/20/2025 11:00 - 11:59,32,33,65
07/20/2025 12:00 - 12:59,27,35,62
07/20/2025 13:00 - 13:59,29,34,63
07/20/2025 14:00 - 14:59,37,35,72
07/20/2025 15:00 - 15:59,42,32,74
07/20/2025 16:00 - 16:59,30,28,58
07/20/2025 17:00 - 17:59,31,23,54
07/20/2025 18:00 - 18:59,20,25,45
07/20/2025 19:00 - 19:59,23,18,41
07/20/2025 20:00 - 20:59,25,14,39
07/20/2025 21:00 - 21:59,17,18,35
07/20/2025 22:00 - 22:59,11,5,16
07/20/2025 23:00 - 23:59,3,1,4
07/21/2025 00:00 - 00:59,1,2,3
