"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6608 53rd Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/15/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/15/2025 13:00 - 13:59,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,22.3,28.6
07/15/2025 14:00 - 14:59,0,1,12,16,11,0,0,0,0,0,0,0,0,0,0,40,28.1,33.0
07/15/2025 15:00 - 15:59,0,1,3,22,13,3,1,0,0,0,0,0,0,0,0,43,30.4,34.9
07/15/2025 16:00 - 16:59,0,0,16,25,14,3,0,0,0,0,0,0,0,0,0,58,28.8,33.8
07/15/2025 17:00 - 17:59,0,1,6,32,8,8,0,0,0,0,0,0,0,0,0,55,29.9,35.5
07/15/2025 18:00 - 18:59,0,1,10,14,8,3,0,0,0,0,0,0,0,0,0,36,28.8,34.2
07/15/2025 19:00 - 19:59,0,1,8,7,5,1,0,0,0,0,0,0,0,0,0,22,27.7,33.2
07/15/2025 20:00 - 20:59,0,1,6,14,11,0,1,0,0,0,0,0,0,0,0,33,29.4,34.0
07/15/2025 21:00 - 21:59,1,0,5,9,3,0,0,0,0,0,0,0,0,0,0,18,26.8,30.7
07/15/2025 22:00 - 22:59,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,7,31.1,35.1
07/15/2025 23:00 - 23:59,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,7,28.3,30.5
07/16/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/16/2025 01:00 - 01:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,30.0,31.3
07/16/2025 02:00 - 02:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
07/16/2025 03:00 - 03:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
07/16/2025 04:00 - 04:59,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,5,28.4,32.9
