"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","6702 45th Ave N"
"Location:","6702 45th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-14 MPH  - Northbound","15-19 MPH  - Northbound","20-24 MPH  - Northbound","25-29 MPH  - Northbound","30-34 MPH  - Northbound","35-39 MPH  - Northbound","40-44 MPH  - Northbound","45-49 MPH  - Northbound","50-54 MPH  - Northbound","55-59 MPH  - Northbound","60-64 MPH  - Northbound","65-69 MPH  - Northbound","70-74 MPH  - Northbound","75-79 MPH  - Northbound","80-99 MPH  - Northbound","5-14 MPH  - Southbound","15-19 MPH  - Southbound","20-24 MPH  - Southbound","25-29 MPH  - Southbound","30-34 MPH  - Southbound","35-39 MPH  - Southbound","40-44 MPH  - Southbound","45-49 MPH  - Southbound","50-54 MPH  - Southbound","55-59 MPH  - Southbound","60-64 MPH  - Southbound","65-69 MPH  - Southbound","70-74 MPH  - Southbound","75-79 MPH  - Southbound","80-99 MPH  - Southbound"
06/24/2025 13:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/24/2025 14:00,23,19,0,18,4,0,1,0,0,0,0,0,0,0,0,0,15,2,0,2,0,0,0,0,0,0,0,0,1,3,3,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,9,5,1,0,0,0,0,0,0,0,0,0
06/24/2025 15:00,21,17,0,18,3,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,2,4,6,6,3,0,0,0,0,0,0,0,0,0,0,1,3,5,7,1,0,0,0,0,0,0,0,0,0
06/24/2025 16:00,35,22,1,28,4,0,2,0,0,0,0,0,0,0,0,1,16,2,0,3,0,0,0,0,0,0,0,0,0,0,4,10,19,2,0,0,0,0,0,0,0,0,0,0,1,2,8,10,1,0,0,0,0,0,0,0,0,0
06/24/2025 17:00,38,18,0,31,5,0,1,1,0,0,0,0,0,0,0,0,14,2,0,2,0,0,0,0,0,0,0,0,2,4,5,14,12,0,1,0,0,0,0,0,0,0,0,2,3,3,3,6,1,0,0,0,0,0,0,0,0,0
06/24/2025 18:00,18,24,0,14,2,0,2,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2,2,0,0,0,0,0,0,0,0,0,0,2,7,10,4,1,0,0,0,0,0,0,0,0,0
06/24/2025 19:00,32,12,0,30,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,3,9,13,7,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,1,0,0,0,0,0,0,0,0,0
06/24/2025 20:00,17,8,0,16,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,3,1,0,0,0,0,0,0,0,0,0,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0
06/24/2025 21:00,15,12,0,13,1,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0
06/24/2025 22:00,8,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0
