"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6702 45th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Northbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
06/24/2025 13:00 - 13:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/24/2025 14:00 - 14:59,0,18,4,0,1,0,0,0,0,0,0,0,0,23
06/24/2025 15:00 - 15:59,0,18,3,0,0,0,0,0,0,0,0,0,0,21
06/24/2025 16:00 - 16:59,1,28,4,0,2,0,0,0,0,0,0,0,0,35
06/24/2025 17:00 - 17:59,0,31,5,0,1,1,0,0,0,0,0,0,0,38
06/24/2025 18:00 - 18:59,0,14,2,0,2,0,0,0,0,0,0,0,0,18
06/24/2025 19:00 - 19:59,0,30,1,0,1,0,0,0,0,0,0,0,0,32
06/24/2025 20:00 - 20:59,0,16,1,0,0,0,0,0,0,0,0,0,0,17
06/24/2025 21:00 - 21:59,0,13,1,0,0,1,0,0,0,0,0,0,0,15
06/24/2025 22:00 - 22:59,0,6,2,0,0,0,0,0,0,0,0,0,0,8
06/24/2025 23:00 - 23:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
06/25/2025 00:00 - 00:59,0,2,2,0,0,0,0,0,0,0,0,0,0,4
06/25/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/25/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/25/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/25/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/25/2025 05:00 - 05:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
06/25/2025 06:00 - 06:59,0,5,2,0,0,1,0,0,0,0,0,0,0,8
