"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6702 45th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/24/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/24/2025 14:00 - 14:59,0,1,5,9,4,0,0,0,0,0,0,0,0,0,0,19,27.6,31.8
06/24/2025 15:00 - 15:59,1,1,2,8,5,0,0,0,0,0,0,0,0,0,0,17,27.6,33.0
06/24/2025 16:00 - 16:59,0,1,3,13,5,0,0,0,0,0,0,0,0,0,0,22,28.4,32.2
06/24/2025 17:00 - 17:59,2,4,3,4,5,0,0,0,0,0,0,0,0,0,0,18,24.8,32.8
06/24/2025 18:00 - 18:59,0,3,8,8,5,0,0,0,0,0,0,0,0,0,0,24,26.6,31.9
06/24/2025 19:00 - 19:59,1,1,3,5,2,0,0,0,0,0,0,0,0,0,0,12,25.6,30.3
06/24/2025 20:00 - 20:59,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,8,23.6,31.8
06/24/2025 21:00 - 21:59,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,12,24.7,28.7
06/24/2025 22:00 - 22:59,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,6,26.7,29.0
06/24/2025 23:00 - 23:59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,23.0,26.3
06/25/2025 00:00 - 00:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
06/25/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/25/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
06/25/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/25/2025 04:00 - 04:59,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,5,23.6,29.8
06/25/2025 05:00 - 05:59,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,9,27.1,36.8
06/25/2025 06:00 - 06:59,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,31.0,33.3
06/25/2025 07:00 - 07:59,4,5,4,9,7,0,0,0,0,0,0,0,0,0,0,29,24.8,32.5
06/25/2025 08:00 - 08:59,4,2,6,7,2,0,0,0,0,0,0,0,0,0,0,21,23.1,29.8
06/25/2025 09:00 - 09:59,2,2,3,6,1,1,0,0,0,0,0,0,0,0,0,15,24.7,30.4
06/25/2025 10:00 - 10:59,1,1,5,3,5,0,1,0,0,0,0,0,0,0,0,16,27.5,34.1
06/25/2025 11:00 - 11:59,1,0,3,5,6,1,0,0,0,0,0,0,0,0,0,16,28.8,34.4
06/25/2025 12:00 - 12:59,1,1,7,6,4,0,0,0,0,0,0,0,0,0,0,19,26.2,31.8
06/25/2025 13:00 - 13:59,0,4,6,6,2,0,0,0,0,0,0,0,0,0,0,18,25.2,30.0
06/25/2025 14:00 - 14:59,2,1,4,6,2,0,0,0,0,0,0,0,0,0,0,15,24.7,30.4
06/25/2025 15:00 - 15:59,0,2,3,5,3,1,0,0,0,0,0,0,0,0,0,14,27.6,33.3
06/25/2025 16:00 - 16:59,0,2,10,13,6,0,0,0,0,0,0,0,0,0,0,31,27.2,31.7
06/25/2025 17:00 - 17:59,0,1,3,11,5,2,0,0,0,0,0,0,0,0,0,22,29.3,34.2
06/25/2025 18:00 - 18:59,1,2,5,11,3,1,0,0,0,0,0,0,0,0,0,23,26.7,31.1
06/25/2025 19:00 - 19:59,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,12,24.3,29.4
06/25/2025 20:00 - 20:59,0,1,5,13,1,1,0,0,0,0,0,0,0,0,0,21,27.4,30.4
06/25/2025 21:00 - 21:59,0,4,9,10,0,0,0,0,0,0,0,0,0,0,0,23,24.8,29.0
06/25/2025 22:00 - 22:59,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,8,26.5,29.8
06/25/2025 23:00 - 23:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
06/26/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/26/2025 01:00 - 01:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
06/26/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
06/26/2025 03:00 - 03:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
06/26/2025 04:00 - 04:59,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,4,32.0,38.3
06/26/2025 05:00 - 05:59,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,24.5,28.3
06/26/2025 06:00 - 06:59,2,3,0,3,0,1,0,0,0,0,0,0,0,0,0,9,22.1,29.6
06/26/2025 07:00 - 07:59,1,2,3,4,7,1,0,0,0,0,0,0,0,0,0,18,27.9,34.4
06/26/2025 08:00 - 08:59,1,1,4,14,4,0,0,0,0,0,0,0,0,0,0,24,27.3,30.9
06/26/2025 09:00 - 09:59,0,2,5,6,1,0,1,0,0,0,0,0,0,0,0,15,26.7,30.4
06/26/2025 10:00 - 10:59,1,0,2,8,3,1,0,0,0,0,0,0,0,0,0,15,28.2,33.1
06/26/2025 11:00 - 11:59,1,2,5,5,1,2,1,0,0,0,0,0,0,0,0,17,27.0,35.9
06/26/2025 12:00 - 12:59,1,0,2,6,4,1,0,0,0,0,0,0,0,0,0,14,28.6,34.0
06/26/2025 13:00 - 13:59,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,12,24.7,28.1
06/26/2025 14:00 - 14:59,0,2,5,5,4,0,0,0,0,0,0,0,0,0,0,16,26.9,32.4
06/26/2025 15:00 - 15:59,0,0,8,5,3,1,0,0,0,0,0,0,0,0,0,17,27.5,32.6
06/26/2025 16:00 - 16:59,0,1,4,8,9,3,0,0,0,0,0,0,0,0,0,25,30.2,35.3
06/26/2025 17:00 - 17:59,0,2,4,12,2,0,0,0,0,0,0,0,0,0,0,20,27.0,30.4
06/26/2025 18:00 - 18:59,1,4,8,9,1,0,0,0,0,0,0,0,0,0,0,23,24.4,29.4
06/26/2025 19:00 - 19:59,0,1,3,7,4,0,0,0,0,0,0,0,0,0,0,15,28.1,32.6
06/26/2025 20:00 - 20:59,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,14,27.4,29.8
06/26/2025 21:00 - 21:59,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,8,25.8,29.8
06/26/2025 22:00 - 22:59,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,8,25.3,27.5
06/26/2025 23:00 - 23:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
06/27/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/27/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/27/2025 02:00 - 02:59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,28.0,32.0
06/27/2025 03:00 - 03:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
06/27/2025 04:00 - 04:59,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,24.8,35.5
06/27/2025 05:00 - 05:59,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,25.5,30.5
06/27/2025 06:00 - 06:59,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,5,23.6,29.8
06/27/2025 07:00 - 07:59,1,2,5,5,2,1,0,0,0,0,0,0,0,0,0,16,25.7,31.3
06/27/2025 08:00 - 08:59,1,1,9,5,9,0,0,0,0,0,0,0,0,0,0,25,27.3,33.6
06/27/2025 09:00 - 09:59,3,0,4,10,3,1,0,1,0,0,0,0,0,0,0,22,27.0,33.0
06/27/2025 10:00 - 10:59,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,14,29.2,33.8
06/27/2025 11:00 - 11:59,1,5,4,6,5,0,0,0,0,0,0,0,0,0,0,21,25.4,32.3
06/27/2025 12:00 - 12:59,1,2,2,5,1,0,0,0,0,0,0,0,0,0,0,11,24.5,29.9
06/27/2025 13:00 - 13:59,0,3,4,7,5,0,0,0,0,0,0,0,0,0,0,19,27.1,32.7
06/27/2025 14:00 - 14:59,1,0,8,3,0,1,0,0,0,0,0,0,0,0,0,13,24.7,28.6
06/27/2025 15:00 - 15:59,0,3,6,13,8,0,0,0,0,0,0,0,0,0,0,30,27.8,32.9
06/27/2025 16:00 - 16:59,1,2,11,10,5,0,0,0,0,0,0,0,0,0,0,29,26.1,31.1
06/27/2025 17:00 - 17:59,1,4,4,10,2,0,0,0,0,0,0,0,0,0,0,21,25.2,30.2
06/27/2025 18:00 - 18:59,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,9,25.7,28.7
06/27/2025 19:00 - 19:59,0,1,9,7,5,0,0,0,0,0,0,0,0,0,0,22,27.0,32.2
06/27/2025 20:00 - 20:59,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,11,23.5,27.4
06/27/2025 21:00 - 21:59,0,2,6,5,1,0,0,0,0,0,0,0,0,0,0,14,25.2,29.4
06/27/2025 22:00 - 22:59,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,8,27.1,30.1
06/27/2025 23:00 - 23:59,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,30.4,32.9
06/28/2025 00:00 - 00:59,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,6,26.7,29.0
06/28/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/28/2025 02:00 - 02:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
06/28/2025 03:00 - 03:59,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,25.5,32.0
06/28/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/28/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/28/2025 06:00 - 06:59,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,6,21.5,29.0
06/28/2025 07:00 - 07:59,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,6,30.0,34.0
06/28/2025 08:00 - 08:59,0,0,4,5,2,1,0,0,0,0,0,0,0,0,0,12,28.4,32.8
06/28/2025 09:00 - 09:59,1,2,3,10,2,0,0,0,0,0,0,0,0,0,0,18,26.1,30.4
06/28/2025 10:00 - 10:59,2,6,12,2,5,0,0,0,0,0,0,0,0,0,0,27,23.6,31.5
06/28/2025 11:00 - 11:59,1,2,12,7,4,3,0,0,0,0,0,0,0,0,0,29,26.8,33.7
06/28/2025 12:00 - 12:59,0,0,8,8,2,2,0,0,0,0,0,0,0,0,0,20,28.0,32.3
06/28/2025 13:00 - 13:59,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,11,23.5,28.3
06/28/2025 14:00 - 14:59,1,3,2,5,2,1,0,0,0,0,0,0,0,0,0,14,25.6,32.0
06/28/2025 15:00 - 15:59,1,1,2,4,1,0,1,0,0,0,0,0,0,0,0,10,26.5,31.0
06/28/2025 16:00 - 16:59,0,1,3,7,6,0,0,0,0,0,0,0,0,0,0,17,28.7,33.5
06/28/2025 17:00 - 17:59,2,0,9,11,3,1,0,0,0,0,0,0,0,0,0,26,26.3,30.3
06/28/2025 18:00 - 18:59,2,5,4,7,2,0,0,0,0,0,0,0,0,0,0,20,23.6,29.9
06/28/2025 19:00 - 19:59,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,14,23.8,28.4
06/28/2025 20:00 - 20:59,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,7,27.0,29.6
06/28/2025 21:00 - 21:59,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,8,28.9,34.8
06/28/2025 22:00 - 22:59,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,8,20.4,28.2
06/28/2025 23:00 - 23:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
06/29/2025 00:00 - 00:59,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,23.5,24.6
06/29/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/29/2025 02:00 - 02:59,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,22.0,25.5
06/29/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/29/2025 04:00 - 04:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
06/29/2025 05:00 - 05:59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,28.0,32.0
06/29/2025 06:00 - 06:59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,22.0
06/29/2025 07:00 - 07:59,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,7,24.7,28.3
06/29/2025 08:00 - 08:59,0,0,3,7,1,1,0,0,0,0,0,0,0,0,0,12,28.3,29.5
06/29/2025 09:00 - 09:59,0,1,3,6,4,1,0,0,0,0,0,0,0,0,0,15,28.7,33.8
06/29/2025 10:00 - 10:59,1,4,4,4,5,1,1,0,0,0,0,0,0,0,0,20,27.0,34.5
06/29/2025 11:00 - 11:59,2,2,7,7,1,0,0,0,0,0,0,0,0,0,0,19,23.9,29.3
06/29/2025 12:00 - 12:59,0,2,5,5,2,1,0,0,0,0,0,0,0,0,0,15,26.7,31.6
06/29/2025 13:00 - 13:59,0,2,7,3,3,0,0,0,0,0,0,0,0,0,0,15,25.7,31.4
06/29/2025 14:00 - 14:59,0,4,13,4,2,0,0,0,0,0,0,0,0,0,0,23,24.3,28.6
06/29/2025 15:00 - 15:59,0,3,5,7,5,4,0,0,1,0,0,0,0,0,0,25,29.8,36.9
06/29/2025 16:00 - 16:59,2,0,3,7,2,0,0,0,0,0,0,0,0,0,0,14,25.5,30.6
06/29/2025 17:00 - 17:59,0,1,2,3,6,0,0,0,0,0,0,0,0,0,0,12,29.3,34.1
06/29/2025 18:00 - 18:59,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,10,23.0,27.7
06/29/2025 19:00 - 19:59,0,2,7,7,2,0,0,0,0,0,0,0,0,0,0,18,25.9,30.1
06/29/2025 20:00 - 20:59,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,13,25.4,28.5
06/29/2025 21:00 - 21:59,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,11,29.4,33.3
06/29/2025 22:00 - 22:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
06/29/2025 23:00 - 23:59,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21.7,26.3
06/30/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/30/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/30/2025 02:00 - 02:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
06/30/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/30/2025 04:00 - 04:59,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,23.5,30.5
06/30/2025 05:00 - 05:59,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,6,27.5,32.5
06/30/2025 06:00 - 06:59,0,3,1,3,4,0,0,0,0,0,0,0,0,0,0,11,27.0,33.3
06/30/2025 07:00 - 07:59,1,2,5,6,3,0,0,0,0,0,0,0,0,0,0,17,25.6,30.9
06/30/2025 08:00 - 08:59,0,2,5,5,5,1,0,0,0,0,0,0,0,0,0,18,27.8,33.8
06/30/2025 09:00 - 09:59,0,1,6,2,4,3,0,0,0,0,0,0,0,0,0,16,29.1,36.2
06/30/2025 10:00 - 10:59,0,3,5,4,2,0,0,0,0,0,0,0,0,0,0,14,25.2,30.3
06/30/2025 11:00 - 11:59,1,4,3,4,5,0,0,0,0,0,0,0,0,0,0,17,25.6,33.0
06/30/2025 12:00 - 12:59,1,1,7,8,4,0,0,0,0,0,0,0,0,0,0,21,26.4,31.4
06/30/2025 13:00 - 13:59,2,0,6,13,1,1,0,0,0,0,0,0,0,0,0,23,26.2,30.3
06/30/2025 14:00 - 14:59,2,3,1,8,4,1,1,0,0,0,0,0,0,0,0,20,27.1,34.1
06/30/2025 15:00 - 15:59,1,2,7,4,4,1,0,0,0,0,0,0,0,0,0,19,26.2,33.1
06/30/2025 16:00 - 16:59,1,0,7,6,4,2,0,0,0,0,0,0,0,0,0,20,27.8,34.1
06/30/2025 17:00 - 17:59,0,2,2,8,3,1,0,0,0,0,0,0,0,0,0,16,28.1,32.8
06/30/2025 18:00 - 18:59,2,2,8,5,3,1,0,0,0,0,0,0,0,0,0,21,25.0,31.6
06/30/2025 19:00 - 19:59,0,1,5,4,1,1,0,0,0,0,0,0,0,0,0,12,26.7,29.5
06/30/2025 20:00 - 20:59,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,11,26.6,29.7
06/30/2025 21:00 - 21:59,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,8,24.8,26.8
06/30/2025 22:00 - 22:59,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,24.5,30.5
06/30/2025 23:00 - 23:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
07/01/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/01/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/01/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
07/01/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/01/2025 04:00 - 04:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,30.0,31.3
07/01/2025 05:00 - 05:59,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,5,27.2,29.8
07/01/2025 06:00 - 06:59,1,1,4,3,2,0,0,0,0,0,0,0,0,0,0,11,24.9,30.6
07/01/2025 07:00 - 07:59,1,3,3,9,6,0,0,0,0,0,0,0,0,0,0,22,26.9,32.8
07/01/2025 08:00 - 08:59,0,0,5,8,8,0,0,0,0,0,0,0,0,0,0,21,29.2,33.7
07/01/2025 09:00 - 09:59,2,1,2,4,8,2,0,0,0,0,0,0,0,0,0,19,28.7,35.2
07/01/2025 10:00 - 10:59,0,2,5,1,6,1,0,0,0,0,0,0,0,0,0,15,28.1,34.5
07/01/2025 11:00 - 11:59,1,2,2,7,1,0,0,0,0,0,0,0,0,0,0,13,25.1,30.0
07/01/2025 12:00 - 12:59,0,2,5,5,3,1,0,0,0,0,0,0,0,0,0,16,27.1,32.8
07/01/2025 13:00 - 13:59,0,0,2,6,6,1,0,0,0,0,0,0,0,0,0,15,30.5,34.5
07/01/2025 14:00 - 14:59,1,2,3,8,1,1,1,0,0,0,0,0,0,0,0,17,27.0,30.8
07/01/2025 15:00 - 15:59,0,3,5,3,6,1,0,0,0,0,0,0,0,0,0,18,27.6,34.2
07/01/2025 16:00 - 16:59,1,3,6,9,2,0,1,0,0,0,0,0,0,0,0,22,26.0,30.6
07/01/2025 17:00 - 17:59,0,1,6,10,5,0,0,0,0,0,0,0,0,0,0,22,27.8,32.2
07/01/2025 18:00 - 18:59,0,1,7,10,4,1,0,0,0,0,0,0,0,0,0,23,27.8,32.3
07/01/2025 19:00 - 19:59,2,2,5,4,1,0,0,0,0,0,0,0,0,0,0,14,23.0,29.0
07/01/2025 20:00 - 20:59,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,7,23.4,27.1
07/01/2025 21:00 - 21:59,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,9,23.3,29.5
07/01/2025 22:00 - 22:59,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,28.3,30.5
07/01/2025 23:00 - 23:59,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16.3,26.3
07/02/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
07/02/2025 01:00 - 01:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
07/02/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
07/02/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
07/02/2025 04:00 - 04:59,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,6,25.8,29.0
07/02/2025 05:00 - 05:59,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,7,29.0,37.1
07/02/2025 06:00 - 06:59,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,13,24.2,27.9
