"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6702 45th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/24/2025 13:00 - 13:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
06/24/2025 14:00 - 14:59,1,5,8,18,10,0,0,0,0,0,0,0,0,0,0,42,27.1,32.6
06/24/2025 15:00 - 15:59,1,5,4,15,11,2,0,0,0,0,0,0,0,0,0,38,28.1,34.1
06/24/2025 16:00 - 16:59,0,2,6,28,20,1,0,0,0,0,0,0,0,0,0,57,29.5,34.0
06/24/2025 17:00 - 17:59,5,9,10,16,15,0,1,0,0,0,0,0,0,0,0,56,26.0,33.4
06/24/2025 18:00 - 18:59,0,4,15,14,7,2,0,0,0,0,0,0,0,0,0,42,27.0,32.6
06/24/2025 19:00 - 19:59,4,1,15,18,6,0,0,0,0,0,0,0,0,0,0,44,25.6,30.7
06/24/2025 20:00 - 20:59,1,3,7,10,4,0,0,0,0,0,0,0,0,0,0,25,25.9,30.7
06/24/2025 21:00 - 21:59,1,4,12,9,1,0,0,0,0,0,0,0,0,0,0,27,24.3,29.0
06/24/2025 22:00 - 22:59,0,3,4,5,2,0,0,0,0,0,0,0,0,0,0,14,25.6,30.4
06/24/2025 23:00 - 23:59,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,24.4,27.9
06/25/2025 00:00 - 00:59,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,30.4,32.9
06/25/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/25/2025 02:00 - 02:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
06/25/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/25/2025 04:00 - 04:59,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,6,25.3,32.5
06/25/2025 05:00 - 05:59,0,3,4,2,1,1,1,0,0,0,0,0,0,0,0,12,26.7,34.5
06/25/2025 06:00 - 06:59,1,1,1,5,3,0,1,0,0,0,0,0,0,0,0,12,28.0,33.8
06/25/2025 07:00 - 07:59,5,9,8,14,14,2,0,0,0,0,0,0,0,0,0,52,26.0,33.8
06/25/2025 08:00 - 08:59,8,4,9,13,6,0,0,0,0,0,0,0,0,0,0,40,23.5,30.8
06/25/2025 09:00 - 09:59,4,2,6,13,6,1,0,0,0,0,0,0,0,0,0,32,25.9,32.4
06/25/2025 10:00 - 10:59,1,5,8,8,9,1,1,0,0,0,0,0,0,0,0,33,27.3,34.1
06/25/2025 11:00 - 11:59,1,2,9,10,11,1,0,0,0,0,0,0,0,0,0,34,27.9,33.9
06/25/2025 12:00 - 12:59,2,4,13,13,5,0,0,0,0,0,0,0,0,0,0,37,25.3,30.6
06/25/2025 13:00 - 13:59,1,7,11,17,2,0,0,0,0,0,0,0,0,0,0,38,24.9,29.8
06/25/2025 14:00 - 14:59,2,5,9,15,6,0,0,0,0,0,0,0,0,0,0,37,25.7,31.0
06/25/2025 15:00 - 15:59,1,5,6,18,5,2,0,0,0,0,0,0,0,0,0,37,27.0,32.0
06/25/2025 16:00 - 16:59,0,6,16,21,10,1,0,0,0,0,0,0,0,0,0,54,27.0,32.2
