"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6702 45th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Northbound","Southbound","Total"
06/24/2025 13:00 - 13:59,0,0,0
06/24/2025 14:00 - 14:59,48,38,86
06/24/2025 15:00 - 15:59,57,66,123
06/24/2025 16:00 - 16:59,69,74,143
06/24/2025 17:00 - 17:59,74,57,131
06/24/2025 18:00 - 18:59,70,56,126
06/24/2025 19:00 - 19:59,48,41,89
06/24/2025 20:00 - 20:59,28,40,68
06/24/2025 21:00 - 21:59,22,26,48
06/24/2025 22:00 - 22:59,32,16,48
06/24/2025 23:00 - 23:59,2,12,14
06/25/2025 00:00 - 00:59,4,4,8
06/25/2025 01:00 - 01:59,4,4,8
06/25/2025 02:00 - 02:59,4,2,6
06/25/2025 03:00 - 03:59,2,0,2
06/25/2025 04:00 - 04:59,12,6,18
06/25/2025 05:00 - 05:59,14,12,26
06/25/2025 06:00 - 06:59,36,8,44
06/25/2025 07:00 - 07:59,39,26,65
06/25/2025 08:00 - 08:59,51,29,80
06/25/2025 09:00 - 09:59,56,26,82
06/25/2025 10:00 - 10:59,26,24,50
06/25/2025 11:00 - 11:59,32,38,70
06/25/2025 12:00 - 12:59,49,41,90
06/25/2025 13:00 - 13:59,62,50,112
06/25/2025 14:00 - 14:59,67,60,127
06/25/2025 15:00 - 15:59,35,60,95
06/25/2025 16:00 - 16:59,155,112,267
06/25/2025 17:00 - 17:59,55,46,101
06/25/2025 18:00 - 18:59,36,44,80
06/25/2025 19:00 - 19:59,38,46,84
06/25/2025 20:00 - 20:59,22,26,48
06/25/2025 21:00 - 21:59,32,26,58
06/25/2025 22:00 - 22:59,14,14,28
06/25/2025 23:00 - 23:59,10,8,18
06/26/2025 00:00 - 00:59,8,4,12
06/26/2025 01:00 - 01:59,2,2,4
06/26/2025 02:00 - 02:59,18,8,26
06/26/2025 03:00 - 03:59,2,0,2
06/26/2025 04:00 - 04:59,10,6,16
06/26/2025 05:00 - 05:59,16,14,30
06/26/2025 06:00 - 06:59,24,16,40
06/26/2025 07:00 - 07:59,36,18,54
06/26/2025 08:00 - 08:59,62,24,86
06/26/2025 09:00 - 09:59,56,35,91
06/26/2025 10:00 - 10:59,60,49,109
06/26/2025 11:00 - 11:59,59,50,109
06/26/2025 12:00 - 12:59,70,38,108
06/26/2025 13:00 - 13:59,52,33,85
06/26/2025 14:00 - 14:59,40,34,74
06/26/2025 15:00 - 15:59,54,40,94
06/26/2025 16:00 - 16:59,69,64,133
06/26/2025 17:00 - 17:59,60,54,114
06/26/2025 18:00 - 18:59,54,52,106
06/26/2025 19:00 - 19:59,36,26,62
06/26/2025 20:00 - 20:59,22,32,54
06/26/2025 21:00 - 21:59,24,30,54
06/26/2025 22:00 - 22:59,10,26,36
06/26/2025 23:00 - 23:59,12,14,26
06/27/2025 00:00 - 00:59,2,2,4
06/27/2025 01:00 - 01:59,2,2,4
06/27/2025 02:00 - 02:59,4,0,4
06/27/2025 03:00 - 03:59,4,6,10
06/27/2025 04:00 - 04:59,8,4,12
06/27/2025 05:00 - 05:59,20,6,26
06/27/2025 06:00 - 06:59,34,8,42
06/27/2025 07:00 - 07:59,42,32,74
06/27/2025 08:00 - 08:59,45,30,75
06/27/2025 09:00 - 09:59,37,51,88
06/27/2025 10:00 - 10:59,35,47,82
06/27/2025 11:00 - 11:59,60,26,86
06/27/2025 12:00 - 12:59,49,24,73
06/27/2025 13:00 - 13:59,55,74,129
06/27/2025 14:00 - 14:59,67,60,127
06/27/2025 15:00 - 15:59,54,52,106
06/27/2025 16:00 - 16:59,64,82,146
06/27/2025 17:00 - 17:59,54,40,94
06/27/2025 18:00 - 18:59,54,42,96
06/27/2025 19:00 - 19:59,40,38,78
06/27/2025 20:00 - 20:59,32,46,78
06/27/2025 21:00 - 21:59,14,32,46
06/27/2025 22:00 - 22:59,18,28,46
06/27/2025 23:00 - 23:59,16,10,26
06/28/2025 00:00 - 00:59,6,14,20
06/28/2025 01:00 - 01:59,4,8,12
06/28/2025 02:00 - 02:59,6,2,8
06/28/2025 03:00 - 03:59,6,6,12
06/28/2025 04:00 - 04:59,6,2,8
06/28/2025 05:00 - 05:59,14,10,24
06/28/2025 06:00 - 06:59,10,10,20
06/28/2025 07:00 - 07:59,10,10,20
06/28/2025 08:00 - 08:59,44,12,56
06/28/2025 09:00 - 09:59,38,26,64
06/28/2025 10:00 - 10:59,42,40,82
06/28/2025 11:00 - 11:59,60,44,104
06/28/2025 12:00 - 12:59,37,24,61
06/28/2025 13:00 - 13:59,48,60,108
06/28/2025 14:00 - 14:59,45,46,91
06/28/2025 15:00 - 15:59,42,62,104
06/28/2025 16:00 - 16:59,58,70,128
06/28/2025 17:00 - 17:59,64,44,108
06/28/2025 18:00 - 18:59,42,34,76
06/28/2025 19:00 - 19:59,38,28,66
06/28/2025 20:00 - 20:59,24,34,58
06/28/2025 21:00 - 21:59,18,28,46
06/28/2025 22:00 - 22:59,10,26,36
06/28/2025 23:00 - 23:59,12,4,16
06/29/2025 00:00 - 00:59,2,6,8
06/29/2025 01:00 - 01:59,6,8,14
06/29/2025 02:00 - 02:59,4,6,10
06/29/2025 03:00 - 03:59,2,0,2
06/29/2025 04:00 - 04:59,2,4,6
06/29/2025 05:00 - 05:59,6,6,12
06/29/2025 06:00 - 06:59,6,12,18
06/29/2025 07:00 - 07:59,6,8,14
06/29/2025 08:00 - 08:59,16,4,20
06/29/2025 09:00 - 09:59,24,26,50
06/29/2025 10:00 - 10:59,58,34,92
06/29/2025 11:00 - 11:59,38,50,88
06/29/2025 12:00 - 12:59,39,32,71
06/29/2025 13:00 - 13:59,54,58,112
06/29/2025 14:00 - 14:59,54,59,113
06/29/2025 15:00 - 15:59,36,34,70
06/29/2025 16:00 - 16:59,62,56,118
06/29/2025 17:00 - 17:59,46,32,78
06/29/2025 18:00 - 18:59,44,36,80
06/29/2025 19:00 - 19:59,24,40,64
06/29/2025 20:00 - 20:59,32,28,60
06/29/2025 21:00 - 21:59,30,24,54
06/29/2025 22:00 - 22:59,14,16,30
06/29/2025 23:00 - 23:59,6,10,16
06/30/2025 00:00 - 00:59,6,6,12
06/30/2025 01:00 - 01:59,0,0,0
06/30/2025 02:00 - 02:59,6,4,10
06/30/2025 03:00 - 03:59,0,0,0
06/30/2025 04:00 - 04:59,6,0,6
06/30/2025 05:00 - 05:59,26,12,38
06/30/2025 06:00 - 06:59,28,14,42
06/30/2025 07:00 - 07:59,42,22,64
06/30/2025 08:00 - 08:59,46,22,68
06/30/2025 09:00 - 09:59,59,38,97
06/30/2025 10:00 - 10:59,30,23,53
06/30/2025 11:00 - 11:59,49,30,79
06/30/2025 12:00 - 12:59,48,52,100
06/30/2025 13:00 - 13:59,42,42,84
06/30/2025 14:00 - 14:59,54,70,124
06/30/2025 15:00 - 15:59,62,64,126
06/30/2025 16:00 - 16:59,48,66,114
06/30/2025 17:00 - 17:59,66,54,120
06/30/2025 18:00 - 18:59,30,42,72
06/30/2025 19:00 - 19:59,37,52,89
06/30/2025 20:00 - 20:59,24,29,53
06/30/2025 21:00 - 21:59,32,24,56
06/30/2025 22:00 - 22:59,18,20,38
06/30/2025 23:00 - 23:59,6,16,22
07/01/2025 00:00 - 00:59,12,4,16
07/01/2025 01:00 - 01:59,2,2,4
07/01/2025 02:00 - 02:59,4,2,6
07/01/2025 03:00 - 03:59,0,0,0
07/01/2025 04:00 - 04:59,4,4,8
07/01/2025 05:00 - 05:59,26,16,42
07/01/2025 06:00 - 06:59,38,16,54
07/01/2025 07:00 - 07:59,48,39,87
07/01/2025 08:00 - 08:59,61,36,97
07/01/2025 09:00 - 09:59,60,32,92
07/01/2025 10:00 - 10:59,35,34,69
07/01/2025 11:00 - 11:59,54,32,86
07/01/2025 12:00 - 12:59,57,55,112
07/01/2025 13:00 - 13:59,38,52,90
07/01/2025 14:00 - 14:59,69,54,123
07/01/2025 15:00 - 15:59,56,68,124
07/01/2025 16:00 - 16:59,62,52,114
07/01/2025 17:00 - 17:59,74,66,140
07/01/2025 18:00 - 18:59,47,48,95
07/01/2025 19:00 - 19:59,26,36,62
07/01/2025 20:00 - 20:59,40,32,72
07/01/2025 21:00 - 21:59,24,24,48
07/01/2025 22:00 - 22:59,14,24,38
07/01/2025 23:00 - 23:59,8,12,20
07/02/2025 00:00 - 00:59,4,10,14
07/02/2025 01:00 - 01:59,0,0,0
07/02/2025 02:00 - 02:59,4,2,6
07/02/2025 03:00 - 03:59,2,0,2
07/02/2025 04:00 - 04:59,4,4,8
07/02/2025 05:00 - 05:59,26,12,38
07/02/2025 06:00 - 06:59,37,27,64
07/02/2025 07:00 - 07:59,48,26,74
07/02/2025 08:00 - 08:59,52,44,96
07/02/2025 09:00 - 09:59,34,24,58
07/02/2025 10:00 - 10:59,55,37,92
07/02/2025 11:00 - 11:59,41,39,80
07/02/2025 12:00 - 12:59,48,49,97
07/02/2025 13:00 - 13:59,75,56,131
07/02/2025 14:00 - 14:59,62,68,130
07/02/2025 15:00 - 15:59,56,32,88
07/02/2025 16:00 - 16:59,65,70,135
07/02/2025 17:00 - 17:59,84,53,137
07/02/2025 18:00 - 18:59,38,58,96
07/02/2025 19:00 - 19:59,31,30,61
07/02/2025 20:00 - 20:59,44,44,88
07/02/2025 21:00 - 21:59,22,26,48
07/02/2025 22:00 - 22:59,14,8,22
07/02/2025 23:00 - 23:59,4,6,10
07/03/2025 00:00 - 00:59,2,8,10
07/03/2025 01:00 - 01:59,0,2,2
07/03/2025 02:00 - 02:59,6,4,10
07/03/2025 03:00 - 03:59,6,0,6
07/03/2025 04:00 - 04:59,6,6,12
07/03/2025 05:00 - 05:59,18,8,26
07/03/2025 06:00 - 06:59,24,12,36
07/03/2025 07:00 - 07:59,38,22,60
07/03/2025 08:00 - 08:59,42,29,71
07/03/2025 09:00 - 09:59,48,28,76
07/03/2025 10:00 - 10:59,46,28,74
07/03/2025 11:00 - 11:59,0,0,0
07/03/2025 12:00 - 12:59,0,0,0
07/03/2025 13:00 - 13:59,0,0,0
07/03/2025 14:00 - 14:59,50,50,100
07/03/2025 15:00 - 15:59,48,58,106
07/03/2025 16:00 - 16:59,62,50,112
07/03/2025 17:00 - 17:59,62,31,93
07/03/2025 18:00 - 18:59,40,44,84
07/03/2025 19:00 - 19:59,30,32,62
07/03/2025 20:00 - 20:59,26,42,68
07/03/2025 21:00 - 21:59,18,30,48
07/03/2025 22:00 - 22:59,10,22,32
07/03/2025 23:00 - 23:59,8,14,22
07/04/2025 00:00 - 00:59,4,10,14
07/04/2025 01:00 - 01:59,8,0,8
07/04/2025 02:00 - 02:59,8,4,12
07/04/2025 03:00 - 03:59,4,0,4
07/04/2025 04:00 - 04:59,4,2,6
07/04/2025 05:00 - 05:59,6,4,10
