"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Westbound / Eastbound)"
"Date/Time","Volume - Westbound","Volume - Eastbound","Class #1 - Westbound","Class #2 - Westbound","Class #3 - Westbound","Class #4 - Westbound","Class #5 - Westbound","Class #6 - Westbound","Class #7 - Westbound","Class #8 - Westbound","Class #9 - Westbound","Class #10 - Westbound","Class #11 - Westbound","Class #12 - Westbound","Class #13 - Westbound","Class #1 - Eastbound","Class #2 - Eastbound","Class #3 - Eastbound","Class #4 - Eastbound","Class #5 - Eastbound","Class #6 - Eastbound","Class #7 - Eastbound","Class #8 - Eastbound","Class #9 - Eastbound","Class #10 - Eastbound","Class #11 - Eastbound","Class #12 - Eastbound","Class #13 - Eastbound","5-14 MPH  - Westbound","15-19 MPH  - Westbound","20-24 MPH  - Westbound","25-29 MPH  - Westbound","30-34 MPH  - Westbound","35-39 MPH  - Westbound","40-44 MPH  - Westbound","45-49 MPH  - Westbound","50-54 MPH  - Westbound","55-59 MPH  - Westbound","60-64 MPH  - Westbound","65-69 MPH  - Westbound","70-74 MPH  - Westbound","75-79 MPH  - Westbound","80-99 MPH  - Westbound","5-14 MPH  - Eastbound","15-19 MPH  - Eastbound","20-24 MPH  - Eastbound","25-29 MPH  - Eastbound","30-34 MPH  - Eastbound","35-39 MPH  - Eastbound","40-44 MPH  - Eastbound","45-49 MPH  - Eastbound","50-54 MPH  - Eastbound","55-59 MPH  - Eastbound","60-64 MPH  - Eastbound","65-69 MPH  - Eastbound","70-74 MPH  - Eastbound","75-79 MPH  - Eastbound","80-99 MPH  - Eastbound"
05/13/2025 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00,21,23,0,15,2,0,3,1,0,0,0,0,0,0,0,0,18,2,0,2,1,0,0,0,0,0,0,0,0,0,7,10,3,0,1,0,0,0,0,0,0,0,0,0,1,6,12,4,0,0,0,0,0,0,0,0,0,0
05/13/2025 12:00,27,28,0,18,4,0,5,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,1,0,7,13,6,0,0,0,0,0,0,0,0,0,0,0,2,15,8,3,0,0,0,0,0,0,0,0,0,0
05/13/2025 13:00,24,45,0,18,4,0,2,0,0,0,0,0,0,0,0,0,37,4,0,4,0,0,0,0,0,0,0,0,0,1,6,13,4,0,0,0,0,0,0,0,0,0,0,0,2,14,25,4,0,0,0,0,0,0,0,0,0,0
05/13/2025 14:00,26,42,0,23,3,0,0,0,0,0,0,0,0,0,0,0,36,2,3,1,0,0,0,0,0,0,0,0,0,1,5,12,8,0,0,0,0,0,0,0,0,0,0,0,5,15,16,5,1,0,0,0,0,0,0,0,0,0
05/13/2025 15:00,40,54,0,29,7,0,4,0,0,0,0,0,0,0,0,0,37,8,2,7,0,0,0,0,0,0,0,0,0,3,11,18,6,2,0,0,0,0,0,0,0,0,0,1,5,23,18,7,0,0,0,0,0,0,0,0,0,0
05/13/2025 16:00,47,54,0,33,7,0,7,0,0,0,0,0,0,0,0,0,43,5,1,5,0,0,0,0,0,0,0,0,1,0,16,23,7,0,0,0,0,0,0,0,0,0,0,1,5,16,15,16,1,0,0,0,0,0,0,0,0,0
05/13/2025 17:00,51,70,0,41,5,0,5,0,0,0,0,0,0,0,0,0,63,2,0,5,0,0,0,0,0,0,0,0,0,3,14,28,6,0,0,0,0,0,0,0,0,0,0,0,7,31,24,8,0,0,0,0,0,0,0,0,0,0
05/13/2025 18:00,35,54,0,30,4,0,1,0,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,0,0,1,2,11,16,5,0,0,0,0,0,0,0,0,0,0,0,7,20,23,4,0,0,0,0,0,0,0,0,0,0
05/13/2025 19:00,26,29,0,20,3,0,3,0,0,0,0,0,0,0,0,1,25,2,0,1,0,0,0,0,0,0,0,0,0,4,10,10,2,0,0,0,0,0,0,0,0,0,0,1,3,9,12,4,0,0,0,0,0,0,0,0,0,0
05/13/2025 20:00,21,28,0,18,2,0,1,0,0,0,0,0,0,0,0,0,25,1,0,2,0,0,0,0,0,0,0,0,0,2,9,6,4,0,0,0,0,0,0,0,0,0,0,0,5,12,8,3,0,0,0,0,0,0,0,0,0,0
05/13/2025 21:00,22,30,0,19,2,0,1,0,0,0,0,0,0,0,0,0,28,1,0,1,0,0,0,0,0,0,0,0,0,4,6,9,3,0,0,0,0,0,0,0,0,0,0,2,3,13,9,3,0,0,0,0,0,0,0,0,0,0
05/13/2025 22:00,13,15,0,12,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,8,2,0,0,0,0,0,0,0,0,0,0
05/13/2025 23:00,6,7,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 00:00,5,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
05/14/2025 01:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 02:00,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 03:00,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 04:00,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0
05/14/2025 05:00,9,13,0,7,2,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,0,0,0,0,0,0,0,0,0,0
05/14/2025 06:00,14,25,0,9,1,1,1,2,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,1,2,4,5,2,0,0,0,0,0,0,0,0,0,0,3,3,2,12,5,0,0,0,0,0,0,0,0,0,0
05/14/2025 07:00,21,46,0,13,5,1,0,2,0,0,0,0,0,0,0,0,36,3,2,3,2,0,0,0,0,0,0,0,1,0,7,11,2,0,0,0,0,0,0,0,0,0,0,1,3,15,19,7,1,0,0,0,0,0,0,0,0,0
05/14/2025 08:00,32,43,0,17,8,1,5,1,0,0,0,0,0,0,0,0,35,2,1,5,0,0,0,0,0,0,0,0,0,2,10,16,4,0,0,0,0,0,0,0,0,0,0,0,2,19,14,8,0,0,0,0,0,0,0,0,0,0
05/14/2025 09:00,21,32,0,15,3,1,2,0,0,0,0,0,0,0,0,0,28,3,1,0,0,0,0,0,0,0,0,0,0,3,5,10,2,1,0,0,0,0,0,0,0,0,0,0,3,11,10,8,0,0,0,0,0,0,0,0,0,0
05/14/2025 10:00,17,30,0,13,0,0,4,0,0,0,0,0,0,0,0,0,24,2,0,2,1,0,0,1,0,0,0,0,0,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,5,5,9,8,2,1,0,0,0,0,0,0,0,0
05/14/2025 11:00,23,34,0,16,4,0,3,0,0,0,0,0,0,0,0,0,31,1,0,2,0,0,0,0,0,0,0,0,0,1,6,11,4,1,0,0,0,0,0,0,0,0,0,0,1,20,11,2,0,0,0,0,0,0,0,0,0,0
05/14/2025 12:00,29,28,0,19,4,0,6,0,0,0,0,0,0,0,0,1,23,3,0,1,0,0,0,0,0,0,0,0,1,2,10,13,3,0,0,0,0,0,0,0,0,0,0,0,3,10,10,5,0,0,0,0,0,0,0,0,0,0
05/14/2025 13:00,28,38,0,21,0,0,6,1,0,0,0,0,0,0,0,0,31,3,0,4,0,0,0,0,0,0,0,0,1,1,7,13,6,0,0,0,0,0,0,0,0,0,0,2,3,15,17,1,0,0,0,0,0,0,0,0,0,0
05/14/2025 14:00,32,45,0,23,7,0,2,0,0,0,0,0,0,0,0,0,35,3,2,4,1,0,0,0,0,0,0,0,0,1,10,17,4,0,0,0,0,0,0,0,0,0,0,0,3,13,18,8,3,0,0,0,0,0,0,0,0,0
05/14/2025 15:00,37,58,0,27,6,0,4,0,0,0,0,0,0,0,0,0,46,4,3,4,1,0,0,0,0,0,0,0,3,0,10,22,1,1,0,0,0,0,0,0,0,0,0,1,1,21,25,9,1,0,0,0,0,0,0,0,0,0
05/14/2025 16:00,56,70,0,45,5,0,6,0,0,0,0,0,0,0,0,0,61,6,2,1,0,0,0,0,0,0,0,0,0,2,16,28,10,0,0,0,0,0,0,0,0,0,0,0,1,29,30,8,2,0,0,0,0,0,0,0,0,0
05/14/2025 17:00,39,56,1,28,7,0,3,0,0,0,0,0,0,0,0,1,50,3,1,1,0,0,0,0,0,0,0,0,0,2,13,17,6,0,1,0,0,0,0,0,0,0,0,0,8,13,20,13,2,0,0,0,0,0,0,0,0,0
05/14/2025 18:00,43,40,0,31,8,0,4,0,0,0,0,0,0,0,0,0,36,3,0,1,0,0,0,0,0,0,0,0,0,3,11,25,3,1,0,0,0,0,0,0,0,0,0,0,2,13,18,7,0,0,0,0,0,0,0,0,0,0
05/14/2025 19:00,27,27,0,24,2,0,1,0,0,0,0,0,0,0,0,0,24,2,0,1,0,0,0,0,0,0,0,0,0,3,11,12,0,1,0,0,0,0,0,0,0,0,0,0,3,12,11,1,0,0,0,0,0,0,0,0,0,0
05/14/2025 20:00,27,35,1,23,3,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,2,4,5,15,0,1,0,0,0,0,0,0,0,0,0,3,6,17,8,1,0,0,0,0,0,0,0,0,0,0
05/14/2025 21:00,20,20,0,18,1,0,1,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,2,0,0,0,0,0,0,0,0,0,0
05/14/2025 22:00,15,18,1,11,2,0,1,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,1,3,3,6,2,0,0,0,0,0,0,0,0,0,0,0,2,9,5,1,1,0,0,0,0,0,0,0,0,0
05/14/2025 23:00,13,4,0,12,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
05/15/2025 00:00,6,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
05/15/2025 01:00,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
05/15/2025 02:00,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/15/2025 03:00,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
05/15/2025 04:00,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
05/15/2025 05:00,8,13,0,7,1,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,1,0,0,0,0,0,0,0,0,0,0
05/15/2025 06:00,15,28,0,13,0,1,1,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,0,0,0,0,0,0,0,0,0,2,1,7,14,4,0,0,0,0,0,0,0,0,0,0
05/15/2025 07:00,20,39,0,14,5,1,0,0,0,0,0,0,0,0,0,0,33,3,2,1,0,0,0,0,0,0,0,0,1,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,4,0,0,0,0,0,0,0,0,0,0
