"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Eastbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00 - 11:59,0,18,2,0,2,1,0,0,0,0,0,0,0,23
05/13/2025 12:00 - 12:59,0,26,2,0,0,0,0,0,0,0,0,0,0,28
05/13/2025 13:00 - 13:59,0,37,4,0,4,0,0,0,0,0,0,0,0,45
05/13/2025 14:00 - 14:59,0,36,2,3,1,0,0,0,0,0,0,0,0,42
05/13/2025 15:00 - 15:59,0,37,8,2,7,0,0,0,0,0,0,0,0,54
05/13/2025 16:00 - 16:59,0,43,5,1,5,0,0,0,0,0,0,0,0,54
05/13/2025 17:00 - 17:59,0,63,2,0,5,0,0,0,0,0,0,0,0,70
05/13/2025 18:00 - 18:59,0,51,3,0,0,0,0,0,0,0,0,0,0,54
05/13/2025 19:00 - 19:59,1,25,2,0,1,0,0,0,0,0,0,0,0,29
05/13/2025 20:00 - 20:59,0,25,1,0,2,0,0,0,0,0,0,0,0,28
05/13/2025 21:00 - 21:59,0,28,1,0,1,0,0,0,0,0,0,0,0,30
05/13/2025 22:00 - 22:59,0,14,0,0,1,0,0,0,0,0,0,0,0,15
05/13/2025 23:00 - 23:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
05/14/2025 00:00 - 00:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/14/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025 02:00 - 02:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
05/14/2025 03:00 - 03:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/14/2025 04:00 - 04:59,0,5,1,0,0,0,0,0,0,0,0,0,0,6
05/14/2025 05:00 - 05:59,0,10,3,0,0,0,0,0,0,0,0,0,0,13
05/14/2025 06:00 - 06:59,0,24,0,0,0,0,1,0,0,0,0,0,0,25
05/14/2025 07:00 - 07:59,0,36,3,2,3,2,0,0,0,0,0,0,0,46
05/14/2025 08:00 - 08:59,0,35,2,1,5,0,0,0,0,0,0,0,0,43
