"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/13/2025 11:00 - 11:59,0,1,10,10,2,0,0,0,0,0,0,0,0,0,0,23,26.3,30.0
05/13/2025 12:00 - 12:59,0,2,16,10,0,0,0,0,0,0,0,0,0,0,0,28,24.9,28.6
05/13/2025 13:00 - 13:59,0,5,16,21,3,0,0,0,0,0,0,0,0,0,0,45,25.9,30.0
05/13/2025 14:00 - 14:59,0,6,19,14,2,1,0,0,0,0,0,0,0,0,0,42,25.3,29.6
05/13/2025 15:00 - 15:59,1,7,28,15,3,0,0,0,0,0,0,0,0,0,0,54,24.5,29.1
05/13/2025 16:00 - 16:59,2,7,21,16,8,0,0,0,0,0,0,0,0,0,0,54,25.3,30.8
05/13/2025 17:00 - 17:59,0,8,37,19,6,0,0,0,0,0,0,0,0,0,0,70,25.1,29.7
05/13/2025 18:00 - 18:59,0,9,23,21,1,0,0,0,0,0,0,0,0,0,0,54,24.8,29.2
05/13/2025 19:00 - 19:59,1,3,12,11,2,0,0,0,0,0,0,0,0,0,0,29,25.1,29.7
05/13/2025 20:00 - 20:59,0,5,14,7,2,0,0,0,0,0,0,0,0,0,0,28,24.5,29.1
05/13/2025 21:00 - 21:59,2,3,14,9,2,0,0,0,0,0,0,0,0,0,0,30,24.3,29.3
05/13/2025 22:00 - 22:59,0,1,7,5,2,0,0,0,0,0,0,0,0,0,0,15,26.1,30.3
05/13/2025 23:00 - 23:59,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,24.3,29.5
05/14/2025 00:00 - 00:59,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4,27.0,30.5
05/14/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/14/2025 02:00 - 02:59,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,20.3,26.3
05/14/2025 03:00 - 03:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
05/14/2025 04:00 - 04:59,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,6,27.5,29.6
05/14/2025 05:00 - 05:59,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,13,24.9,28.5
05/14/2025 06:00 - 06:59,4,2,4,14,1,0,0,0,0,0,0,0,0,0,0,25,24.2,29.8
05/14/2025 07:00 - 07:59,1,4,18,21,2,0,0,0,0,0,0,0,0,0,0,46,25.5,29.7
05/14/2025 08:00 - 08:59,0,4,19,17,3,0,0,0,0,0,0,0,0,0,0,43,25.7,29.8
05/14/2025 09:00 - 09:59,0,3,12,15,2,0,0,0,0,0,0,0,0,0,0,32,26.0,29.9
05/14/2025 10:00 - 10:59,0,5,6,13,4,2,0,0,0,0,0,0,0,0,0,30,27.1,32.3
05/14/2025 11:00 - 11:59,0,2,20,11,1,0,0,0,0,0,0,0,0,0,0,34,25.1,28.9
05/14/2025 12:00 - 12:59,0,4,14,6,4,0,0,0,0,0,0,0,0,0,0,28,25.3,30.4
05/14/2025 13:00 - 13:59,2,6,18,11,1,0,0,0,0,0,0,0,0,0,0,38,23.7,28.6
05/14/2025 14:00 - 14:59,0,5,17,14,8,1,0,0,0,0,0,0,0,0,0,45,26.6,32.1
05/14/2025 15:00 - 15:59,1,3,23,25,5,1,0,0,0,0,0,0,0,0,0,58,26.2,30.4
05/14/2025 16:00 - 16:59,0,6,32,25,7,0,0,0,0,0,0,0,0,0,0,70,25.8,30.2
05/14/2025 17:00 - 17:59,0,8,22,17,9,0,0,0,0,0,0,0,0,0,0,56,25.9,31.1
05/14/2025 18:00 - 18:59,0,3,15,20,2,0,0,0,0,0,0,0,0,0,0,40,26.1,29.9
05/14/2025 19:00 - 19:59,0,3,15,8,1,0,0,0,0,0,0,0,0,0,0,27,24.7,28.8
05/14/2025 20:00 - 20:59,4,7,18,6,0,0,0,0,0,0,0,0,0,0,0,35,21.9,26.2
05/14/2025 21:00 - 21:59,0,5,8,6,1,0,0,0,0,0,0,0,0,0,0,20,24.2,28.9
05/14/2025 22:00 - 22:59,1,2,9,4,2,0,0,0,0,0,0,0,0,0,0,18,24.4,29.5
05/14/2025 23:00 - 23:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
05/15/2025 00:00 - 00:59,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,6,23.3,24.0
05/15/2025 01:00 - 01:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
05/15/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/15/2025 03:00 - 03:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
05/15/2025 04:00 - 04:59,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,22.5,27.5
05/15/2025 05:00 - 05:59,0,2,3,8,0,0,0,0,0,0,0,0,0,0,0,13,25.8,29.5
05/15/2025 06:00 - 06:59,2,3,6,15,2,0,0,0,0,0,0,0,0,0,0,28,25.4,30.1
05/15/2025 07:00 - 07:59,0,1,13,22,3,0,0,0,0,0,0,0,0,0,0,39,26.9,30.2
05/15/2025 08:00 - 08:59,0,5,23,17,5,0,0,0,0,0,0,0,0,0,0,50,25.7,30.1
