"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Total Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00 - 11:59,0,33,4,0,5,2,0,0,0,0,0,0,0,44
05/13/2025 12:00 - 12:59,0,44,6,0,5,0,0,0,0,0,0,0,0,55
05/13/2025 13:00 - 13:59,0,55,8,0,6,0,0,0,0,0,0,0,0,69
05/13/2025 14:00 - 14:59,0,59,5,3,1,0,0,0,0,0,0,0,0,68
05/13/2025 15:00 - 15:59,0,66,15,2,11,0,0,0,0,0,0,0,0,94
05/13/2025 16:00 - 16:59,0,76,12,1,12,0,0,0,0,0,0,0,0,101
05/13/2025 17:00 - 17:59,0,104,7,0,10,0,0,0,0,0,0,0,0,121
05/13/2025 18:00 - 18:59,0,81,7,0,1,0,0,0,0,0,0,0,0,89
05/13/2025 19:00 - 19:59,1,45,5,0,4,0,0,0,0,0,0,0,0,55
05/13/2025 20:00 - 20:59,0,43,3,0,3,0,0,0,0,0,0,0,0,49
05/13/2025 21:00 - 21:59,0,47,3,0,2,0,0,0,0,0,0,0,0,52
05/13/2025 22:00 - 22:59,0,26,1,0,1,0,0,0,0,0,0,0,0,28
05/13/2025 23:00 - 23:59,0,11,2,0,0,0,0,0,0,0,0,0,0,13
05/14/2025 00:00 - 00:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
05/14/2025 01:00 - 01:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
05/14/2025 02:00 - 02:59,0,9,0,0,0,0,0,0,0,0,0,0,0,9
05/14/2025 03:00 - 03:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
05/14/2025 04:00 - 04:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
05/14/2025 05:00 - 05:59,0,17,5,0,0,0,0,0,0,0,0,0,0,22
05/14/2025 06:00 - 06:59,0,33,1,1,1,2,1,0,0,0,0,0,0,39
05/14/2025 07:00 - 07:59,0,49,8,3,3,4,0,0,0,0,0,0,0,67
05/14/2025 08:00 - 08:59,0,52,10,2,10,1,0,0,0,0,0,0,0,75
05/14/2025 09:00 - 09:59,0,43,6,2,2,0,0,0,0,0,0,0,0,53
05/14/2025 10:00 - 10:59,0,37,2,0,6,1,0,0,1,0,0,0,0,47
05/14/2025 11:00 - 11:59,0,47,5,0,5,0,0,0,0,0,0,0,0,57
05/14/2025 12:00 - 12:59,1,42,7,0,7,0,0,0,0,0,0,0,0,57
05/14/2025 13:00 - 13:59,0,52,3,0,10,1,0,0,0,0,0,0,0,66
05/14/2025 14:00 - 14:59,0,58,10,2,6,1,0,0,0,0,0,0,0,77
05/14/2025 15:00 - 15:59,0,73,10,3,8,1,0,0,0,0,0,0,0,95
05/14/2025 16:00 - 16:59,0,106,11,2,7,0,0,0,0,0,0,0,0,126
05/14/2025 17:00 - 17:59,2,78,10,1,4,0,0,0,0,0,0,0,0,95
05/14/2025 18:00 - 18:59,0,67,11,0,5,0,0,0,0,0,0,0,0,83
05/14/2025 19:00 - 19:59,0,48,4,0,2,0,0,0,0,0,0,0,0,54
05/14/2025 20:00 - 20:59,2,57,3,0,0,0,0,0,0,0,0,0,0,62
05/14/2025 21:00 - 21:59,0,36,2,0,2,0,0,0,0,0,0,0,0,40
05/14/2025 22:00 - 22:59,1,28,3,0,1,0,0,0,0,0,0,0,0,33
05/14/2025 23:00 - 23:59,0,16,0,0,1,0,0,0,0,0,0,0,0,17
05/15/2025 00:00 - 00:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
05/15/2025 01:00 - 01:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
05/15/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/15/2025 03:00 - 03:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
05/15/2025 04:00 - 04:59,0,10,0,0,0,0,0,0,0,0,0,0,0,10
05/15/2025 05:00 - 05:59,0,17,4,0,0,0,0,0,0,0,0,0,0,21
05/15/2025 06:00 - 06:59,0,40,0,2,1,0,0,0,0,0,0,0,0,43
05/15/2025 07:00 - 07:59,0,47,8,3,1,0,0,0,0,0,0,0,0,59
05/15/2025 08:00 - 08:59,0,59,12,0,6,0,0,0,0,0,0,0,0,77
05/15/2025 09:00 - 09:59,0,49,9,0,0,0,0,0,0,0,0,0,0,58
05/15/2025 10:00 - 10:59,0,37,5,0,1,0,0,0,0,0,0,0,0,43
05/15/2025 11:00 - 11:59,0,46,10,2,2,1,0,0,0,0,0,0,0,61
05/15/2025 12:00 - 12:59,0,50,4,0,2,0,0,0,0,0,0,0,0,56
05/15/2025 13:00 - 13:59,0,46,3,1,4,0,0,1,0,0,0,0,0,55
05/15/2025 14:00 - 14:59,0,65,7,2,5,0,0,0,0,0,0,0,0,79
05/15/2025 15:00 - 15:59,0,89,8,4,7,0,0,0,0,0,0,0,0,108
05/15/2025 16:00 - 16:59,0,88,7,0,5,0,0,0,0,0,0,0,0,100
05/15/2025 17:00 - 17:59,0,97,8,1,1,0,0,0,0,0,0,0,0,107
05/15/2025 18:00 - 18:59,0,66,8,0,5,0,0,0,0,0,0,0,0,79
05/15/2025 19:00 - 19:59,0,59,6,0,0,0,0,0,0,0,0,0,0,65
05/15/2025 20:00 - 20:59,0,41,7,0,4,0,0,0,0,0,0,0,0,52
05/15/2025 21:00 - 21:59,0,40,6,0,2,0,0,0,0,0,0,0,0,48
05/15/2025 22:00 - 22:59,0,36,2,0,5,0,1,0,0,0,0,0,0,44
05/15/2025 23:00 - 23:59,0,13,1,0,1,0,0,0,0,0,0,0,0,15
05/16/2025 00:00 - 00:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
05/16/2025 01:00 - 01:59,0,4,1,0,2,0,0,0,0,0,0,0,0,7
05/16/2025 02:00 - 02:59,0,8,0,0,0,0,0,0,0,0,0,0,0,8
05/16/2025 03:00 - 03:59,0,7,1,0,1,0,0,0,0,0,0,0,0,9
05/16/2025 04:00 - 04:59,0,5,1,0,1,0,0,0,0,0,0,0,0,7
05/16/2025 05:00 - 05:59,1,18,4,0,0,0,0,0,0,0,0,0,0,23
05/16/2025 06:00 - 06:59,0,26,2,1,2,0,0,0,0,0,0,0,0,31
05/16/2025 07:00 - 07:59,0,51,13,3,3,0,0,0,0,0,0,0,0,70
05/16/2025 08:00 - 08:59,1,39,11,2,5,0,0,0,0,0,0,0,0,58
05/16/2025 09:00 - 09:59,0,50,9,1,3,1,0,0,0,0,0,0,0,64
05/16/2025 10:00 - 10:59,0,45,9,0,3,1,0,0,0,0,0,0,0,58
05/16/2025 11:00 - 11:59,0,50,9,0,6,0,0,0,0,0,0,0,0,65
05/16/2025 12:00 - 12:59,0,45,9,1,3,1,0,0,0,0,0,0,0,59
05/16/2025 13:00 - 13:59,0,55,5,0,9,0,0,0,0,0,0,0,0,69
05/16/2025 14:00 - 14:59,0,63,8,2,7,0,0,0,0,0,0,0,0,80
05/16/2025 15:00 - 15:59,0,57,20,2,9,0,0,0,0,0,0,0,0,88
05/16/2025 16:00 - 16:59,0,80,19,0,6,0,0,0,0,0,0,0,0,105
05/16/2025 17:00 - 17:59,0,80,9,0,8,0,0,0,0,0,0,0,0,97
05/16/2025 18:00 - 18:59,0,53,9,0,3,0,0,0,0,0,0,0,0,65
05/16/2025 19:00 - 19:59,0,53,9,0,2,0,0,0,0,0,0,0,0,64
05/16/2025 20:00 - 20:59,0,42,9,0,2,0,0,0,0,0,0,0,0,53
05/16/2025 21:00 - 21:59,0,35,7,0,2,0,0,0,0,0,0,0,0,44
05/16/2025 22:00 - 22:59,0,34,3,0,0,0,0,0,0,0,0,0,0,37
05/16/2025 23:00 - 23:59,0,18,1,0,2,0,0,0,0,0,0,0,0,21
05/17/2025 00:00 - 00:59,0,11,0,0,0,0,0,0,0,0,0,0,0,11
05/17/2025 01:00 - 01:59,0,6,0,0,1,0,0,0,0,0,0,0,0,7
05/17/2025 02:00 - 02:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
05/17/2025 03:00 - 03:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
05/17/2025 04:00 - 04:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
05/17/2025 05:00 - 05:59,0,5,2,0,1,0,0,0,0,0,0,0,0,8
05/17/2025 06:00 - 06:59,0,17,2,0,2,0,0,0,0,0,0,0,0,21
05/17/2025 07:00 - 07:59,0,25,3,0,2,0,0,0,0,0,0,0,0,30
05/17/2025 08:00 - 08:59,0,31,5,0,1,0,0,0,0,0,0,0,0,37
05/17/2025 09:00 - 09:59,0,53,7,0,2,0,0,0,0,0,0,0,0,62
05/17/2025 10:00 - 10:59,1,53,7,1,3,0,0,0,0,0,0,0,0,65
05/17/2025 11:00 - 11:59,0,56,8,0,4,0,0,0,0,0,0,0,0,68
05/17/2025 12:00 - 12:59,0,69,4,1,6,0,0,0,0,0,0,0,0,80
05/17/2025 13:00 - 13:59,0,70,5,0,3,0,0,0,0,0,0,0,0,78
05/17/2025 14:00 - 14:59,0,73,7,0,3,0,0,0,0,0,0,0,0,83
05/17/2025 15:00 - 15:59,0,70,11,0,3,0,0,0,0,0,0,0,0,84
05/17/2025 16:00 - 16:59,0,60,5,0,5,0,0,0,0,0,0,0,0,70
05/17/2025 17:00 - 17:59,0,49,6,0,3,0,0,0,0,0,0,0,0,58
05/17/2025 18:00 - 18:59,0,58,4,0,3,0,0,0,0,0,0,0,0,65
05/17/2025 19:00 - 19:59,0,54,3,0,2,0,0,0,0,0,0,0,0,59
05/17/2025 20:00 - 20:59,0,42,4,0,3,0,0,0,0,0,0,0,0,49
05/17/2025 21:00 - 21:59,0,30,3,0,2,0,0,0,0,0,0,0,0,35
05/17/2025 22:00 - 22:59,0,26,1,0,1,0,0,0,0,0,0,0,0,28
05/17/2025 23:00 - 23:59,0,17,3,0,0,0,0,0,0,0,0,0,0,20
05/18/2025 00:00 - 00:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
05/18/2025 01:00 - 01:59,0,14,1,0,0,0,0,0,0,0,0,0,0,15
05/18/2025 02:00 - 02:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
05/18/2025 03:00 - 03:59,0,10,1,0,0,0,0,0,0,0,0,0,0,11
05/18/2025 04:00 - 04:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
05/18/2025 05:00 - 05:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
05/18/2025 06:00 - 06:59,0,8,1,0,1,0,0,0,0,0,0,0,0,10
