"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/13/2025 11:00 - 11:59,0,1,17,21,4,0,1,0,0,0,0,0,0,0,0,44,27.1,30.5
05/13/2025 12:00 - 12:59,1,2,26,21,5,0,0,0,0,0,0,0,0,0,0,55,25.9,30.1
05/13/2025 13:00 - 13:59,0,7,24,31,7,0,0,0,0,0,0,0,0,0,0,69,26.2,30.4
05/13/2025 14:00 - 14:59,0,7,27,24,9,1,0,0,0,0,0,0,0,0,0,68,26.3,30.9
05/13/2025 15:00 - 15:59,2,11,43,29,7,2,0,0,0,0,0,0,0,0,0,94,25.2,30.0
05/13/2025 16:00 - 16:59,3,10,39,39,10,0,0,0,0,0,0,0,0,0,0,101,25.5,30.3
05/13/2025 17:00 - 17:59,0,12,57,40,12,0,0,0,0,0,0,0,0,0,0,121,25.6,30.2
05/13/2025 18:00 - 18:59,1,12,36,36,4,0,0,0,0,0,0,0,0,0,0,89,25.1,29.6
05/13/2025 19:00 - 19:59,1,8,24,19,3,0,0,0,0,0,0,0,0,0,0,55,24.8,29.5
05/13/2025 20:00 - 20:59,0,8,24,12,5,0,0,0,0,0,0,0,0,0,0,49,24.9,29.8
05/13/2025 21:00 - 21:59,2,8,25,14,3,0,0,0,0,0,0,0,0,0,0,52,24.1,29.1
05/13/2025 22:00 - 22:59,0,1,17,6,4,0,0,0,0,0,0,0,0,0,0,28,25.8,30.4
05/13/2025 23:00 - 23:59,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,13,22.4,28.5
05/14/2025 00:00 - 00:59,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,9,23.9,26.8
05/14/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
05/14/2025 02:00 - 02:59,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,9,21.7,26.4
