"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Westbound","Eastbound","Total"
05/13/2025 10:00 - 10:59,0,0,0
05/13/2025 11:00 - 11:59,21,23,44
05/13/2025 12:00 - 12:59,27,28,55
05/13/2025 13:00 - 13:59,24,45,69
05/13/2025 14:00 - 14:59,26,42,68
05/13/2025 15:00 - 15:59,40,54,94
05/13/2025 16:00 - 16:59,47,54,101
05/13/2025 17:00 - 17:59,51,70,121
05/13/2025 18:00 - 18:59,35,54,89
05/13/2025 19:00 - 19:59,26,29,55
05/13/2025 20:00 - 20:59,21,28,49
05/13/2025 21:00 - 21:59,22,30,52
05/13/2025 22:00 - 22:59,13,15,28
05/13/2025 23:00 - 23:59,6,7,13
05/14/2025 00:00 - 00:59,5,4,9
05/14/2025 01:00 - 01:59,1,0,1
05/14/2025 02:00 - 02:59,6,3,9
05/14/2025 03:00 - 03:59,4,2,6
05/14/2025 04:00 - 04:59,1,6,7
05/14/2025 05:00 - 05:59,9,13,22
05/14/2025 06:00 - 06:59,14,25,39
05/14/2025 07:00 - 07:59,21,46,67
05/14/2025 08:00 - 08:59,32,43,75
05/14/2025 09:00 - 09:59,21,32,53
05/14/2025 10:00 - 10:59,17,30,47
05/14/2025 11:00 - 11:59,23,34,57
05/14/2025 12:00 - 12:59,29,28,57
05/14/2025 13:00 - 13:59,28,38,66
05/14/2025 14:00 - 14:59,32,45,77
05/14/2025 15:00 - 15:59,37,58,95
05/14/2025 16:00 - 16:59,56,70,126
05/14/2025 17:00 - 17:59,39,56,95
05/14/2025 18:00 - 18:59,43,40,83
05/14/2025 19:00 - 19:59,27,27,54
05/14/2025 20:00 - 20:59,27,35,62
05/14/2025 21:00 - 21:59,20,20,40
05/14/2025 22:00 - 22:59,15,18,33
05/14/2025 23:00 - 23:59,13,4,17
05/15/2025 00:00 - 00:59,6,6,12
05/15/2025 01:00 - 01:59,4,2,6
05/15/2025 02:00 - 02:59,2,0,2
05/15/2025 03:00 - 03:59,4,2,6
05/15/2025 04:00 - 04:59,4,6,10
05/15/2025 05:00 - 05:59,8,13,21
05/15/2025 06:00 - 06:59,15,28,43
05/15/2025 07:00 - 07:59,20,39,59
05/15/2025 08:00 - 08:59,27,50,77
05/15/2025 09:00 - 09:59,26,32,58
05/15/2025 10:00 - 10:59,13,30,43
05/15/2025 11:00 - 11:59,22,39,61
05/15/2025 12:00 - 12:59,16,40,56
05/15/2025 13:00 - 13:59,24,31,55
05/15/2025 14:00 - 14:59,36,43,79
05/15/2025 15:00 - 15:59,44,64,108
05/15/2025 16:00 - 16:59,52,48,100
05/15/2025 17:00 - 17:59,51,56,107
05/15/2025 18:00 - 18:59,37,42,79
05/15/2025 19:00 - 19:59,34,31,65
05/15/2025 20:00 - 20:59,26,26,52
05/15/2025 21:00 - 21:59,24,24,48
05/15/2025 22:00 - 22:59,18,26,44
05/15/2025 23:00 - 23:59,11,4,15
05/16/2025 00:00 - 00:59,1,4,5
05/16/2025 01:00 - 01:59,3,4,7
05/16/2025 02:00 - 02:59,4,4,8
05/16/2025 03:00 - 03:59,5,4,9
