"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Westbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00 - 11:59,0,15,2,0,3,1,0,0,0,0,0,0,0,21
05/13/2025 12:00 - 12:59,0,18,4,0,5,0,0,0,0,0,0,0,0,27
05/13/2025 13:00 - 13:59,0,18,4,0,2,0,0,0,0,0,0,0,0,24
05/13/2025 14:00 - 14:59,0,23,3,0,0,0,0,0,0,0,0,0,0,26
05/13/2025 15:00 - 15:59,0,29,7,0,4,0,0,0,0,0,0,0,0,40
05/13/2025 16:00 - 16:59,0,33,7,0,7,0,0,0,0,0,0,0,0,47
05/13/2025 17:00 - 17:59,0,41,5,0,5,0,0,0,0,0,0,0,0,51
05/13/2025 18:00 - 18:59,0,30,4,0,1,0,0,0,0,0,0,0,0,35
05/13/2025 19:00 - 19:59,0,20,3,0,3,0,0,0,0,0,0,0,0,26
05/13/2025 20:00 - 20:59,0,18,2,0,1,0,0,0,0,0,0,0,0,21
05/13/2025 21:00 - 21:59,0,19,2,0,1,0,0,0,0,0,0,0,0,22
05/13/2025 22:00 - 22:59,0,12,1,0,0,0,0,0,0,0,0,0,0,13
05/13/2025 23:00 - 23:59,0,5,1,0,0,0,0,0,0,0,0,0,0,6
05/14/2025 00:00 - 00:59,0,4,0,0,1,0,0,0,0,0,0,0,0,5
05/14/2025 01:00 - 01:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
