"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Westbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
05/13/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
05/13/2025 11:00 - 11:59,0,0,7,11,2,0,1,0,0,0,0,0,0,0,0,21,28.0,30.7
05/13/2025 12:00 - 12:59,1,0,10,11,5,0,0,0,0,0,0,0,0,0,0,27,26.9,31.5
05/13/2025 13:00 - 13:59,0,2,8,10,4,0,0,0,0,0,0,0,0,0,0,24,26.8,30.9
05/13/2025 14:00 - 14:59,0,1,8,10,7,0,0,0,0,0,0,0,0,0,0,26,27.9,32.9
05/13/2025 15:00 - 15:59,1,4,15,14,4,2,0,0,0,0,0,0,0,0,0,40,26.1,30.8
05/13/2025 16:00 - 16:59,1,3,18,23,2,0,0,0,0,0,0,0,0,0,0,47,25.7,29.8
05/13/2025 17:00 - 17:59,0,4,20,21,6,0,0,0,0,0,0,0,0,0,0,51,26.3,30.5
05/13/2025 18:00 - 18:59,1,3,13,15,3,0,0,0,0,0,0,0,0,0,0,35,25.6,30.1
05/13/2025 19:00 - 19:59,0,5,12,8,1,0,0,0,0,0,0,0,0,0,0,26,24.4,28.9
05/13/2025 20:00 - 20:59,0,3,10,5,3,0,0,0,0,0,0,0,0,0,0,21,25.3,30.4
05/13/2025 21:00 - 21:59,0,5,11,5,1,0,0,0,0,0,0,0,0,0,0,22,23.9,28.2
05/13/2025 22:00 - 22:59,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,13,25.4,29.9
05/13/2025 23:00 - 23:59,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,20.2,22.5
05/14/2025 00:00 - 00:59,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,21.4,23.9
05/14/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
05/14/2025 02:00 - 02:59,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,6,22.0,24.0
05/14/2025 03:00 - 03:59,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,22.5,28.3
05/14/2025 04:00 - 04:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
05/14/2025 05:00 - 05:59,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,9,25.7,28.7
05/14/2025 06:00 - 06:59,1,2,7,3,1,0,0,0,0,0,0,0,0,0,0,14,23.5,28.3
05/14/2025 07:00 - 07:59,1,0,9,11,0,0,0,0,0,0,0,0,0,0,0,21,25.4,29.3
05/14/2025 08:00 - 08:59,0,2,16,12,2,0,0,0,0,0,0,0,0,0,0,32,25.7,29.6
05/14/2025 09:00 - 09:59,0,3,7,8,2,1,0,0,0,0,0,0,0,0,0,21,26.3,30.6
05/14/2025 10:00 - 10:59,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,17,25.8,29.5
05/14/2025 11:00 - 11:59,0,2,10,9,2,0,0,0,0,0,0,0,0,0,0,23,25.9,29.9
05/14/2025 12:00 - 12:59,1,2,13,11,2,0,0,0,0,0,0,0,0,0,0,29,25.2,29.7
05/14/2025 13:00 - 13:59,1,1,11,13,2,0,0,0,0,0,0,0,0,0,0,28,25.8,30.0
05/14/2025 14:00 - 14:59,0,2,14,14,2,0,0,0,0,0,0,0,0,0,0,32,26.0,29.8
05/14/2025 15:00 - 15:59,3,0,12,21,0,1,0,0,0,0,0,0,0,0,0,37,25.6,29.8
05/14/2025 16:00 - 16:59,1,2,24,25,4,0,0,0,0,0,0,0,0,0,0,56,26.0,30.0
05/14/2025 17:00 - 17:59,0,2,20,13,3,1,0,0,0,0,0,0,0,0,0,39,26.0,30.1
05/14/2025 18:00 - 18:59,1,2,17,21,2,0,0,0,0,0,0,0,0,0,0,43,25.8,29.8
05/14/2025 19:00 - 19:59,0,3,14,9,1,0,0,0,0,0,0,0,0,0,0,27,24.9,29.0
05/14/2025 20:00 - 20:59,2,5,10,9,0,1,0,0,0,0,0,0,0,0,0,27,23.8,29.0
05/14/2025 21:00 - 21:59,0,1,14,5,0,0,0,0,0,0,0,0,0,0,0,20,24.5,27.5
05/14/2025 22:00 - 22:59,1,4,2,6,2,0,0,0,0,0,0,0,0,0,0,15,24.6,30.4
05/14/2025 23:00 - 23:59,0,1,8,3,1,0,0,0,0,0,0,0,0,0,0,13,24.9,28.6
05/15/2025 00:00 - 00:59,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,6,24.8,29.0
05/15/2025 01:00 - 01:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
