"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","5716 Elmhurst Ave N"
"Location:","5716 Elmhurst Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-14 MPH  - Northbound","15-19 MPH  - Northbound","20-24 MPH  - Northbound","25-29 MPH  - Northbound","30-34 MPH  - Northbound","35-39 MPH  - Northbound","40-44 MPH  - Northbound","45-49 MPH  - Northbound","50-54 MPH  - Northbound","55-59 MPH  - Northbound","60-64 MPH  - Northbound","65-69 MPH  - Northbound","70-74 MPH  - Northbound","75-79 MPH  - Northbound","80-99 MPH  - Northbound","5-14 MPH  - Southbound","15-19 MPH  - Southbound","20-24 MPH  - Southbound","25-29 MPH  - Southbound","30-34 MPH  - Southbound","35-39 MPH  - Southbound","40-44 MPH  - Southbound","45-49 MPH  - Southbound","50-54 MPH  - Southbound","55-59 MPH  - Southbound","60-64 MPH  - Southbound","65-69 MPH  - Southbound","70-74 MPH  - Southbound","75-79 MPH  - Southbound","80-99 MPH  - Southbound"
05/13/2025 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025 11:00,14,16,0,13,0,0,1,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,1,2,7,3,0,1,0,0,0,0,0,0,0,0,0,1,5,8,2,0,0,0,0,0,0,0,0,0,0
05/13/2025 12:00,33,18,1,23,4,1,4,0,0,0,0,0,0,0,0,1,15,0,0,2,0,0,0,0,0,0,0,0,0,4,7,13,8,0,0,0,0,1,0,0,0,0,0,0,3,6,7,2,0,0,0,0,0,0,0,0,0,0
05/13/2025 13:00,31,22,0,21,4,0,6,0,0,0,0,0,0,0,0,0,18,2,0,2,0,0,0,0,0,0,0,0,0,4,12,11,3,1,0,0,0,0,0,0,0,0,0,0,3,9,9,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 14:00,41,29,0,33,4,0,4,0,0,0,0,0,0,0,0,0,23,2,1,3,0,0,0,0,0,0,0,0,0,2,16,17,6,0,0,0,0,0,0,0,0,0,0,1,7,8,10,3,0,0,0,0,0,0,0,0,0,0
05/13/2025 15:00,46,23,1,37,5,1,2,0,0,0,0,0,0,0,0,1,17,2,1,2,0,0,0,0,0,0,0,0,1,5,11,25,4,0,0,0,0,0,0,0,0,0,0,1,1,14,4,3,0,0,0,0,0,0,0,0,0,0
05/13/2025 16:00,57,31,2,47,2,1,5,0,0,0,0,0,0,0,0,1,27,2,0,1,0,0,0,0,0,0,0,0,0,3,12,30,11,1,0,0,0,0,0,0,0,0,0,1,4,13,12,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 17:00,59,19,1,54,2,0,2,0,0,0,0,0,0,0,0,2,14,2,0,1,0,0,0,0,0,0,0,0,1,1,22,28,7,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,0,0,0,0,0,0,0,0,0,0
05/13/2025 18:00,37,21,1,29,3,0,4,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,15,17,5,0,0,0,0,0,0,0,0,0,0,0,1,10,9,1,0,0,0,0,0,0,0,0,0,0
05/13/2025 19:00,36,24,0,28,6,0,2,0,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0,1,2,13,14,6,0,0,0,0,0,0,0,0,0,0,0,2,12,7,3,0,0,0,0,0,0,0,0,0,0
